Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Steven Kwan","CLE",91,0.109890109,0.12087912,0.909090909,0.417721518,0.483516483,0.506329113,0.989845596,0.088607595,2.8887384254224764,0.470588235,,,,-0.23610172374174,19.618643073334415,8.828651038899142,0.43635327082413894,186.925805350356,"Steven Kwan",24610,680757
"Jackson Merrill","SDP",98,0.030612244,0.193877551,0.157894736,0.340425531,0.357142857,0.680851063,1.03799392,0.340425532,7.176197417577238,0.343283582,,,,0.6737429918721318,21.1571301967418,9.537138775042274,0.43672368599444017,182.36529145331068,"Jackson Merrill",29490,701538
"Brandon Nimmo","TEX",94,0.09574468,0.234042553,0.409090909,0.329411764,0.393617021,0.54117647,0.934793491,0.211764706,3.6609366275817186,0.406779661,,,,0.24504820862784982,17.863812446351357,6.718106388802834,0.40476538209204976,165.135201894702,"Brandon Nimmo",12927,607043
"Pete Crow-Armstrong","CHC",109,0.165137614,0.302752293,0.545454545,0.269662921,0.394495412,0.595505617,0.990001029,0.325842696,8.38710243757981,0.365384615,,,,0.644243664573878,21.380242419281426,8.455966246166652,0.4123176837635932,164.1448630566926,"Pete Crow-Armstrong",27769,691718
"Fernando Tatis Jr.","SDP",106,0.122641509,0.122641509,1,0.29347826,0.386792452,0.576086956,0.962879408,0.282608696,5.637261672264174,0.287671232,,,,-0.7860602336004376,20.315531947924505,7.746969797922978,0.4067626165655943,162.34545476531116,"Fernando Tatis Jr.",19709,665487
"Seiya Suzuki","CHC",100,0.18,0.24,0.75,0.271604938,0.41,0.49382716,0.90382716,0.222222222,3.5719224560650713,0.339622641,,,,0.02783133927732706,18.147238563607786,6.2901044598327625,0.39417196343643496,152.01998352265073,"Seiya Suzuki",30116,673548
"Luis Rengifo","SDP",88,0.125,0.147727272,0.846153846,0.324324324,0.425287356,0.432432432,0.857719788,0.108108108,4.352372947223515,0.372881355,,,,-0.001667988020926714,15.356999315593685,4.922721304271662,0.3855655652353133,148.18169112172097,"Luis Rengifo",19858,650859
"Griffin Conine","MIA",75,0.093333333,0.333333333,0.28,0.264705882,0.333333333,0.588235294,0.921568627,0.323529412,0.5595238025,0.305555555,,,,-0.0975622427649796,13.457731190507788,4.564880612676519,0.39165475447972614,147.25932007088974,"Griffin Conine",21626,665052
"Jac Caglianone","KCR",81,0.024691358,0.148148148,0.166666666,0.29113924,0.308641975,0.594936708,0.903578683,0.303797468,1.8191232454233117,0.278688524,,,,-0.2868888848461211,13.972321120879082,4.36804249682131,0.38307605775786036,145.51153566254794,"Jac Caglianone",35041,695506
"Chandler Simpson","TBR",90,0.022222222,0.066666666,0.333333333,0.409638554,0.409090909,0.457831325,0.866922234,0.048192771,5.705046713314031,0.425,,,,2.0163534581661224,15.042144016824338,4.370723323426816,0.3764455887404355,143.06574251363372,"Chandler Simpson",31912,802415
