Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Henry Bolte","ATH",0.363636363,1.769230769,0.2,0.511111111,0.288888888,0.076923076,0.153846153,1,0.04347826,1,0.5,0.23404255,0.5106383,0.25531915,0.10638298,0.38297872,0.5106383,"Henry Bolte",31448,703607
"James Wood","WSN",0.25,2.166666666,0.173913043,0.565217391,0.260869565,0.083333333,0.166666666,0,0,0,0,0.43478261,0.34782609,0.2173913,0.02173913,0.47826087,0.5,"James Wood",29518,695578
"José Fermín","STL",0.2,1.15,0.232142857,0.410714285,0.357142857,0.1,0.05,2,0.086956521,0,0,0.57894737,0.35087719,0.07017544,0.10526316,0.40350877,0.49122807,"Jose Fermin",21746,665877
"Griffin Conine","MIA",0.305555555,0.636363636,0.162790697,0.325581395,0.511627906,0.136363636,0.318181818,2,0.142857142,0,0,0.34883721,0.44186047,0.20930233,0.13953488,0.37209302,0.48837209,"Griffin Conine",21626,665052
"Wilyer Abreu","BOS",0.172413793,0.43902439,0.119402985,0.268656716,0.611940298,0.146341463,0.219512195,2,0.111111111,0,0,0.28358209,0.44776119,0.26865672,0.2238806,0.31343284,0.46268657,"Wilyer Abreu",23772,677800
"Andy Pages","LAD",0.349206349,1.217391304,0.215384615,0.43076923,0.353846153,0.130434782,0.086956521,4,0.142857142,0,0,0.44615385,0.29230769,0.26153846,0.12307692,0.41538462,0.46153846,"Andy Pages",24816,681624
"Jackson Merrill","SDP",0.343283582,0.567567567,0.236842105,0.276315789,0.486842105,0.027027027,0.243243243,1,0.047619047,0,0,0.35526316,0.38157895,0.26315789,0.05263158,0.48684211,0.46052632,"Jackson Merrill",29490,701538
"Heriberto Hernández","MIA",0.29787234,1.368421052,0.1,0.52,0.38,0.105263157,0.157894736,1,0.038461538,0,0,0.54,0.34,0.12,0.12,0.42,0.46,"Heriberto Hernandez",24878,681715
"Randy Arozarena","SEA",0.261538461,1.454545454,0.205882352,0.470588235,0.323529411,0.09090909,0.136363636,2,0.0625,0,0,0.38235294,0.36764706,0.25,0.11764706,0.42647059,0.45588235,"Randy Arozarena",19290,668227
"Kody Clemens","MIN",0.196721311,0.896551724,0.140625,0.40625,0.453125,0.068965517,0.137931034,2,0.076923076,1,1,0.52307692,0.26153846,0.21538462,0.13846154,0.41538462,0.44615385,"Kody Clemens",20572,665019
"Brandon Nimmo","TEX",0.406779661,0.916666666,0.269841269,0.349206349,0.38095238,0.083333333,0.166666666,1,0.045454545,0,0,0.36507937,0.33333333,0.3015873,0.11111111,0.44444444,0.44444444,"Brandon Nimmo",12927,607043
"Dylan Crews","WSN",0.306122448,0.642857142,0.115384615,0.346153846,0.538461538,0,0.107142857,1,0.055555555,0,0,0.40384615,0.40384615,0.19230769,0.13461538,0.42307692,0.44230769,"Dylan Crews",33541,686611
"Tim Tawa","ARI",0.28125,1.037037037,0.166666666,0.424242424,0.409090909,0.148148148,0.111111111,2,0.071428571,1,0.5,0.42647059,0.38235294,0.19117647,0.11764706,0.44117647,0.44117647,"Tim Tawa",29571,694374
"JJ Bleday","CIN",0.195652173,0.555555555,0.16,0.3,0.54,0.074074074,0.148148148,0,0,0,0,0.38,0.44,0.18,0.1,0.46,0.44,"JJ Bleday",26368,668709
"Isaac Collins","KCR",0.267857142,0.958333333,0.160714285,0.410714285,0.428571428,0.25,0.041666666,0,0,0,0,0.33333333,0.28070175,0.38596491,0.1754386,0.38596491,0.43859649,"Isaac Collins",25477,686555
"Pete Crow-Armstrong","CHC",0.365384615,0.333333333,0.298245614,0.175438596,0.526315789,0.066666666,0.166666666,1,0.1,0,0,0.50877193,0.33333333,0.15789474,0.14035088,0.42105263,0.43859649,"Pete Crow-Armstrong",27769,691718
"Chase DeLauter","CLE",0.333333333,1.631578947,0.21875,0.484375,0.296875,0.052631578,0.052631578,0,0,0,0,0.375,0.34375,0.28125,0.078125,0.484375,0.4375,"Chase DeLauter",32127,800050
"Jarren Duran","BOS",0.257575757,1.434782608,0.164179104,0.492537313,0.343283582,0.130434782,0.130434782,5,0.151515151,2,0.666666666,0.41428571,0.37142857,0.21428571,0.17142857,0.4,0.42857143,"Jarren Duran",24617,680776
"Corbin Carroll","ARI",0.223880597,0.806451612,0.2,0.357142857,0.442857142,0.032258064,0.096774193,0,0,0,0,0.38571429,0.32857143,0.28571429,0.07142857,0.5,0.42857143,"Corbin Carroll",25878,682998
"Dylan Beavers","BAL",0.355555555,1.0625,0.266666666,0.377777777,0.355555555,0.1875,0,1,0.058823529,0,0,0.44444444,0.33333333,0.22222222,0.11111111,0.46666667,0.42222222,"Dylan Beavers",31695,687637
"Jac Caglianone","KCR",0.278688524,1.545454545,0.164179104,0.507462686,0.328358208,0.09090909,0.272727272,3,0.088235294,0,0,0.47761194,0.26865672,0.25373134,0.10447761,0.47761194,0.41791045,"Jac Caglianone",35041,695506
"Fernando Tatis Jr.","SDP",0.287671232,1.225806451,0.126582278,0.481012658,0.392405063,0.161290322,0.193548387,5,0.131578947,0,0,0.51898734,0.27848101,0.20253165,0.13924051,0.44303797,0.41772152,"Fernando Tatis Jr.",19709,665487
"Sam Antonacci","CHW",0.24137931,2.25,0.133333333,0.6,0.266666666,0,0.125,2,0.055555555,0,0,0.44262295,0.37704918,0.18032787,0.09836066,0.49180328,0.40983607,"Sam Antonacci",35101,803011
"Kyle Stowers","MIA",0.34,0.366666666,0.24074074,0.203703703,0.555555555,0.133333333,0.133333333,0,0,0,0,0.37037037,0.37037037,0.25925926,0.12962963,0.46296296,0.40740741,"Kyle Stowers",26151,669065
"Braden Montgomery","CHW",0.320754716,2.066666666,0.148148148,0.574074074,0.277777777,0.133333333,0.066666666,1,0.032258064,0,0,0.37037037,0.38888889,0.24074074,0.14814815,0.44444444,0.40740741,"Braden Montgomery",35423,695731
"Lars Nootbaar","- - -",0.228070175,1.45,0.140350877,0.508771929,0.350877192,0,0,0,0,0,0,0.33333333,0.45614035,0.21052632,0.10526316,0.49122807,0.40350877,"Lars Nootbaar",21454,663457
"Jake Bauers","MIL",0.357142857,1.125,0.244444444,0.4,0.355555555,0.0625,0.1875,0,0,0,0,0.53333333,0.22222222,0.24444444,0.11111111,0.48888889,0.4,"Jake Bauers",15194,641343
"Jackson Chourio","MIL",0.327868852,1.476190476,0.2,0.476923076,0.323076923,0.047619047,0.19047619,3,0.096774193,0,0,0.26153846,0.56923077,0.16923077,0.10769231,0.49230769,0.4,"Jackson Chourio",28806,694192
"Daylen Lile","WSN",0.283018867,0.6,0.172413793,0.310344827,0.517241379,0.1,0.166666666,1,0.055555555,0,0,0.44827586,0.27586207,0.27586207,0.0862069,0.51724138,0.39655172,"Daylen Lile",29995,695734
"Garrett Mitchell","MIL",0.265306122,3.625,0.244897959,0.591836734,0.163265306,0,0,3,0.103448275,0,0,0.28571429,0.42857143,0.28571429,0.16326531,0.44897959,0.3877551,"Garrett Mitchell",27555,669003
"Ceddanne Rafaela","BOS",0.328947368,0.878787878,0.253012048,0.34939759,0.397590361,0.09090909,0.212121212,2,0.068965517,0,0,0.3373494,0.3253012,0.3373494,0.12048193,0.4939759,0.38554217,"Ceddanne Rafaela",24262,678882
