Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC",8.463250902333682,1.1701513207517564,4.16552709043026,0.29175753612071276,9.633402223085438,4.4572846265509725,0.21457393281161785,3.3206963017582893,17.62595708420632,1.7930834416636947,14.344667533309558,"Pete Crow-Armstrong",27769,691718
"Jackson Merrill","SDP",9.77055314188359,1.2113051512278616,0.7822332195937634,0.3463647495955229,10.981858293111452,1.1285979691892862,0.19291968271136284,2.985580161213875,15.288956106225976,1.5553410179899618,12.442728143919695,"Jackson Merrill",29490,701538
"Steven Kwan","CLE",9.1797392125866,-0.12551771383732557,1.0426119975745678,-0.35064190719276667,9.054221498749275,0.6919700903818011,0.47079771012067795,2.7723244354128838,12.989313734664638,1.321399074383979,10.571192595071832,"Steven Kwan",24610,680757
"Ceddanne Rafaela","BOS",4.88352662565994,0.9102338175289333,2.115969628095627,0.3782709604129195,5.793760443188873,2.4942405885085464,0.5535753294825554,3.2597660943865776,12.101342455566552,1.2310660167453449,9.848528133962759,"Ceddanne Rafaela",24262,678882
"Fernando Tatis Jr.","SDP",7.999438398792158,-0.6198588097468019,0.9417017921805382,-0.5995852127671242,7.379579589045356,0.342116579413414,0.20866822823882103,3.2293009907007217,11.159665387398313,1.1352694849451017,9.082155879560814,"Fernando Tatis Jr.",19709,665487
"Chandler Simpson","TBR",4.497950555286977,2.8590156957507133,1.0264104157686234,-0.9422248229384422,7.35696625103769,0.08418559283018112,0.4656241089105606,2.741859331727028,10.64863528450546,1.0832825425446841,8.666260340357473,"Chandler Simpson",31912,802415
"Brandon Nimmo","TEX",7.105323329325028,0.4236277942545712,-0.27890098094940186,-1.0722830556333065,7.528951123579599,-1.3511840365827084,0.48631851375102997,2.8637197464704514,9.527805347218372,0.9692608419431741,7.754086735545393,"Brandon Nimmo",12927,607043
"Seiya Suzuki","CHC",6.296787630628203,-0.6525713922455907,1.8908858969807625,-1.3376805484294891,5.644216238382612,0.5532053485512733,0.1968568190932274,3.0465103685855865,9.440788774612699,0.960408671547879,7.683269372383032,"Seiya Suzuki",30116,673548
"Wilyer Abreu","BOS",3.9885688443043934,-0.36029689048882574,1.4141600839793682,-1.0754456594586372,3.6282719538155677,0.338714424520731,0.517360121011734,3.0465103685855865,7.530856867933618,0.7661118591699518,6.128894873359615,"Wilyer Abreu",23772,677800
"Cole Carrigg","COL",2.632301616857866,0.7803359194658697,0.41724413074553013,0.2928239416796714,3.412637536323736,0.7100680724252015,0.15945402346551418,2.467673398554325,6.749833030768777,0.6866585334143942,5.493268267315154,"Cole Carrigg",33253,694249
"Luis Rengifo","SDP",5.13231787857815,0.06962861149804667,-0.5182125675491989,-0.9573234794661403,5.201946490076197,-1.4755360470153391,0.1732340008020401,2.680929124355316,6.580573568218214,0.6694398179600003,5.355518543680002,"Luis Rengifo",19858,650859
"Andy Pages","LAD",0.7528852565178642,0.47692105697933584,1.5104265250265598,0.3099469766020775,1.2298063134972002,1.8203735016286373,0.19095111452043056,2.955115057528019,6.1962459871742865,0.6303422859251572,5.042738287401257,"Andy Pages",24816,681624
"Zach McKinstry","DET",3.414376265994612,-0.8627390502952039,0.7770040556788445,0.09063291922211647,2.551637215699408,0.8676369749009609,0.38284648954868317,2.254417672753334,6.056538352902386,0.6161298692892729,4.9290389543141835,"Zach McKinstry",19392,656716
"Jake McCarthy","COL",1.8950622616298336,1.5799899245612323,-0.15904385782778263,-0.5613590274006128,3.475052186191066,-0.7204028852283955,0.1889825463294983,2.924649953842163,5.868281801134332,0.5969785855236686,4.7758286841893485,"Jake McCarthy",21622,664983
"Michael Harris II","ATL",1.7187012171514786,-0.7506622830405831,1.396581694483757,0.2445212472230196,0.9680389341108955,1.6411029417067766,0.1968568190932274,3.0465103685855865,5.852509063496486,0.5953740295524373,4.762992236419499,"Michael Harris II",25931,671739
"Cam Smith","HOU",2.890890521648956,0.1106361229903996,1.0580768175423145,-0.791735278442502,3.001526644639356,0.2663415390998125,0.3621520847082138,2.1325572580099106,5.762577526457292,0.5862253206807453,4.689802565445962,"Cam Smith",35108,701358
"Carson Benge","NYM",2.610441127627448,0.3154655727557838,0.7313577476888895,-0.8238515835255384,2.9259067003832318,-0.09249383583664894,0.16929686442017555,2.6199989169836044,5.622708645950363,0.5719965005126911,4.575972004101529,"Carson Benge",35177,701807
"Jac Caglianone","KCR",4.278058675906088,-0.06518699252046645,-0.4158121319487691,-1.0972220813855529,4.212871683385622,-1.513034213334322,0.41906169801950455,2.467673398554325,5.586572566625129,0.5683203877674272,4.546563102139418,"Jac Caglianone",35041,695506
"Chase DeLauter","CLE",2.5375818740860474,0.7999975043348968,0.09816103614866734,-1.598510980606079,3.337579378420944,-1.5003499444574118,0.49666571617126465,2.924649953842163,5.25854510397696,0.5349502502551544,4.279602002041235,"Chase DeLauter",32127,800050
"Jung Hoo Lee","SFG",3.8946580089593628,-0.07627981971018016,-0.7264020666480064,-0.8274830617010593,3.8183781892491826,-1.5538851283490658,0.17913970537483692,2.7723244354128838,5.2159572016878375,0.5306177954531257,4.244942363625006,"Jung Hoo Lee",33824,808982
"Griffin Conine","MIA",4.2903978707245765,0.0886067261453718,-0.4439546666108072,-1.1605060519650578,4.379004596869948,-1.604460718575865,0.14764261431992054,2.28488277643919,5.207069269053194,0.5297136286744559,4.237709029395647,"Griffin Conine",21626,665052
"Dylan Crews","WSN",1.4593910776708792,0.5127331134863198,0.8086061999201775,-0.5774590745568275,1.972124191157199,0.23114712536334991,0.17717113718390465,2.741859331727028,5.122301785431482,0.5210902574414812,4.1687220595318495,"Dylan Crews",33541,686611
"Jackson Chourio","MIL",2.1989895462612292,-0.2916238836478442,0.7365087792277336,-0.8814510330557823,1.9073656626133846,-0.1449422538280487,0.20079395547509193,3.1074405759572983,5.0706579402177265,0.5158365442232864,4.126692353786291,"Jackson Chourio",28806,694192
"Wyatt Langford","TEX",1.6176144984934808,-0.17276513017714024,0.9368627369403839,-0.891102310270071,1.4448493683163406,0.04576042667031288,0.501839317381382,2.955115057528019,4.947564169896054,0.5033142510915554,4.026514008732443,"Wyatt Langford",33333,694671
"Daylen Lile","WSN",1.7345527554135702,0.5883370419032872,0.8765790462493896,-1.10803990252316,2.3228897973168574,-0.23146085627377033,0.16732829622924328,2.5895338132977486,4.848291050570079,0.4932152257952092,3.9457218063616737,"Daylen Lile",29995,695734
"Corbin Carroll","ARI",-0.8253437797836025,1.9837467838078737,1.3717960566282272,-1.1149663031101227,1.1584030040242712,0.25682975351810455,0.20669966004788876,3.198835887014866,4.820768304605131,0.490415344925019,3.923322759400152,"Corbin Carroll",25878,682998
"Kyle Stowers","MIA",2.761315465569843,0.0992261627689004,-0.024924705969169736,-1.3981023728847504,2.8605416283387433,-1.42302707885392,0.18504540994763374,2.8637197464704514,4.486279705902908,0.4563879179380517,3.651103343504414,"Kyle Stowers",26151,669065
"Tyler Soderstrom","ATH",2.934273831353382,0.09545899208751507,-0.9049063213169575,-1.0983357764780521,3.029732823440897,-2.0032420977950096,0.501839317381382,2.955115057528019,4.483445100555288,0.4560995543678816,3.6487964349430526,"Tyler Soderstrom",27467,691016
"Braden Montgomery","CHW",0.6866365230627486,-0.44756934233009815,2.0579584687948227,-0.9763574153184891,0.23906718073265043,1.0816010534763336,0.4552769064903259,2.680929124355316,4.456874265054626,0.4533965110698753,3.627172088559002,"Braden Montgomery",35423,695731
"Luke Keaschall","MIN",2.9923929984665576,-0.0401343684643507,-1.6836313679814339,0.14242670871317387,2.952258630002207,-1.54120465926826,0.4242352992296219,2.498138502240181,4.33342777220375,0.44083833557875823,3.526706684630066,"Luke Keaschall",33321,807712
"Julio Rodríguez","SEA",1.0466927491648164,0.5430302136810496,-0.8466629385948181,0.16222457913681865,1.589722962845866,-0.6844383594579995,0.4552769064903259,2.680929124355316,4.041490634233509,0.4111396562049057,3.289117249639246,"Julio Rodriguez",23697,677594
"Jake Bauers","MIL",3.8601152872050886,-0.16191059118136764,-1.1969409175217152,-1.2046524435281754,3.698204696023721,-2.4015933610498905,0.14764261431992054,2.28488277643919,3.729136725732941,0.3793639847565077,3.0349118780520614,"Jake Bauers",15194,641343
"Jake Mangum","PIT",0.0825113829785119,0.5219302549958229,-0.003098487555689644,-0.2186926412396133,0.6044416379743348,-0.22179112879530294,0.1889825463294983,2.924649953842163,3.496283009350693,0.35567584452218326,2.845406756177466,"Jake Mangum",26202,663968
"Esmerlyn Valdez","PIT",1.4752105037271717,-0.32998515432700515,-0.11803605104796588,-0.9176744073629379,1.1452253494001665,-1.0357104584109038,0.1811082735657692,2.8027895390987396,3.0934127036537715,0.3146919665499381,2.5175357323995047,"Esmerlyn Valdez",29005,699013
"Kyle Tucker","LAD",1.423798538208026,-0.0969202839769423,-0.3789562024176121,-0.8266536882147193,1.3268782542310837,-1.2056098906323314,0.15354831889271736,2.3762780874967575,2.6510947699882275,0.2696950929607443,2.1575607436859543,"Kyle Tucker",18345,663656
"Randy Arozarena","SEA",1.040808602378989,-0.1975736585445702,-0.5989215020090342,-1.051939968019724,0.8432349438344189,-1.650861470028758,0.4914921149611473,2.894184850156307,2.5780504389231154,0.2622643145970767,2.0981145167766138,"Randy Arozarena",19290,668227
"Mike Trout","LAA",0.472304506867743,-0.23606712790206075,-0.9528661668300629,-0.12712020240724087,0.2362373789656822,-1.0799863692373037,0.48114491254091263,2.8332546427845955,2.4706505650538864,0.25133855694592244,2.0107084555673795,"Mike Trout",10155,545361
"Ian Happ","CHC",-0.6075600092094,-0.20542405435116962,1.1804630039259791,-1.0140671478584409,-0.8129840635605696,0.16639585606753826,0.18307684175670147,2.8332546427845955,2.369743277048266,0.24107328814935902,1.9285863051948722,"Ian Happ",17919,664023
"Henry Bolte","ATH",-0.3587358301056591,-0.7573776734061539,0.3323126882314682,0.2869328483939171,-1.116113503511813,0.6192455366253853,0.3983672931790352,2.3458129838109016,2.247312310103509,0.2286184218106553,1.8289473744852425,"Henry Bolte",31448,703607
"Mickey Moniak","COL",-0.14058315073760008,0.35756358318030834,0.06891925481613725,-1.1348382346332073,0.21698043244270826,-1.06591897981707,0.14764261431992054,2.28488277643919,1.5835868433847486,0.16109782485820295,1.2887825988656236,"Mickey Moniak",19956,666160
"Mauricio Dubón","ATL",-3.11950310088056,0.5794591889716685,1.2512007746845484,-0.22543356148526073,-2.5400439119088913,1.0257672131992877,0.17520256899297237,2.711394228041172,1.3723200983245407,0.139605720881558,1.116845767052464,"Mauricio Dubon",16530,643289
"Teoscar Hernández","LAD",-0.1860331307928923,-0.02712174755288288,-0.052706564543768764,-0.8635890297591686,-0.21315487834577518,-0.9162955943029374,0.1496111825108528,2.3153478801250458,1.3355085899871861,0.1358608969411026,1.0868871755288207,"Teoscar Hernandez",13066,606192
"A.J. Ewing","NYM",-3.6319233710631638,1.2945600734092295,0.23542322032153606,0.09437402477487922,-2.3373632976539342,0.3297972450964153,0.2027625236660242,3.137905679643154,1.3331021507516594,0.13561609058386598,1.0849287246709278,"A.J. Ewing",33656,805999
"Lawrence Butler","ATH",-0.15358184787935808,0.4269416022580117,-2.1463652923703194,-0.5676838122308254,0.2733597543786536,-2.714049104601145,0.41906169801950455,2.467673398554325,0.44604574635133853,0.045376102879755964,0.3630088230380477,"Lawrence Butler",22542,671732
"Tommy Edman","LAD",-2.5994448806420047,-0.16899461299180984,0.5446758950129151,-0.061582888127304614,-2.7684394936338146,0.4830930068856105,0.16339115984737873,2.528603605926037,0.4066482790252115,0.04136821009024819,0.33094568072198555,"Tommy Edman",19470,669242
"Riley Greene","DET",-1.3865298531195551,0.14752484345808625,-0.5565700009465218,-1.0760421007871628,-1.2390050096614689,-1.6326121017336845,0.47079771012067795,2.7723244354128838,0.3715050341384083,0.037793098101048764,0.3023447848083901,"Riley Greene",25976,682985
"Garrett Mitchell","MIL",-4.161880220029113,1.4024336100555956,-0.05318486248143017,0.2711724666878581,-2.7594466099735175,0.21798760420642793,0.17520256899297237,2.711394228041172,0.3451377912670548,0.03511076622147599,0.28088612977180794,"Garrett Mitchell",27555,669003
"Dane Myers","CIN",-1.5466661591213595,0.44748166389763355,-0.9684933070093393,0.05532740778289735,-1.099184495223726,-0.913165899226442,0.1358312051743269,2.1020921543240547,0.22557296504821345,0.022947471537722072,0.18357977230177658,"Dane Myers",22054,667472
"Kody Clemens","MIN",-3.1015039375275695,0.4635805955622345,0.42407184839248663,-0.7224834710359573,-2.637923341965335,-0.29841162264347076,0.4552769064903259,2.680929124355316,0.19987106623683637,0.02033282491411882,0.16266259931295057,"Kody Clemens",20572,665019
"José Fermín","STL",-1.9828403072675247,0.5320270280353725,-0.9097739327698946,-0.17113723512738943,-1.4508132792321522,-1.080911167897284,0.1496111825108528,2.3153478801250458,-0.06676538449353764,-0.006792022971560728,-0.05433618377248582,"Jose Fermin",21746,665877
"Isaac Collins","KCR",-1.8637964258933062,-0.5499275363981724,0.3378509720787406,-0.9274736009538174,-2.4137239622914786,-0.5896226288750768,0.40871449559926987,2.4067431911826134,-0.1878889043846721,-0.019113883105182805,-0.15291106484146244,"Isaac Collins",25477,686555
"JJ Bleday","CIN",-2.1732121137748077,-0.3447354631498456,0.08508568396791816,-1.0064650028944016,-2.5179475769246533,-0.9213793189264834,0.17520256899297237,2.711394228041172,-0.5527300988169923,-0.056229070748501433,-0.44983256598801147,"JJ Bleday",26368,668709
