Name,Team,PA,BB%+,K%+,AVG+,OBP+,SLG+,wRC+,ISO+,BABIP+,LD%+,GB%+,FB%+,Pull%+,Cent%+,Oppo%+,NameASCII,PlayerId,MLBAMID
"Steven Kwan","CLE",91,124.13054055890514,54.01954081414726,173.48758711389388,153.17540085698522,127.96652536863631,186.925805350356,57.20524742843883,164.292016530703,194.1209694945638,94.29816746478738,60.265202142735816,52.25778972864439,116.14395666685941,160.61147386555263,"Steven Kwan",24610,680757
"Jackson Merrill","SDP",98,34.04536103643879,88.51763183458449,138.09361263032525,111.24428156115597,167.58578476391105,182.36529145331068,213.0959434720409,117.746271468381,120.96782615318071,65.76312904995434,126.7677969239435,87.42639987084647,107.64704858892502,110.02923723912419,"Jackson Merrill",29490,701538
"Brandon Nimmo","TEX",94,108.15203472078996,104.59102650673435,136.81088869185675,124.69573860589023,136.77363339201088,165.135201894702,136.71573416861847,142.0151330161617,140.38335477920268,84.85683695810764,96.13734609505914,87.75990731642611,95.40396441514211,128.5480109530389,"Brandon Nimmo",12927,607043
"Pete Crow-Armstrong","CHC",109,183.65754857193966,138.22598784967246,109.3887607194068,122.87900437306587,146.5787182831527,164.1448630566926,203.96753533631374,125.32692597037712,152.32985530719142,41.754367605431355,137.04626689554118,125.20323943362332,94.03650221237002,66.01754217623008,"Pete Crow-Armstrong",27769,691718
"Fernando Tatis Jr.","SDP",106,136.39556943158615,55.99377486101979,119.04945270353966,120.47965566904202,141.7989775739143,162.34545476531116,176.90437715912327,98.67123495791188,64.65228384614126,114.48096258703319,102.17753318257311,127.71714124629412,78.56214098168527,84.68072941841936,"Fernando Tatis Jr.",19709,665487
"Seiya Suzuki","CHC",100,200.1867287664041,109.5755105772936,110.176539892525,127.70843528329046,121.55141798806808,152.01998352265073,139.10429625925744,116.49056867506849,89.60579699917,75.15786173737642,132.47805790354758,103.6164740394906,98.98579162432033,95.35867235752985,"Seiya Suzuki",30116,673548
"Luis Rengifo","SDP",88,139.01856164333617,67.44704689829469,131.5621582009021,132.47020190372612,106.43962007603798,148.18169112172097,67.67236034234145,127.89830785244996,86.56831238110084,129.08468928063513,75.02702409025208,115.10620406290396,77.35260662671136,107.89963934718129,"Luis Rengifo",19858,650859
"Griffin Conine","MIA",75,103.8005256563082,152.18820898294177,107.37793790759068,103.82799606144879,144.7891891898536,147.25932007088974,202.51949049196062,104.80555789499371,83.14584408060011,77.48833815518651,133.22171977797697,85.84504394263448,124.65303790824707,87.5116258991086,"Griffin Conine",21626,665052
"Jac Caglianone","KCR",81,27.891059928545946,66.20576760838703,120.915591094287,97.77610465022474,150.36066736501277,145.51153566254794,196.13227652858913,97.29588669365101,85.41322641112991,123.31298824187576,82.86465275699135,114.81114411278345,76.89274739635155,108.14997631181187,"Jac Caglianone",35041,695506
"Chandler Simpson","TBR",90,25.101953709773767,29.792595155640804,170.13058044638368,129.59778244627796,115.70949084487833,143.06574251363372,31.11335308578336,148.37622752202628,104.04883974897308,126.35954456319453,70.66094955652085,70.35682901130389,129.14439092794174,109.15854825043361,"Chandler Simpson",31912,802415
"Jake Bauers","MIL",75,163.11511158674878,115.66303879051058,115.89999633646852,120.44047534406508,121.1173058864571,142.51969849074882,129.16827563442706,122.5000029081355,124.85074394142426,95.19995840694337,92.58236690809645,131.2475338817904,62.69100147491334,102.20493602468869,"Jake Bauers",15194,641343
"Zach McKinstry","DET",74,106.85291145875708,42.2732770670459,127.7903905226579,124.14922677315832,112.75819617441918,139.75936421089528,89.39105725437456,120.38639142636963,161.45509585722886,75.41352114858346,95.72296101303775,82.89166654901724,133.23657101823397,80.83826821195127,"Zach McKinstry",19392,656716
"Ceddanne Rafaela","BOS",107,10.556896082177625,91.88370532045406,127.7903905226579,100.66369801232122,143.37787872794212,139.3286966408909,167.608231948451,114.84228121679931,131.62805018455742,84.9033083536111,100.33611586707111,81.09401585590092,93.10507356496171,143.7911803208089,"Ceddanne Rafaela",24262,678882
"Cam Smith","HOU",70,64.54788145209879,134.0666795410504,110.31904831660613,104.0896473307034,130.31591103315264,135.58716377893816,161.40051941495207,116.3735116656079,84.69091572388317,96.06942112867044,111.50814295852088,122.98810043963226,79.87308644050309,89.21263421033936,"Cam Smith",35108,701358
