Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"DL Hall","MIL",8.81052808471039,6.821054001066107,1.29166667,0.568421166755509,0.23484848,0.18181818,0.0530303,0.17757009345794392,1.3578950094714937,0.22972972972972974,0.82524272,68.30282828719415,102.31827590925167,111.52702040523282,2.842105833777545,4.318587384791965,-1.4764815510144205,4.698586646243212,4.988214832199919,"DL Hall",22207,669084
"Tim Herrin","CLE",7.4070823965800585,5.495577261978753,1.34782609,0.9557525673006527,0.18674699,0.13855422,0.04819277,0.2302158273381295,1.4601775333759972,0.2692307692307692,0.78651685,93.195513399611,121.49167362483131,128.57464284389536,3.823010269202611,4.971964642331317,-1.148954373128706,5.328175985711406,4.951703875756041,"Tim Herrin",25139,682120
"Ryan Yarbrough","NYY",6.31451690606356,3.9193553210049688,1.61111111,0.6532258868341614,0.16111111,0.1,0.06111111,0.22784810126582278,1.3064517736683228,0.2619047619047619,0.6133829,95.48990638240072,100.09607586150786,128.01387133321535,3.9193553210049688,4.224105104273755,-0.304749783268786,5.304910315480898,4.836143542096559,"Ryan Yarbrough",16502,642232
"Matt Strahm","KCR",7.570094807365419,3.5327109101038623,2.14285714,3.0280379229461674,0.1863354,0.08695652,0.09937888,0.2689655172413793,1.4859815732976562,0.2621359223300971,0.68062827,171.13527231271604,172.3948641549935,136.35671907139152,7.317758313786571,7.124392087416586,0.19336622636998513,5.651044062582956,4.726453588868995,"Matt Strahm",13799,621381
"Taylor Rogers","MIN",7.524592752003913,4.426231030590537,1.7,0.6639346545885806,0.18085106,0.10638298,0.07446809,0.2891566265060241,1.672131722667536,0.3488372093023256,0.71428571,121.70065392786812,96.49254586642579,123.86497221904953,5.090165685179118,3.9968445686653062,1.0933211165138115,5.132777964297826,4.680123049281817,"Taylor Rogers",13449,573124
"Hoby Milner","CHC",4.542057370211127,2.2710286851055637,2,1.0093460822691394,0.12080537,0.06040268,0.06040269,0.24817518248175183,1.2056078204881389,0.2608695652173913,0.79207921,85.80280766120062,109.6899295272567,113.77517469282938,3.532711287941988,4.544952531210453,-1.0122412432684649,4.793175743538525,4.679813088244942,"Hoby Milner",13346,571948
"Wandy Peralta","SDP",5.6250011495183845,3.3750006897110305,1.66666667,0.8035715927883406,0.14705882,0.08823529,0.05882353,0.2744186046511628,1.4285717205126054,0.30857142857142855,0.78666667,91.60687730232736,101.26314698423671,107.02061637608948,3.6964293268263666,4.229865566565114,-0.5334362397387475,4.508983694383392,4.557474665484767,"Wandy Peralta",14295,593974
"Brock Burke","CIN",8.196430246441073,4.982143875287711,1.64516129,0.8035715927883406,0.21610169,0.13135593,0.08474576,0.19801980198019803,1.2678574019549373,0.23972602739726026,0.74626866,62.110534004382025,95.99486813657018,114.54758049723725,2.732143415480358,4.247722713071521,-1.5155792975911635,4.825674032551733,4.50545612755157,"Brock Burke",17968,656271
"Kody Funderburk","MIN",7.250001536475613,5.000001059638354,1.45,0.5000001059638354,0.19205298,0.13245033,0.05960265,0.17829457364341086,1.1944446975802734,0.21428571428571427,0.78199052,71.72694598564236,97.32676742412337,105.3763989338949,3.0000006357830125,4.031452834753385,-1.0314521989703729,4.365711448091628,4.492246305487154,"Kody Funderburk",24993,681892
"Yuki Matsui","SDP",9.400001593696016,5.200000881619073,1.80769231,1.2000002034505552,0.25543478,0.14130435,0.11413044,0.17307692307692307,1.1777779774607302,0.20388349514563106,0.90128755,59.47808638053617,110.09207426878994,116.15320697950399,2.4000004069011105,4.598119557463136,-2.1981191505620252,4.893229342429251,4.365976241953488,"Yuki Matsui",33826,673513
