Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Aaron Ashby","MIL",13,2,3.465241136534338,53,0,0,0,0,0,10,5,62.1,274,56,29,24,5,32,1,2,6,1,87,"Aaron Ashby",23550,676879
"Adrian Morejon","SDP",8,2,2.887701123834523,54,0,0,0,0,2,18,5,62.1,256,50,23,20,3,16,3,4,0,0,75,"Adrian Morejon",20039,670970
"Brent Headrick","NYY",6,1,1.5168543551821465,60,0,0,0,0,0,16,1,59.1,242,49,11,10,3,19,1,0,3,0,71,"Brent Headrick",27702,687396
"Hogan Harris","ATH",3,1,3.7058834617116476,54,0,0,0,0,10,10,5,51,234,47,22,21,6,33,2,5,3,0,69,"Hogan Harris",21520,663687
"Dylan Lee","ATL",5,0,2.0250003379583923,55,0,0,0,0,0,26,1,53.1,198,28,14,12,3,12,0,0,0,0,66,"Dylan Lee",19996,669276
"Mason Montgomery","PIT",4,3,4.170732871469508,42,0,0,0,0,3,9,2,41,173,31,20,19,5,18,2,0,2,0,64,"Mason Montgomery",29770,682254
"Tanner Scott","LAD",1,3,2.314286029582164,50,0,0,0,0,16,9,2,46.2,180,33,12,12,4,10,3,1,1,0,60,"Tanner Scott",17586,656945
"Gregory Soto","PIT",5,3,3.698630620176579,49,0,0,0,0,14,8,5,48.2,204,33,23,20,5,21,1,4,7,1,59,"Gregory Soto",19677,642397
"Steven Okert","HOU",5,1,2.064706252999026,56,0,0,0,0,0,16,1,56.2,216,35,14,13,6,11,0,4,1,0,58,"Steven Okert",13580,595345
"José Alvarado","PHI",3,3,5.770993206663817,50,0,0,0,0,1,10,2,43.2,203,47,30,28,4,19,2,8,4,0,56,"Jose Alvarado",17780,621237
"Sean Newcomb","CHW",1,2,2.89830564692332,41,0,0,0,0,3,9,1,59,245,49,22,19,2,22,3,6,0,0,54,"Sean Newcomb",16943,656794
"Alex Vesia","LAD",1,1,2.9495808720112517,51,0,0,0,0,3,17,1,39.2,168,21,13,13,2,27,3,0,0,1,54,"Alex Vesia",25007,681911
"Erik Sabrowski","CLE",4,2,3.6947380289942786,42,0,0,0,0,0,20,2,31.2,138,22,16,13,3,22,2,0,4,0,53,"Erik Sabrowski",24978,681870
"Brent Suter","- - -",1,1,4.072626132285915,39,0,0,0,0,0,3,0,59.2,248,62,33,27,6,12,1,1,1,0,52,"Brent Suter",13942,608718
"Jacob Latz","TEX",3,1,2.020408320556043,41,0,0,0,0,22,2,3,49,182,26,12,11,3,12,2,0,2,0,52,"Jacob Latz",21306,656641
"Ian Seymour","TBR",5,1,3.805369614642049,29,0,0,0,0,2,9,0,49.2,203,34,23,21,4,21,4,2,2,0,52,"Ian Seymour",27932,693855
