Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Brent Headrick","NYY",2.531172275543213,-3.5299978256225586,6.0611701011657715,21.347999572753906,2.213834762573242,1.234925627708435,1.1347906589508057,1.3837299346923828,1.270211100578308,54,1.2651079893112183,0.784547648850678,24,5,"Brent Headrick",27702,687396
"Dylan Lee","ATL",2.3860223293304443,-3.1407251358032227,5.526747226715088,17.187999725341797,1.7299726009368896,1.3526109457015991,1.308438777923584,1.4577854871749878,1.1762263774871826,53,2.115875005722046,-0.3518627175523572,25,5,"Dylan Lee",19996,669276
"Sean Newcomb","CHW",2.2528884410858154,-4.280378341674805,6.533266544342041,13.696000099182129,1.392960548400879,1.421148657798767,1.1980078220367432,1.4719268083572388,1.3395886421203613,35,0.9606761336326599,0.624582684100975,16,4,"Sean Newcomb",16943,656794
"Jacob Latz","TEX",2.1488780975341797,-4.176782131195068,6.325660228729248,9.420000076293945,0.9513007402420044,1.7656211853027344,1.7891333103179932,1.7963268756866455,1.948533296585083,9,1.7064385414123535,-0.4893722106378211,23,5,"Jacob Latz",21306,656641
"Tanner Scott","LAD",1.883188009262085,-3.9465980529785156,5.8297858238220215,7.7820000648498535,0.7958353757858276,1.5893311500549316,1.5469383001327515,1.6443519592285156,1.2033333778381348,27,0.963704526424408,0.2211888856231674,24,7,"Tanner Scott",17586,656945
"Daniel Lynch IV","KCR",1.7950328588485718,-2.6907620429992676,4.485795021057129,10.901999473571777,1.0662329196929932,1.24867844581604,1.2917762994766235,1.4123477935791016,1.410131812095642,44,1.3267518281936646,0.11079429496014437,21,5,"Daniel Lynch IV",21537,663738
"Brock Burke","CIN",1.7385540008544922,-4.024673938751221,5.763227939605713,7.941000461578369,0.7711370587348938,1.290412187576294,1.0770394802093506,1.180896520614624,1.0648127794265747,47,0.44051381945610046,0.9067719684439015,21,6,"Brock Burke",17968,656271
"Aroldis Chapman","BOS",1.7100499868392944,-5.164006233215332,6.874055862426758,8.963000297546387,0.9488191604614258,2.296267032623291,1.9387750625610352,1.9520950317382812,2.882575035095215,8,0.3603886067867279,0.384320071491733,24,5,"Aroldis Chapman",10233,547973
"Adrian Morejon","SDP",1.6529351472854614,-6.0967817306518555,7.7497172355651855,5.593999862670898,0.643667995929718,1.6430776119232178,1.5900155305862427,1.8256258964538574,1.6164000034332275,47,0.8480750322341919,0.15792440156656773,30,12,"Adrian Morejon",20039,670970
"Ian Seymour","TBR",1.6522222757339478,-3.108140230178833,4.760362148284912,4.564000129699707,0.4482576549053192,1.2221475839614868,1.1017487049102783,1.3228620290756226,1.8639999628067017,23,0.7424508333206177,0.6094499497079022,12,2,"Ian Seymour",27932,693855
"Alex Vesia","LAD",1.4101121425628662,-3.0972418785095215,4.507354259490967,11.34999942779541,1.16420578956604,1.5119872093200684,1.0210235118865967,1.3591960668563843,1.360654592514038,44,0.9814766645431519,-0.04885492418002724,13,6,"Alex Vesia",25007,681911
"Steven Okert","HOU",1.3682502508163452,-3.206848621368408,4.575098991394043,13.265999794006348,1.3538753986358643,1.067768931388855,1.063297152519226,1.2037856578826904,1.1907672882080078,55,1.3936996459960938,-0.11228921102806,22,6,"Steven Okert",13580,595345
"Mason Montgomery","PIT",1.2698999643325806,-3.780900239944458,5.050800323486328,5.934000492095947,0.6368640661239624,1.5564911365509033,1.3375033140182495,1.5786857604980469,1.481483817100525,31,0.6031445860862732,0.21272897368651633,19,6,"Mason Montgomery",29770,682254
"John King","MIA",1.2325584888458252,-1.5996731519699097,2.8322315216064453,12.770999908447266,1.294358253479004,0.7242245674133301,0.7522152662277222,0.9365174174308777,0.8703882098197937,34,0.9364501237869263,0.7654508394019934,12,4,"John King",22051,667463
"Gregory Soto","PIT",1.1827219724655151,-6.3920416831970215,7.574763774871826,3.1490001678466797,0.337583065032959,2.0363619327545166,1.7329424619674683,1.8401836156845093,1.5550880432128906,25,0.7615482807159424,-0.18074682619960902,25,6,"Gregory Soto",19677,642397
