Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez","HOU",513,0.159844054,0.173489278,0.921348314,0.324644549,0.438596491,0.630331753,1.068928244,0.305687204,1.7038083541335531,0.338870431,,,-3.0279781818389893,-0.6190082188695669,113.13806695005093,52.31425222268495,0.44246170107199223,190.24423737887815,"Yordan Alvarez",19556,670541
"Willson Contreras","BOS",435,0.108045977,0.255172413,0.423423423,0.286885245,0.393103448,0.535519125,0.928622573,0.24863388,3.4465533799780395,0.34893617,,,-1.035962700843811,-1.358396228402853,81.10848153352873,29.53273220330612,0.40033301029689866,156.06859435852328,"Willson Contreras",11609,575929
"Pete Crow-Armstrong","CHC",521,0.12284069,0.266794625,0.460431654,0.287330316,0.388461538,0.545248868,0.933710406,0.257918552,7.6434278086544705,0.360714285,,,2.5495445728302,2.2952357325702906,96.69904597495332,34.92671171967521,0.39927811216014303,155.71301462412234,"Pete Crow-Armstrong",27769,691718
"Junior Caminero","TBR",506,0.124505928,0.183794466,0.677419354,0.280182232,0.371541501,0.551252847,0.922794348,0.271070615,2.290595496526025,0.285714285,,,-0.5738835334777832,-1.1518726851791143,90.35107212058044,30.3572119801376,0.3905728093575184,152.64695515213015,"Junior Caminero",28163,691406
"Shohei Ohtani","LAD",492,0.140243902,0.227642276,0.616071428,0.294403892,0.397959183,0.547445255,0.945404438,0.253041363,3.941423143118689,0.341726618,,,0.7349638342857361,-0.7755782101303339,90.18517223254081,31.85122126594419,0.3964359199447471,152.5468708832319,"Shohei Ohtani",19755,660271
"James Wood","WSN",535,0.168224299,0.285981308,0.588235294,0.265446224,0.392523364,0.535469107,0.927992471,0.270022883,5.7834602809882725,0.333333333,,,0.2667846381664276,1.7507627457380295,97.37403432274594,33.94179089362158,0.39483454041607935,150.99315893316907,"James Wood",29518,695578
"Ben Rice","NYY",479,0.121085594,0.25052192,0.483333333,0.259615384,0.352818371,0.550480769,0.90329914,0.290865385,4.113816661900504,0.285714285,,,-1.0302321910858154,-0.2357336487621069,82.75766627823049,25.965059544491115,0.38341945296839663,149.71363678282378,"Ben Rice",29576,700250
"CJ Abrams","WSN",493,0.085192697,0.229208924,0.371681415,0.288018433,0.361054766,0.548387096,0.909441862,0.260368663,6.056589366538613,0.324414715,,,0.42902871966362,1.4400113932788372,86.71974088073706,28.26722497315144,0.3872884643053571,145.9401334609548,"CJ Abrams",25768,682928
"Nick Kurtz","ATH",434,0.182027649,0.324884792,0.560283687,0.255681818,0.396313364,0.482954545,0.879267909,0.227272727,4.245467784841915,0.363157894,,,-0.7805617451667786,0.2661055363714695,73.91231636483573,22.455131975602146,0.3803704971425674,143.5753561135375,"Nick Kurtz",35110,701762
"Dillon Dingler","DET",458,0.063318777,0.216157205,0.292929292,0.274939172,0.33991228,0.530413625,0.870325905,0.255474453,2.5652709275000003,0.301038062,,,1.0129950046539307,-0.5956423431634903,75.39770630014188,21.09496332717188,0.3733489210145515,141.30164614639742,"Dillon Dingler",27464,693307
"Randy Arozarena","SEA",470,0.09574468,0.208510638,0.459183673,0.279012345,0.372340425,0.44691358,0.819254005,0.167901235,5.654640802503888,0.334459459,,,0.7867273092269897,0.747577890753746,73.03045782760891,17.304935562770698,0.361928809196391,140.25332534959495,"Randy Arozarena",19290,668227
"Matt Olson","ATL",512,0.1015625,0.24609375,0.412698412,0.266519823,0.34375,0.548458149,0.892208149,0.281938326,2.901428954841013,0.295302013,,,-0.5201783180236816,-0.2357336487621069,86.65960530378825,25.954355517411294,0.3790754136027428,139.95718960508214,"Matt Olson",14344,621566
"Kyle Schwarber","PHI",497,0.146881287,0.348088531,0.421965317,0.243961352,0.362903225,0.519323671,0.882226896,0.275362319,2.685453616469529,0.322274881,,,-2.0915443897247314,-0.7568037994205952,84.03085590367165,25.104080232129963,0.37885186178930874,138.68581765245966,"Kyle Schwarber",16478,656941
"Jake Bauers","MIL",412,0.13592233,0.262135922,0.518518518,0.267806267,0.371359223,0.495726495,0.867085718,0.227920228,5.3969791212575835,0.328888888,,,2.2243871688842773,0.13403728604316711,68.28931901274612,19.44056332527092,0.3747418020057212,138.26158229598107,"Jake Bauers",15194,641343
