Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"James Wood","WSN",0.333333333,1.160377358,0.204861111,0.427083333,0.368055555,0.037735849,0.283018867,9,0.073170731,0,0,0.32986111,0.35416667,0.31597222,0.09027778,0.40277778,0.50694444,"James Wood",29518,695578
"Yordan Alvarez","HOU",0.338870431,0.628930817,0.229166666,0.297619047,0.473214285,0.056603773,0.220125786,5,0.05,0,0,0.41369048,0.33928571,0.24702381,0.08035714,0.41666667,0.50297619,"Yordan Alvarez",19556,670541
"Nick Kurtz","ATH",0.363157894,1.16,0.228571428,0.414285714,0.357142857,0.053333333,0.28,4,0.045977011,1,1,0.33175355,0.39336493,0.27488152,0.13744076,0.38862559,0.47393365,"Nick Kurtz",35110,701762
"Shohei Ohtani","LAD",0.341726618,1.06779661,0.197368421,0.414473684,0.388157894,0.042372881,0.220338983,12,0.095238095,0,0,0.49013158,0.28947368,0.22039474,0.09539474,0.44078947,0.46381579,"Shohei Ohtani",19755,660271
"Elly De La Cruz","CIN",0.341365461,1.404494382,0.204460966,0.464684014,0.330855018,0.033707865,0.224719101,7,0.056,0,0,0.34200743,0.40148699,0.25650558,0.09665428,0.44237918,0.46096654,"Elly De La Cruz",26668,682829
"Brandon Nimmo","TEX",0.333333333,1.024193548,0.225308641,0.391975308,0.382716049,0.04032258,0.096774193,9,0.070866141,0,0,0.32098765,0.44753086,0.23148148,0.12962963,0.41975309,0.45061728,"Brandon Nimmo",12927,607043
"Junior Caminero","TBR",0.285714285,1.446280991,0.149425287,0.502873563,0.347701149,0.140495867,0.272727272,10,0.057142857,0,0,0.49425287,0.34195402,0.1637931,0.1408046,0.41091954,0.44827586,"Junior Caminero",28163,691406
"Pete Alonso","BAL",0.290102389,1.057851239,0.212025316,0.405063291,0.382911392,0.057851239,0.190082644,4,0.03125,0,0,0.35759494,0.40506329,0.23734177,0.08227848,0.47468354,0.44303797,"Pete Alonso",19251,624413
"Kody Clemens","MIN",0.25367647,0.912698412,0.168965517,0.396551724,0.434482758,0.095238095,0.15079365,9,0.078260869,1,0.333333333,0.47440273,0.2662116,0.25938567,0.11262799,0.45051195,0.43686007,"Kody Clemens",20572,665019
"Bryce Harper","PHI",0.278911564,1.168067226,0.19122257,0.435736677,0.373040752,0.050420168,0.210084033,5,0.035971223,0,0,0.40438871,0.37931034,0.21630094,0.10971787,0.45454545,0.43573668,"Bryce Harper",11579,547180
