Name,Team,PA,BB%+,K%+,AVG+,OBP+,SLG+,wRC+,ISO+,BABIP+,LD%+,GB%+,FB%+,Pull%+,Cent%+,Oppo%+,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez","HOU",513,180.6379709367208,77.50218166408568,134.6830588325113,138.85938250890712,159.01870167914592,190.24423737887815,196.77945352854798,118.19105616541661,118.92555189061858,72.32976343835298,119.55072320221728,99.30126415490767,97.2449349994405,105.3404199776488,"Yordan Alvarez",19556,670541
"Willson Contreras","BOS",435,122.10154562994006,113.99216675504927,119.01811519562715,124.45631274191449,135.09958141336446,156.06859435852328,160.05262371100946,121.7017794822451,104.59414288351499,88.54508726695458,109.67122083201542,126.53144165888222,85.54062821386059,74.3787777852426,"Willson Contreras",11609,575929
"Pete Crow-Armstrong","CHC",521,136.69033590879815,121.86408113263734,116.656657709312,121.07927259428762,134.2942353568946,155.71301462412234,161.49548550329519,123.87499296332211,109.19687462407803,72.10193224195659,125.88984222746535,125.01264239089205,83.5666933241283,81.83578660317568,"Pete Crow-Armstrong",27769,691718
"Junior Caminero","TBR",506,140.70275146746124,82.10577769990846,116.23728213677886,117.6298134252344,139.0688500296333,152.64695515213015,174.49578127368204,99.65128266295044,77.54393356182557,122.21235911420581,87.8416504717137,118.63926763712837,98.0097165016127,69.84765690930742,"Junior Caminero",28163,691406
"Shohei Ohtani","LAD",492,156.05566912348482,103.98041861481362,119.5285430909186,124.03958612720365,134.83520321583714,152.5468708832319,158.4416376922764,117.35432767828935,101.02506917045753,98.51984674510575,101.10028152145927,120.58142069807151,81.60923171075204,92.28510371557158,"Shohei Ohtani",19755,660271
"James Wood","WSN",535,187.1907096771607,130.6280039207302,107.7716745120531,122.34529995961346,131.88549028185085,150.99315893316907,169.07460222979412,114.471940804384,104.86028010079576,101.51714364222208,95.8643912727869,81.15192569254181,99.8476583792623,132.30592439607818,"James Wood",29518,695578
"Ben Rice","NYY",479,136.8374704124282,111.91467033873725,107.70485487836426,111.70208184556247,138.87407189800547,149.71363678282378,187.23823163586107,99.65128266295045,95.77896804222202,101.12574718718315,100.88464233273571,114.38032727550575,95.21828327932312,81.56706231938522,"Ben Rice",29576,700250
"CJ Abrams","WSN",493,94.79772842293917,104.69601818500092,116.93603452708213,112.53687729048927,135.06717768537933,145.9401334609548,163.02962045564234,111.40914626606249,103.3112632266524,84.32124352693397,115.49526806035915,108.33840849215366,90.5256698152498,99.87970180396744,"CJ Abrams",25768,682928
"Nick Kurtz","ATH",434,205.70740260217386,145.13450317939933,106.07296331378552,125.4725701968002,121.83870533322579,143.5753561135375,146.30184854254767,126.66202512862034,118.61665440176532,100.68303084617149,90.22696100743465,79.63332300665155,112.74493819217979,117.22001396040649,"Nick Kurtz",35110,701762
"Dillon Dingler","DET",458,71.55583903968493,96.56305659368188,114.0621297720848,107.61602127818834,133.81157715598908,141.30164614639742,164.45609300625063,104.99590179283057,105.43702630788513,89.4960274188191,108.2723531078674,102.11122793647304,104.6378248600883,89.34898269412027,"Dillon Dingler",27464,693307
