Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez","HOU",513,336,94.40478808008982,110.3,118.5,19.101796407185628,60,0.17857143,180,0.53571429,0.324644549,0.333470164733741,0.630331753,0.6931097718013499,0.44246170107199223,0.4672813023874647,"Yordan Alvarez",19556,670541
"James Wood","WSN",535,288,95.12264536149826,110.7,116.3,10.055555555555555,60,0.20833333,166,0.57638889,0.265446224,0.2753669668775086,0.535469107,0.5845160528060493,0.39483454041607935,0.41896507626488094,"James Wood",29518,695578
"Shohei Ohtani","LAD",492,306,93.34817535299004,109.1,114.6,12.844370860927153,50,0.16339869,160,0.52287582,0.294403892,0.29729901108087275,0.547445255,0.5738651799220665,0.3964359199447471,0.40984712183602046,"Shohei Ohtani",19755,660271
"Mike Trout","LAA",438,242,90.14481489885893,108.6,114.6,17.502074688796682,41,0.16942149,115,0.47520661,0.237960339,0.2564900281422498,0.444759206,0.5122364620197872,0.36160833296520173,0.3906600201716188,"Mike Trout",10155,545361
"Bryce Harper","PHI",499,319,90.21034360305643,106.7,113.5,12.630094043887148,37,0.11598746,143,0.44827586,0.256594724,0.2760095939361792,0.503597122,0.5130263586981977,0.3722825958844154,0.3893440923383159,"Bryce Harper",11579,547180
"Willson Contreras","BOS",435,258,90.7816390991211,108.9,114.9,18.34375,37,0.14341085,119,0.46124031,0.286885245,0.266043945983216,0.535519125,0.5083214057670845,0.40033301029689866,0.38676013636755,"Willson Contreras",11609,575929
"Bobby Witt Jr.","KCR",435,317,92.85448592748398,107.8,117.2,16.28205128205128,38,0.11987382,166,0.52365931,0.286082474,0.30671018595483845,0.453608247,0.5174438635923221,0.35109693323653146,0.3859501511837955,"Bobby Witt Jr.",25764,677951
"Alec Burleson","STL",491,365,91.77327608471074,106.5,111.7,11.983471074380166,42,0.11506849,179,0.49041096,0.282805429,0.29456237654567036,0.472850678,0.532977322602218,0.3542776570427834,0.3807287333924093,"Alec Burleson",27615,676475
"Drake Baldwin","ATL",419,280,91.66107003348215,105.5,112.8,10.085714285714285,39,0.13928571,144,0.51428571,0.272479564,0.2823814787072122,0.455040871,0.508836501950464,0.35755029856729853,0.37964968601290844,"Drake Baldwin",31539,686948
"Miguel Vargas","CHW",504,341,90.60088265117994,104,112.9,20.530973451327434,48,0.14076246,156,0.45747801,0.234192037,0.26170187936702244,0.466042154,0.5097370774533267,0.3494288992739009,0.3796282445261617,"Miguel Vargas",20178,678246
"Pete Alonso","BAL",506,316,93.97904885912699,107.2,114.6,15.686708860759493,42,0.13291139,175,0.55379747,0.246575342,0.2734701874059275,0.454337899,0.5189266029847871,0.34517352860680156,0.37898680787838385,"Pete Alonso",19251,624413
