Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Matt Olson","ATL","1B",117,117,1034,830,81,7,6,1,85,14,1,82,10,,,,,0.99237473,,"Matt Olson",14344,621566
"Michael Busch","CHC","1B",117,116,1031.2,879,110,4,3,1,83,6,1,85,14,,,,,0.9959718,,"Michael Busch",26319,683737
"Ozzie Albies","ATL","2B",116,116,1025,148,266,7,5,2,59,23,37,4,,,,,,0.98337292,,"Ozzie Albies",16556,645277
"Cole Young","SEA","2B",115,115,1013.1,153,296,5,3,2,55,33,27,3,,,,,,0.98898678,,"Cole Young",31680,702284
"Pete Crow-Armstrong","CHC","CF",116,115,1011.2,310,5,5,5,0,0,1,0,0,,,,,,0.984375,,"Pete Crow-Armstrong",27769,691718
"Junior Caminero","TBR","3B",115,115,1009.2,76,190,15,7,8,16,16,0,0,,,,,,0.94661922,,"Junior Caminero",28163,691406
"Austin Riley","ATL","3B",115,114,1009,97,171,10,4,6,10,11,0,0,,,,,,0.96402878,,"Austin Riley",18360,663586
"Geraldo Perdomo","ARI","SS",114,113,1001,186,285,6,5,1,69,32,35,9,,,,,,0.98742138,,"Geraldo Perdomo",22799,672695
"Wilyer Abreu","BOS","RF",112,112,995.1,218,10,7,3,4,0,1,0,0,,,,,,0.97021277,,"Wilyer Abreu",23772,677800
"Andy Pages","LAD","CF",114,113,992.2,305,13,2,2,0,0,3,0,0,,,,,,0.99375,,"Andy Pages",24816,681624
"Jackson Merrill","SDP","CF",114,113,992,283,7,1,0,1,0,1,0,0,,,,,,0.99656357,,"Jackson Merrill",29490,701538
"Zach Neto","LAA","SS",113,113,986.1,151,241,15,9,6,47,30,18,1,,,,,,0.96314496,,"Zach Neto",31347,687263
"Brice Turang","MIL","2B",111,111,984.2,164,273,3,2,1,65,32,36,1,,,,,,0.99318182,,"Brice Turang",22186,668930
"Spencer Torkelson","DET","1B",113,110,977.2,871,78,2,1,1,78,10,1,77,12,,,,,0.99789695,,"Spencer Torkelson",27465,679529
"Dansby Swanson","CHC","SS",111,111,976.2,150,284,6,1,5,51,26,26,0,,,,,,0.98636364,,"Dansby Swanson",18314,621020
"Otto Lopez","MIA","SS",113,111,975.2,149,251,16,8,8,55,32,25,4,,,,,,0.96153846,,"Otto Lopez",19608,672640
"Willy Adames","SFG","SS",112,112,973,166,261,15,6,9,63,37,25,6,,,,,,0.96606335,,"Willy Adames",15986,642715
"Xavier Edwards","MIA","2B",114,112,972,173,276,7,6,1,55,23,35,2,,,,,,0.98464912,,"Xavier Edwards",22266,669364
"Trea Turner","PHI","SS",112,112,971.2,141,255,18,12,6,36,18,15,6,,,,,,0.95652174,,"Trea Turner",16252,607208
"Alec Burleson","STL","1B",112,108,968.1,897,78,8,7,1,89,12,0,87,11,,,,,0.99186165,,"Alec Burleson",27615,676475
"Pete Alonso","BAL","1B",110,109,966.1,821,89,3,1,2,65,8,0,69,19,,,,,0.99671413,,"Pete Alonso",19251,624413
"Freddie Freeman","LAD","1B",114,114,965.2,774,83,1,1,0,58,8,1,58,12,,,,,0.9988345,,"Freddie Freeman",5361,518692
"Josh Naylor","SEA","1B",110,110,965.1,747,99,6,1,5,72,12,0,74,13,,,,,0.99295775,,"Josh Naylor",18839,647304
"Ceddanne Rafaela","BOS","CF",111,107,962.1,272,7,2,1,1,0,2,0,0,,,,,,0.99288256,,"Ceddanne Rafaela",24262,678882
"Corbin Carroll","ARI","RF",111,111,958.1,260,4,3,0,3,0,1,0,0,,,,,,0.98876404,,"Corbin Carroll",25878,682998
"Xander Bogaerts","SDP","SS",111,110,954,169,237,7,5,2,56,25,29,7,,,,,,0.98305085,,"Xander Bogaerts",12161,593428
"CJ Abrams","WSN","SS",109,108,952.2,154,264,19,10,9,56,27,28,1,,,,,,0.95652174,,"CJ Abrams",25768,682928
"Chase Meidroth","CHW","2B",111,110,951.1,183,233,6,2,4,52,22,31,0,,,,,,0.98578199,,"Chase Meidroth",31580,805367
"Gunnar Henderson","BAL","SS",108,108,948.2,161,266,14,6,8,43,25,18,4,,,,,,0.96825397,,"Gunnar Henderson",26289,683002
"Christian Walker","HOU","1B",112,110,948.1,722,77,0,0,0,71,12,0,67,19,,,,,1,,"Christian Walker",13419,572233
"Ian Happ","CHC","LF",110,107,945.2,214,5,1,1,0,0,1,0,0,,,,,,0.99545455,,"Ian Happ",17919,664023
"Jake Burger","TEX","1B",111,107,944.1,715,93,4,2,1,64,12,1,59,9,,,,,0.99507389,,"Jake Burger",22275,669394
"Jordan Walker","STL","RF",107,106,943,228,8,4,1,3,0,1,0,0,,,,,,0.98333333,,"Jordan Walker",27475,691023
"JJ Wetherholt","STL","2B",109,105,942.1,135,317,2,0,2,60,33,30,2,,,,,,0.99559471,,"JJ Wetherholt",34985,802139
"Masyn Winn","STL","SS",108,106,938.1,169,285,8,5,3,69,32,41,2,,,,,,0.98268398,,"Masyn Winn",27479,691026
"Cam Smith","HOU","RF",116,103,938.1,223,8,5,5,0,0,2,0,0,,,,,,0.97881356,,"Cam Smith",35108,701358
"Alex Bregman","CHC","3B",107,105,936.2,62,187,4,2,2,23,25,0,1,,,,,,0.98418972,,"Alex Bregman",17678,608324
"Kyle Tucker","LAD","RF",109,107,934.2,194,6,3,1,2,0,0,0,0,,,,,,0.98522167,,"Kyle Tucker",18345,663656
"Luis Arraez","- - -","2B",108,108,934.2,140,294,5,2,3,56,17,42,0,,,,,,0.98861048,,"Luis Arraez",18568,650333
"Jonathan Aranda","TBR","1B",108,105,934,773,58,4,2,2,56,9,1,57,8,,,,,0.99520958,,"Jonathan Aranda",21837,666018
"Caleb Durbin","BOS","3B",108,105,931.1,69,203,6,4,2,17,16,0,4,,,,,,0.97841727,,"Caleb Durbin",29646,702332
"Randy Arozarena","SEA","LF",106,106,927.1,214,2,0,0,0,0,1,0,0,,,,,,1,,"Randy Arozarena",19290,668227
"Nico Hoerner","CHC","2B",108,107,924.2,172,288,4,2,2,56,16,42,2,,,,,,0.99137931,,"Nico Hoerner",21479,663538
"Kazuma Okamoto","TOR","3B",107,104,924,61,154,13,5,7,8,9,0,0,,,,,,0.94298246,,"Kazuma Okamoto",37123,672960
"Brayan Rocchio","CLE","SS",105,103,919.2,129,225,11,6,5,36,18,19,2,,,,,,0.96986301,,"Brayan Rocchio",23690,677587
"Nolan Arenado","ARI","3B",108,106,912.2,75,170,5,4,1,19,23,0,2,,,,,,0.98,,"Nolan Arenado",9777,571448
"Bryce Harper","PHI","1B",107,106,912.2,740,61,4,2,2,53,4,0,55,4,,,,,0.99503106,,"Bryce Harper",11579,547180
"Jazz Chisholm Jr.","NYY","2B",108,103,910.1,144,252,7,5,2,45,24,23,1,,,,,,0.98263027,,"Jazz Chisholm Jr.",20454,665862
"Riley Greene","DET","LF",106,104,908.2,180,1,1,0,1,0,0,0,0,,,,,,0.99450549,,"Riley Greene",25976,682985
"Jo Adell","- - -","RF",109,102,904.1,176,5,5,2,3,0,0,0,0,,,,,,0.97311828,,"Jo Adell",20220,666176
"Bryson Stott","PHI","2B",107,101,900.1,141,245,1,1,0,41,14,28,0,,,,,,0.99741602,,"Bryson Stott",26294,681082
"Jakob Marsee","MIA","CF",109,102,900.1,256,4,0,0,0,0,1,0,0,,,,,,1,,"Jakob Marsee",31370,805300
"Alec Bohm","PHI","3B",103,102,895.2,72,152,7,3,3,14,16,0,1,,,,,,0.96969697,,"Alec Bohm",21618,664761
"Chandler Simpson","TBR","LF",106,100,893,214,5,3,1,2,0,0,0,0,,,,,,0.98648649,,"Chandler Simpson",31912,802415
"Manny Machado","SDP","3B",102,102,890,83,147,3,1,2,15,14,0,2,,,,,,0.98712446,,"Manny Machado",11493,592518
"Brandon Lowe","PIT","2B",103,101,888.2,139,267,10,6,4,52,28,28,1,,,,,,0.97596154,,"Brandon Lowe",18882,664040
"Andrés Giménez","TOR","SS",112,97,884,150,222,5,3,2,39,24,14,5,,,,,,0.9867374,,"Andres Gimenez",19950,665926
"Ezequiel Tovar","COL","SS",108,101,883.2,126,239,9,7,2,53,22,30,5,,,,,,0.97593583,,"Ezequiel Tovar",24064,678662
"Willson Contreras","BOS","1B",105,104,870.1,734,72,4,2,0,57,9,0,58,9,,,,,0.99506173,,"Willson Contreras",11609,575929
"Julio Rodríguez","SEA","CF",101,100,870,272,4,2,2,0,0,1,0,0,,,,,,0.99280576,,"Julio Rodriguez",23697,677594
"Michael Harris II","ATL","CF",101,98,864,241,1,0,0,0,0,1,0,0,,,,,,1,,"Michael Harris II",25931,671739
"Marcus Semien","NYM","2B",99,96,861.2,149,238,6,1,5,41,17,26,0,,,,,,0.98473282,,"Marcus Semien",12533,543760
"Brandon Nimmo","TEX","RF",102,101,854.1,173,3,4,2,2,0,0,0,0,,,,,,0.97777778,,"Brandon Nimmo",12927,607043
"Tyler Soderstrom","ATH","LF",100,98,851.1,192,6,1,1,0,0,0,0,0,,,,,,0.99497487,,"Tyler Soderstrom",27467,691016
"Max Muncy","LAD","3B",107,98,850,72,164,10,5,5,12,13,0,0,,,,,,0.95934959,,"Max Muncy",13301,571970
"Isaac Collins","KCR","LF",103,96,850,205,7,1,1,0,0,0,0,0,,,,,,0.99530516,,"Isaac Collins",25477,686555
"Kyle Karros","COL","3B",107,95,847.1,80,166,9,7,2,14,14,0,2,,,,,,0.96470588,,"Kyle Karros",33252,691720
"Daylen Lile","WSN","LF",98,95,843.2,189,3,2,2,0,0,0,0,0,,,,,,0.98969072,,"Daylen Lile",29995,695734
"Bobby Witt Jr.","KCR","SS",97,97,837.2,117,223,7,3,4,50,31,20,2,,,,,,0.97982709,,"Bobby Witt Jr.",25764,677951
"Vladimir Guerrero Jr.","TOR","1B",96,95,829.2,685,67,7,3,3,57,6,0,57,6,,,,,0.99077734,,"Vladimir Guerrero Jr.",19611,665489
"Elly De La Cruz","CIN","SS",94,94,826.1,134,209,12,8,4,39,22,19,2,,,,,,0.96619718,,"Elly De La Cruz",26668,682829
"Garrett Mitchell","MIL","CF",102,92,823,223,3,2,2,0,0,1,0,0,,,,,,0.99122807,,"Garrett Mitchell",27555,669003
"Nick Kurtz","ATH","1B",94,94,822,647,40,3,1,2,58,4,0,60,17,,,,,0.99565217,,"Nick Kurtz",35110,701762
"TJ Rumfield","COL","1B",98,94,819.2,760,56,3,2,1,62,11,1,64,5,,,,,0.996337,,"TJ Rumfield",29805,681198
"Daulton Varsho","- - -","CF",100,93,818.2,218,4,2,2,0,0,1,0,0,,,,,,0.99107143,,"Daulton Varsho",19918,662139
