Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Yoshinobu Yamamoto","LAD",11,7,2.648325455526889,21,21,16,1,0,0,0,0,139.1,533,92,42,41,15,32,1,4,2,0,127,"Yoshinobu Yamamoto",33825,808967
"Emmet Sheehan","LAD",4,8,5.286713568772193,20,20,5,0,0,0,0,0,95.1,412,93,57,56,20,30,1,8,3,2,108,"Emmet Sheehan",29839,686218
"Roki Sasaki","LAD",5,5,4.542857142857143,20,20,6,0,0,0,0,0,105,446,94,55,53,21,40,0,5,8,0,106,"Roki Sasaki",35323,808963
"Shohei Ohtani","LAD",8,2,1.7859922709184424,14,14,12,0,0,0,0,0,85.2,340,55,21,17,4,26,0,6,0,1,95,"Shohei Ohtani",19755,660271
"Justin Wrobleski","LAD",11,3,3.3076923076923075,19,18,12,0,0,0,0,0,117,472,101,43,43,16,24,0,4,1,0,91,"Justin Wrobleski",31204,680736
"Tanner Scott","LAD",1,3,2.314286029582164,50,0,0,0,0,16,9,2,46.2,180,33,12,12,4,10,3,1,1,0,60,"Tanner Scott",17586,656945
"Jack Dreyer","LAD",4,1,2.872341124922032,48,1,0,0,0,1,7,2,47,184,33,15,15,6,13,2,1,3,0,54,"Jack Dreyer",30249,676263
"Edgardo Henriquez","LAD",4,1,3.1304353018114344,45,1,0,0,0,1,7,1,46,188,29,22,16,1,22,0,5,3,1,50,"Edgardo Henriquez",26944,683618
"Will Klein","LAD",3,4,3.67200056030282,36,3,0,0,0,2,12,1,41.2,189,44,22,17,3,21,2,3,2,0,49,"Will Klein",27787,694361
"Eric Lauer","LAD",5,1,3.718563044134039,10,9,5,0,0,0,0,0,55.2,227,49,23,23,11,13,0,3,0,1,31,"Eric Lauer",19316,641778
