Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",85.2,213,87.39573459715639,103.6,111.2,11.222748815165877,8,0.03755869,72,0.33802817,1.7859922709184424,2.7092519963710453,"Shohei Ohtani",19755,660271
"Edgardo Henriquez","LAD",46,111,83.00654388142523,99.5,108.8,9.644859813084112,3,0.02702703,29,0.26126126,3.1304353018114344,2.8216711306103988,"Edgardo Henriquez",26944,683618
"Tanner Scott","LAD",46.2,109,89.07383542640187,104.9,113,17.700934579439252,8,0.0733945,37,0.33944954,2.314286029582164,3.087330758998534,"Tanner Scott",17586,656945
"Yoshinobu Yamamoto","LAD",139.1,370,87.50082405821918,103.3,114.2,9.356164383561644,24,0.06486486,129,0.34864865,2.648325455526889,3.1455476406775835,"Yoshinobu Yamamoto",33825,808967
"Jack Dreyer","LAD",47,116,88.94107491629464,105.2,112.3,11.446428571428571,8,0.06896552,46,0.39655172,2.872341124922032,3.252056557670513,"Jack Dreyer",30249,676263
"Will Klein","LAD",41.2,116,88.5228057325932,104.4,113.1,5.3652173913043475,3,0.02586207,44,0.37931034,3.67200056030282,3.4441258420855436,"Will Klein",27787,694361
"Emmet Sheehan","LAD",95.1,266,88.89431670217803,104.7,111,20.265151515151516,28,0.10526316,104,0.39097744,5.286713568772193,3.9603693260297086,"Emmet Sheehan",29839,686218
"Roki Sasaki","LAD",105,295,89.80376444777397,104.6,115.7,13.051194539249147,31,0.10508475,126,0.42711864,4.542857142857143,4.155711788176198,"Roki Sasaki",35323,808963
"Eric Lauer","LAD",55.2,180,87.22259969765183,102.4,111.6,20.23728813559322,19,0.10555556,56,0.31111111,3.718563044134039,4.244715236471083,"Eric Lauer",19316,641778
"Justin Wrobleski","LAD",117,353,89.89200125558035,105,111.5,15.522857142857143,32,0.09065156,153,0.43342776,3.3076923076923075,4.512938837424094,"Justin Wrobleski",31204,680736
