pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-28,98.8,-0.51,6.01,"Rodriguez, Bradgley",694374,699134,strikeout,called_strike,,,,,3.0,Tim Tawa called out on strikes.,R,R,R,SD,AZ,S,2.0,,1,2,2025,-0.79,1.45,0.6674741000564455,2.7959904410299345,,,672515.0,2,7,Top,,,,,,,5.020562492988504,-143.57708465600265,-6.5593354921804,-12.146200351373508,37.90812888026507,-10.808230556139833,3.26998532142498,1.5466153319596,,,,97.6,2355.0,6.0,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.5,,0.0,0.0,1.0,0.0,0.0,,60,4,4-Seam Fastball,9,2,2,9,2,9,2,9,Standard,Standard,216.0,0.001,-0.183,,,,,0.183,,7,-7,0.996,0.004,21,26,22,26,1,3,2.0,1.0,,,0.92,0.79,0.79,38.3,,,,,
FF,2025-09-28,97.5,-0.65,6.07,"Rodriguez, Bradgley",694374,699134,,ball,,,,,12.0,,R,R,R,SD,AZ,B,,,0,2,2025,-0.74,1.41,0.7314723675804966,4.072740303287346,,,672515.0,2,7,Top,,,,,,,5.395001340531709,-141.8111719611284,-3.010195734630471,-11.256612334401115,35.82585117461623,-12.811425980369645,3.24711939163693,1.56945822162145,,,,96.6,2290.0,6.1,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.44,,,,,,,,60,3,4-Seam Fastball,9,2,2,9,2,9,2,9,Standard,Standard,213.0,0.0,0.009,,,,,-0.009,,7,-7,0.996,0.004,21,26,22,26,1,3,2.0,1.0,,,1.01,0.74,0.74,47.3,,,,,
FC,2025-09-28,90.2,-1.04,5.77,"Rodriguez, Bradgley",694374,699134,,foul,,,,,8.0,,R,R,R,SD,AZ,S,,,0,1,2025,0.5,0.34,0.0880567959727748,1.9385834485777735,,,672515.0,2,7,Top,,,,,,,1.74262983873519,-131.36979020378948,-4.308731901898726,5.397080162178132,27.76881542169351,-27.549987883721027,3.3,1.54,,,,90.2,2409.0,6.2,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.29,,,,,,,,60,2,Cutter,9,2,2,9,2,9,2,9,Standard,Standard,152.0,0.001,-0.055,73.0,8.0,,,0.055,,7,-7,0.995,0.005,21,26,22,26,1,3,2.0,1.0,,,2.46,-0.5,-0.5,40.8,23.360655925015543,-13.964918595715346,31.96903546856437,37.439003488313816,39.60786271297668
FC,2025-09-28,88.8,-0.77,5.82,"Rodriguez, Bradgley",694374,699134,,called_strike,,,,,6.0,,R,R,R,SD,AZ,S,,,0,0,2025,0.61,0.12,0.7398984447944719,2.091347656625824,,,672515.0,2,7,Top,,,,,,,2.417078696720854,-129.30973299191032,-3.3065252630203137,6.337519668962173,28.20010837028542,-30.321377588177075,3.24711939163693,1.50093056584211,,,,88.7,2448.0,6.3,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.23,,,,,,,,60,1,Cutter,9,2,2,9,2,9,2,9,Standard,Standard,132.0,0.0,-0.042,,,,,0.042,,7,-7,0.995,0.005,21,26,22,26,1,3,2.0,1.0,,,2.78,-0.61,-0.61,41.1,,,,,
CH,2025-09-28,90.5,-0.79,5.84,"Rodriguez, Bradgley",672695,699134,strikeout,called_strike,,,,,7.0,Geraldo Perdomo called out on strikes.,R,L,R,SD,AZ,S,2.0,,2,2,2025,-1.35,0.82,-0.5776377784082956,1.6346447972468454,,,672515.0,1,7,Top,,,,,,,3.4269386413273866,-131.67007697157214,-6.332844375662396,-16.437993713665453,28.46863570747591,-21.4358982017528,3.5901611695793,1.72936801884119,,,,90.8,1856.0,6.5,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.01,,0.0,0.0,1.0,0.0,0.0,,59,5,Changeup,9,2,2,9,2,9,2,9,Infield shade,Standard,244.0,0.003,-0.222,,,,,0.222,,7,-7,0.992,0.008,21,25,22,26,1,3,2.0,1.0,,,1.96,1.35,-1.35,40.0,,,,,
FF,2025-09-28,96.1,-0.54,6.04,"Rodriguez, Bradgley",672695,699134,,ball,,,,,11.0,,R,L,R,SD,AZ,B,,,1,2,2025,-0.66,1.4,-0.5010752080633087,4.52096487429142,,,672515.0,1,7,Top,,,,,,,1.5693237313801431,-139.8306162892333,-1.5198234055426785,-8.918396097204377,36.2762115836775,-13.910810827202136,3.61303482280558,1.82075268410134,,,,94.9,2354.0,5.9,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.58,,,,,,,,59,4,4-Seam Fastball,9,2,2,9,2,9,2,9,Infield shade,Standard,215.0,0.0,0.044,,,,,-0.044,,7,-7,0.992,0.008,21,25,22,26,1,3,2.0,1.0,,,1.1,0.66,-0.66,42.9,,,,,
FF,2025-09-28,98.2,-0.74,5.9,"Rodriguez, Bradgley",672695,699134,,foul,,,,,6.0,,R,L,R,SD,AZ,S,,,1,1,2025,-0.7,1.3,0.7831751597748297,2.6269101633901695,,,672515.0,1,7,Top,,,,,,,5.72037024818207,-142.72362808907516,-6.306202471695217,-10.922261049162742,35.14032057956392,-13.191190075329548,3.56,1.66,242.0,78.5,27.0,97.4,2323.0,6.1,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.44,,,,,,,,59,3,4-Seam Fastball,9,2,2,9,2,9,2,9,Strategic,Standard,215.0,0.001,-0.056,70.0,7.5,,,0.056,88.0,7,-7,0.991,0.009,21,25,22,26,1,3,2.0,1.0,,,1.09,0.7,-0.7,42.4,16.62643053560039,-18.343635361311687,39.4729632961933,25.266521845389708,26.45007610453944
FF,2025-09-28,98.2,-0.68,5.98,"Rodriguez, Bradgley",672695,699134,,foul,,,,,2.0,,R,L,R,SD,AZ,S,,,1,0,2025,-0.86,1.33,0.1062918953486147,3.1156774652338792,,,672515.0,1,7,Top,,,,,,,4.103185183343169,-142.90388070801,-5.313714999159868,-12.667494997257837,35.150685380662395,-12.999753283453126,3.56,1.66,228.0,82.3,21.0,98.0,2283.0,6.3,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.18,,,,,,,,59,2,4-Seam Fastball,9,2,2,9,2,9,2,9,Strategic,Standard,221.0,0.001,-0.056,69.1,7.0,,,0.056,88.0,7,-7,0.99,0.01,21,25,22,26,1,3,2.0,1.0,,,1.05,0.86,-0.86,45.4,14.973317891647335,-13.145485247387011,35.147182627253336,32.86216662432577,23.11735305944673
FF,2025-09-28,97.8,-0.63,5.97,"Rodriguez, Bradgley",672695,699134,,ball,,,,,14.0,,R,L,R,SD,AZ,B,,,0,0,2025,-0.82,1.34,0.7792960633684112,1.2388338429583494,,,672515.0,1,7,Top,,,,,,,5.664189317955931,-142.00992367345538,-10.2789185564912,-12.386202890685942,33.842489119086466,-11.88350266326988,3.59270266073582,1.70906107738769,,,,97.4,2288.0,6.2,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.26,,,,,,,,59,1,4-Seam Fastball,9,2,2,9,2,9,2,9,Strategic,Standard,216.0,-0.001,0.035,,,,,-0.035,,7,-7,0.991,0.009,21,25,22,26,1,3,2.0,1.0,,,1.07,0.82,-0.82,45.6,,,,,
FF,2025-09-28,99.2,-0.62,6.02,"Rodriguez, Bradgley",691783,699134,strikeout,called_strike,,,,,6.0,Jordan Lawlar called out on strikes.,R,R,R,SD,AZ,S,2.0,,1,2,2025,-0.75,1.35,0.4538134837193934,2.2841005039312376,,,672515.0,0,7,Top,,,,,,,4.672971838123042,-144.18822207066611,-7.9008004451415985,-11.591996871022138,34.37904351506426,-11.654884555170336,3.46690688544857,1.58341793345399,,,,98.7,2376.0,6.1,776136,666023,656811,695238,578428,669200,657757,701538,669369,54.38,,0.0,0.0,1.0,0.0,0.0,,58,4,4-Seam Fastball,9,2,2,9,2,9,2,9,Standard,Standard,214.0,0.004,-0.165,,,,,0.165,,7,-7,0.987,0.013,21,22,22,23,1,3,2.0,2.0,,,0.97,0.75,0.75,38.5,,,,,
