pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,year,is_swing,is_whiff,is_strike
KC,2024-10-30,77.5,-1.11,5.65,"Buehler, Walker",657077,621111,strikeout,swinging_strike_blocked,,,,,13.0,Alex Verdugo strikes out swinging.,W,L,R,NYY,LAD,S,2.0,,1,2,2024,1.08,-1.37,-0.2061302843843221,1.0711793775694902,,,,2,9,Bot,,,,,,,-0.0556932654606401,-112.79518712734452,-0.1773572157882224,9.125114553442266,24.929254012748277,-43.90409554004765,3.42,1.55,,,,77.3,2404.0,6.6,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.86,,0.0,0.0,1.0,0.0,0.0,,89,4,Knuckle Curve,6,7,6,7,7,6,6,7,Infield shade,Standard,26.0,-0.047,-0.18,73.8,7.7,1.805376024,,0.18,,-1,-1,0.047,0.047,29,28,30,28,1,4,2.0,1.0,,,5.23,-1.08,1.08,53.2,25.83429157261649,-25.475080531038746,32.83121101183555,34.48144330654222,57.315364798928954,2024,True,True,True
KC,2024-10-30,78.7,-1.01,5.73,"Buehler, Walker",657077,621111,,swinging_strike,,,,,14.0,,W,L,R,NYY,LAD,S,,,1,1,2024,1.05,-1.53,0.2767231458135801,1.1715322568514468,,,,2,9,Bot,,,,,,,0.8408010027800801,-114.505808879767,-0.0565769007305099,8.894269381684703,26.430825629120857,-45.59230358681623,3.42,1.55,,,,78.0,2650.0,6.4,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.1,,,,,,,,89,3,Knuckle Curve,6,7,6,7,7,6,6,7,Infield shade,Standard,27.0,0.0,-0.064,73.9,8.0,4.519820832,,0.064,,-1,-1,0.047,0.047,29,28,30,28,1,4,2.0,1.0,,,5.28,-1.05,1.05,54.2,35.519260640327126,-41.02726332404587,35.112657405729465,29.47428606241739,57.62478125694416,2024,True,True,True
FC,2024-10-30,93.1,-1.19,5.53,"Buehler, Walker",657077,621111,,swinging_strike,,,,,14.0,,W,L,R,NYY,LAD,S,,,1,0,2024,0.53,0.73,1.2839823068956968,2.1046467214419793,,,,2,9,Bot,,,,,,,5.208109935353329,-135.54407474571795,-4.664347129241177,5.452183734966475,28.588943362646216,-22.336038777467845,3.42,1.55,,,,93.7,2528.0,6.5,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.95,,,,,,,,89,2,Cutter,6,7,6,7,7,6,6,7,Infield shade,Standard,176.0,-0.005,-0.051,74.2,7.2,0.1,,0.051,,-1,-1,0.052,0.052,29,28,30,28,1,4,2.0,1.0,,,1.89,-0.53,0.53,44.8,19.40131638252606,-32.989728788585495,26.71055039613241,16.321289578509013,37.91947195084109,2024,True,True,True
KC,2024-10-30,78.5,-1.19,5.7,"Buehler, Walker",657077,621111,,ball,,,,,13.0,,W,L,R,NYY,LAD,B,,,0,0,2024,1.05,-1.4,-0.0873199988738334,1.1122550036008194,,,,2,9,Bot,,,,,,,0.430207175847589,-114.1854313684875,-0.3490221612532247,8.932325350787155,25.35436038269367,-44.40859335204685,3.34424680176383,1.49649913462461,,,,77.7,2516.0,6.2,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.3,,,,,,,,89,1,Knuckle Curve,6,7,6,7,7,6,6,7,Infield shade,Standard,24.0,0.005,0.04,,,,,-0.04,,-1,-1,0.047,0.047,29,28,30,28,1,4,2.0,1.0,,,5.16,-1.05,1.05,51.9,,,,,,2024,False,False,False
KC,2024-10-30,77.4,-1.23,5.78,"Buehler, Walker",669224,621111,strikeout,swinging_strike,,,,,7.0,Austin Wells strikes out swinging.,W,L,R,NYY,LAD,S,2.0,,3,2,2024,1.08,-1.33,-0.388075363020953,1.8652374271702232,,,,1,9,Bot,,,,,,,-0.1784768050242834,-112.61062281279652,1.1667265165747274,9.10982698487025,24.482033734140156,-43.87436360049128,3.37,1.62,,,,76.8,2459.0,6.3,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.17,,0.0,0.0,1.0,0.0,0.0,,88,7,Knuckle Curve,6,7,6,7,7,6,6,7,Infield shade,Standard,27.0,-0.083,-0.332,74.4,7.8,0.498065028,,0.332,,-1,-1,0.13,0.13,29,24,30,25,1,4,2.0,1.0,,,5.2,-1.08,1.08,50.0,22.64380014777248,-12.035832173756218,32.683497486909516,40.57839823456111,40.30202833155071,2024,True,True,True
FF,2024-10-30,97.2,-1.34,5.56,"Buehler, Walker",669224,621111,,ball,,,,,14.0,,W,L,R,NYY,LAD,B,,,2,2,2024,-0.44,1.38,1.0978958717506015,1.1198998483729548,,,,1,9,Bot,,,,,,,7.557300414640211,-141.16657111586932,-9.545947697339589,-7.575502278833223,32.227855939099754,-11.720873968073713,3.26699269333653,1.65197222371087,,,,97.5,2419.0,6.6,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.93,,,,,,,,88,6,4-Seam Fastball,6,7,6,7,7,6,6,7,Infield shade,Standard,206.0,0.025,0.108,,,,,-0.108,,-1,-1,0.105,0.105,29,24,30,25,1,4,2.0,1.0,,,1.04,0.44,-0.44,45.1,,,,,,2024,False,False,False
KC,2024-10-30,78.4,-1.14,5.73,"Buehler, Walker",669224,621111,,foul,,,,,13.0,,W,L,R,NYY,LAD,S,,,2,2,2024,1.06,-1.54,-0.0179119209266457,1.1526810803417955,,,,1,9,Bot,,,,,,,0.4554971299637803,-114.05367022853174,-0.0253546278073057,9.008115284325164,25.767901105750063,-45.62406437771649,3.37,1.62,7.0,77.3,-10.0,77.5,2771.0,6.2,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.28,,,,,,,,88,5,Knuckle Curve,6,7,6,7,7,6,6,7,Infield shade,Standard,27.0,0.0,0.0,75.4,8.0,,,0.0,88.0,-1,-1,0.105,0.105,29,24,30,25,1,4,2.0,1.0,,,5.32,-1.06,1.06,53.8,19.24249033127341,-10.78430817151554,39.85604370599292,35.57849617873063,36.75714285119486,2024,True,False,True
KC,2024-10-30,78.1,-1.24,5.74,"Buehler, Walker",669224,621111,,foul,,,,,7.0,,W,L,R,NYY,LAD,S,,,2,1,2024,1.1,-1.26,-0.6004970585099149,2.007929354932518,,,,1,9,Bot,,,,,,,-0.6548087831242476,-113.5884745059555,1.2875350412154642,9.53928846169372,24.714198530888563,-43.443036113227635,3.37,1.62,2.0,65.3,-46.0,77.3,2450.0,6.2,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.33,,,,,,,,88,4,Knuckle Curve,6,7,6,7,7,6,6,7,Standard,Standard,33.0,-0.02,-0.078,69.5,7.8,,,0.078,88.0,-1,-1,0.125,0.125,29,24,30,25,1,4,2.0,1.0,,,5.06,-1.1,1.1,52.3,13.557747881396812,-5.3577297438624205,28.671558703496174,42.4338719730949,31.03098518317084,2024,True,False,True
FF,2024-10-30,96.2,-1.31,5.62,"Buehler, Walker",669224,621111,,ball,,,,,9.0,,W,L,R,NYY,LAD,B,,,1,1,2024,-0.37,1.51,0.7555686095774818,1.5106265517948012,,,,1,9,Bot,,,,,,,6.327235096141356,-139.63120239516073,-8.668517788461143,-6.286316022373081,33.989211499951296,-10.639650109805068,3.34424022144977,1.54223600233464,,,,96.0,2405.0,6.5,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.0,,,,,,,,88,3,4-Seam Fastball,6,7,6,7,7,6,6,7,Standard,Standard,204.0,0.013,0.059,,,,,-0.059,,-1,-1,0.112,0.112,29,24,30,25,1,4,2.0,1.0,,,0.98,0.37,-0.37,51.6,,,,,,2024,False,False,False
KC,2024-10-30,78.9,-1.07,5.69,"Buehler, Walker",669224,621111,,ball,,,,,14.0,,W,L,R,NYY,LAD,B,,,0,1,2024,1.11,-1.55,1.6004793486378368,-0.7603562150608658,,,,1,9,Bot,,,,,,,3.725264879419659,-114.6306546309066,-4.098357972549544,8.65431239846115,27.35817275046303,-44.8243585257681,3.2927475628832,1.57424738426064,,,,77.7,2601.0,6.2,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.32,,,,,,,,88,2,Knuckle Curve,6,7,6,7,7,6,6,7,Standard,Standard,32.0,0.007,0.024,,,,,-0.024,,-1,-1,0.105,0.105,29,24,30,25,1,4,2.0,1.0,,,5.31,-1.11,1.11,54.4,,,,,,2024,False,False,False
