pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-23,94.0,-1.24,5.67,"Buehler, Walker",807712,621111,,ball,,,,,14.0,,R,R,R,SD,MIN,B,,,0,0,2026,-0.36,1.37,0.999780030733866,2.0118007203455175,,,,0,1,Top,,,,,,,6.540065409767513,-136.67422442757106,-6.6732943499333786,-5.902462104972006,27.904148709943676,-13.730945124171576,3.213861549,1.621948819,,,,,,,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.13,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,,-0.004,0.042,,,,,-0.042,,0,0,0.5,0.5,31,23,32,24,1,0,6,1,6.0,1.0,1.2,0.36,0.36,,,,,,
SI,2026-08-23,94.4,-1.53,5.51,"Buehler, Walker",807712,621111,,swinging_strike,,,,,7.0,,R,R,R,SD,MIN,S,,,1,0,2026,-1.37,0.95,-0.5588465207980426,1.7537675326676194,,,,0,1,Top,,,,,,,5.602164169684168,-137.39974635515458,-6.065545950851849,-18.646957540047197,29.071568420924695,-18.935835141597032,3.213861549,1.621948819,,,,,,,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.13,,,,,,,,1,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,,0.005,-0.055,,,,,0.055,,0,0,0.496,0.504,31,23,32,24,1,0,6,1,6.0,1.0,1.59,1.37,1.37,,,,,,
,2026-08-23,,,,"Buehler, Walker",807712,621111,single,hit_into_play,,,,,,Luke Keaschall singles on a line drive to left fielder Luis Rengifo.,R,R,R,SD,MIN,X,7.0,line_drive,1,1,2026,,,,,,,,0,1,Top,106.2,115.2,,,,,,,,,,,,,,,,,,,823258,669134,664034,630105,592518,593428,650859,701538,665487,,,,0.9,,1.0,0.0,,1,3,,0,0,0,0,0,0,0,0,Standard,Standard,,-0.037,0.457,,,,,-0.457,,0,0,0.501,0.499,31,23,32,24,1,0,6,1,6.0,1.0,,,,,,,,,
,2026-08-23,,,,"Buehler, Walker",621439,621111,,foul,,,,,,,R,R,R,SD,MIN,S,,,0,0,2026,,,,,,,807712.0,0,1,Top,,,,,,,,,,,,,,,,,,,,,823258,669134,664034,630105,592518,593428,650859,701538,665487,,,,,,,,,2,1,,0,0,0,0,0,0,0,0,Standard,Standard,,0.005,-0.04,,,,,0.04,,0,0,0.464,0.536,31,32,32,33,1,0,6,1,6.0,1.0,,,,,,,,,
SL,2026-08-23,88.9,-1.14,5.71,"Buehler, Walker",621439,621111,,ball,,,,,14.0,,R,R,R,SD,MIN,B,,,0,1,2026,0.51,0.37,1.0031329645663325,2.056201121895913,,,807712.0,0,1,Top,,,,,,,4.114331210235709,-129.51381610556908,-3.5905145885705716,5.072058237900238,23.5107094733407,-27.453307871304897,3.257742782,1.644094488,,,,,,,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.13,,,,,,,,2,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,,-0.003,0.026,,,,,-0.026,,0,0,0.469,0.531,31,32,32,33,1,0,6,1,6.0,1.0,2.47,-0.51,-0.51,,,,,,
FC,2026-08-23,91.4,-1.09,5.69,"Buehler, Walker",621439,621111,grounded_into_double_play,hit_into_play,,,,,8.0,"Byron Buxton grounds into a double play, third baseman Manny Machado to second baseman Jake Cronenworth to first baseman Ty France. Luke Keaschall out at 2nd. Byron Buxton out at 1st.",R,R,R,SD,MIN,X,5.0,ground_ball,1,1,2026,0.06,0.84,-0.1076451406040532,1.814251205709069,,,807712.0,0,1,Top,103.67,169.92,,,,,2.3157188340242003,-133.22014977159645,-5.568792799889826,0.3036917393742283,25.679337547215095,-21.25129726751272,3.257742782,1.644094488,26.0,101.7,-3.0,,,,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.13,0.489,0.444,0.0,1.0,0.0,0.0,2.0,2,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,,0.072,-0.329,,,,0.531,0.329,101.7,0,0,0.466,0.534,31,32,32,33,1,0,6,1,6.0,1.0,1.86,-0.06,-0.06,,,,,,
SI,2026-08-23,94.8,-1.56,5.44,"Buehler, Walker",605137,621111,,called_strike,,,,,5.0,,R,L,R,SD,MIN,S,,,0,0,2026,-1.14,1.12,-0.167299575407168,2.23769965105454,,,,2,1,Top,,,,,,,6.179045199171139,-137.84341304652264,-5.0197342258130915,-15.908694955082645,31.00822984213442,-16.949506437197215,3.334973753,1.683070866,,,,94.8,2415.0,6.3,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.16,,,,,,,,3,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,215.0,0.002,-0.045,,,,,0.045,,0,0,0.538,0.462,31,33,32,34,1,0,6,1,6.0,1.0,1.42,1.14,-1.14,39.2,,,,,
CH,2026-08-23,89.5,-1.56,5.62,"Buehler, Walker",605137,621111,,ball,,,,,13.0,,R,L,R,SD,MIN,B,,,0,1,2026,-1.25,0.37,-1.6039228423006555,2.1833484562230945,,,,2,1,Top,,,,,,,2.5724667777174597,-130.3208955551249,-3.006952344056929,-14.785192230245377,29.418884869914415,-27.542885695687666,3.334973753,1.683070866,,,,89.1,1132.0,6.2,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.31,,,,,,,,3,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,240.0,-0.002,0.03,,,,,-0.03,,0,0,0.54,0.46,31,33,32,34,1,0,6,1,6.0,1.0,2.49,1.25,-1.25,38.9,,,,,
FC,2026-08-23,90.1,-1.48,5.6,"Buehler, Walker",605137,621111,,called_strike,,,,,4.0,,R,L,R,SD,MIN,S,,,1,1,2026,0.51,0.8,-0.4896464719672521,2.7660523740020486,,,,2,1,Top,,,,,,,1.315759258242176,-131.42347040934155,-2.7105704969834736,5.732089234733954,24.59996814138617,-22.528744871012133,3.334973753,1.683070866,,,,90.7,2674.0,6.2,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.26,,,,,,,,3,3,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,164.0,0.003,-0.064,,,,,0.064,,0,0,0.538,0.462,31,33,32,34,1,0,6,1,6.0,1.0,1.97,-0.51,0.51,44.0,,,,,
CH,2026-08-23,90.4,-1.39,5.66,"Buehler, Walker",605137,621111,field_out,hit_into_play,,,,,13.0,"Josh Bell grounds out softly, pitcher Walker Buehler to first baseman Ty France.",R,L,R,SD,MIN,X,1.0,ground_ball,1,2,2026,-1.2,-0.28,-1.3121905141643,1.9994834392355496,,,,2,1,Top,121.53,177.31,,,,,2.7813328090871203,-131.62837302401076,-2.367684624641267,-14.540440701562234,27.70324816888137,-35.10680583620235,3.334973753,1.683070866,1.0,68.2,-55.0,90.2,954.0,6.1,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.36,0.256,0.23,0.0,1.0,0.0,0.0,2.0,3,4,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,246.0,0.007,-0.183,65.9,7.5,,0.256,0.183,88.0,0,0,0.541,0.459,31,33,32,34,1,0,6,1,6.0,1.0,3.06,1.2,-1.2,44.9,-0.0903319091793463,23.48230341037501,31.14293454131387,52.330616218230205,14.14653372681962
