Starter,Opponent,Weighted xwOBA,Lineup xwOBA vs hand,Diff
Buehler (RHP),Braves,0.31798260268511896,0.3223698332124728,-0.004387230527353847
Buehler (RHP),Diamondbacks,0.32187734612880103,0.3178701399688958,0.004007206159905241
Buehler (RHP),Cubs,0.33864093279923824,0.3335947432762836,0.005046189522954658
Buehler (RHP),Phillies,0.33207653802992676,0.3227351694915254,0.00934136853840134
Mize (RHP),Braves,0.3203900649095617,0.3223698332124728,-0.0019797683029111335
Mize (RHP),Diamondbacks,0.31971928108019526,0.3178701399688958,0.0018491411112994682
Mize (RHP),Cubs,0.31432665841377533,0.3335947432762836,-0.01926808486250825
Mize (RHP),Phillies,0.316089670557964,0.3227351694915254,-0.006645498933561422
Ray (LHP),Braves,0.2914064456587073,0.29896232876712325,-0.007555883108415928
Ray (LHP),Diamondbacks,0.3274401474618619,0.3291978021978022,-0.001757654735940306
Ray (LHP),Cubs,0.33497851064379863,0.31746867749419955,0.017509833149599086
Ray (LHP),Phillies,0.35989678740953873,0.3398061224489796,0.020090664960559113
Pivetta (RHP),Braves,0.31503086028636634,0.3223698332124728,-0.0073389729261064685
Pivetta (RHP),Diamondbacks,0.29066526875255283,0.3178701399688958,-0.027204871216342963
Pivetta (RHP),Cubs,0.3352010298565581,0.3335947432762836,0.0016062865802745074
Pivetta (RHP),Phillies,0.32326312063335316,0.3227351694915254,0.0005279511418277427
