pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-22,90.8,-2.08,5.88,"Mize, Casey",807712,663554,,ball,,,,,14,,R,R,R,SD,MIN,B,,,0,0,2026,-0.97,1.53,1.3214995347215936,2.037427049052458,,,,0,1,Top,,,,,,,10.620770316188548,-131.6600204090459,-6.827961549862153,-13.559860437742724,29.055893943139605,-13.001080092143642,3.213861549,1.621948819,,,,91.5,2242,7.0,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.53,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,217,-0.004,0.042,,,,,-0.042,,0,0,0.5,0.5,29,23,29,24,1,0,6,1,6.0,1.0,1.26,0.97,0.97,47.1,,,,,
SL,2026-08-22,88.2,-2.51,5.75,"Mize, Casey",807712,663554,,foul,,,,,5,,R,R,R,SD,MIN,S,,,1,0,2026,-0.33,0.67,-0.1650572280702595,2.129194701430987,,,,0,1,Top,,,,,,,6.387848750139162,-128.27509293441844,-3.8960211445839783,-4.960627467450844,27.51635974567238,-24.19833061081861,3.213861549,1.621948819,13.0,87.9,-10.0,89.0,2142,6.9,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.63,,,,,,,,1,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,190,0.005,-0.055,65.7,7.6,,,0.055,88.0,0,0,0.496,0.504,29,23,29,24,1,0,6,1,6.0,1.0,2.27,0.33,0.33,41.1,26.952128933031908,-26.1498405496888,39.73019686054952,30.63924598799477,46.879864808363706
SL,2026-08-22,87.0,-2.46,5.75,"Mize, Casey",807712,663554,,ball,,,,,3,,R,R,R,SD,MIN,B,,,1,1,2026,0.14,0.44,0.7094195123412358,3.121998435372905,,,,0,1,Top,,,,,,,7.296719642653838,-126.6162206918284,-0.8575481525014119,0.0029520437172378,25.637640254998043,-27.516219264058275,3.213861549,1.621948819,,,,88.0,2182,6.9,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.6,,,,,,,,1,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,155,-0.005,0.063,,,,,-0.063,,0,0,0.501,0.499,29,23,29,24,1,0,6,1,6.0,1.0,2.57,-0.14,-0.14,40.4,,,,,
SL,2026-08-22,88.7,-2.4,5.72,"Mize, Casey",807712,663554,home_run,hit_into_play,,,,,3,Luke Keaschall homers (8) on a fly ball to left field.,R,R,R,SD,MIN,X,,fly_ball,2,1,2026,0.12,0.49,0.3135345699920411,2.796651006507193,,,,0,1,Top,42.08,61.95,,,,,6.366299793814513,-129.0559940398459,-1.929970113324902,0.0018421475147781,27.50347556366936,-26.556209628076548,3.213861549,1.621948819,396.0,101.6,28.0,89.5,2173,6.9,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.63,0.711,1.33,2.0,1.0,0.0,3.0,6.0,1,4,Slider,0,0,0,0,1,0,1,0,Standard,Standard,182,-0.092,1.064,65.1,6.9,,2.533,-1.064,101.6,0,0,0.496,0.504,29,23,29,24,1,0,6,1,6.0,1.0,2.42,-0.12,-0.12,42.1,15.866779459899703,-16.332359812116767,37.81996323914112,35.859084186701075,38.856293054361736
SL,2026-08-22,88.0,-2.51,5.68,"Mize, Casey",621439,663554,,ball,,,,,14,,R,R,R,SD,MIN,B,,,0,0,2026,0.36,0.54,1.6613493229130547,1.678351832938791,,,,0,1,Top,,,,,,,9.344654530816047,-127.8808112659156,-4.619826730387829,2.2777589738440143,23.80521533427337,-25.461067311970805,3.257742782,1.644094488,,,,89.5,2208,7.1,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.45,,,,,,,,2,1,Slider,0,1,1,0,1,0,1,0,Standard,Standard,184,-0.003,0.042,,,,,-0.042,,-1,1,0.404,0.596,29,32,29,33,1,0,6,1,6.0,1.0,2.38,-0.36,-0.36,38.3,,,,,
FF,2026-08-22,93.2,-2.18,5.9,"Mize, Casey",621439,663554,field_out,hit_into_play,,,,,14,Byron Buxton pops out to first baseman Ty France.,R,R,R,SD,MIN,X,3.0,popup,1,0,2026,-0.76,1.45,0.9743130259714292,2.279353263332343,,,,0,1,Top,147.94,162.63,,,,,9.799228505440905,-135.3318590618944,-6.611521092001382,-11.435478153232497,27.97740800744292,-13.088285917910929,3.257742782,1.644094488,111.0,77.4,69.0,94.3,2281,6.9,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.59,0.001,0.0,0.0,1.0,0.0,0.0,3.0,2,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,213,0.023,-0.302,73.6,8.6,,0.001,0.302,88.0,-1,1,0.401,0.599,29,32,29,33,1,0,6,1,6.0,1.0,1.18,0.76,0.76,47.6,17.778444897796074,-8.868142754529716,34.86650474320965,48.85257903943408,31.264376363173614
FF,2026-08-22,91.3,-2.36,5.87,"Mize, Casey",605137,663554,,ball,,,,,11,,R,L,R,SD,MIN,B,,,0,0,2026,-0.6,1.36,-1.2664290219782184,3.3396061665000727,,,,1,1,Top,,,,,,,4.06992429084797,-133.0650718462016,-3.3820364156864167,-7.963699162108209,25.78907003116642,-15.476162947556617,3.334973753,1.683070866,,,,92.7,2139,6.8,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.65,,,,,,,,3,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,216,-0.002,0.041,,,,,-0.041,,-1,1,0.424,0.576,29,33,29,34,1,0,6,1,6.0,1.0,1.35,0.6,-0.6,44.8,,,,,
FF,2026-08-22,92.4,-2.26,5.87,"Mize, Casey",605137,663554,,called_strike,,,,,5,,R,L,R,SD,MIN,S,,,1,0,2026,-0.56,1.5,-0.2627899695685751,2.2423484024643603,,,,1,1,Top,,,,,,,6.323553256449962,-134.280879515149,-6.577995289670034,-8.123767177014845,28.217068633010577,-12.744269595581637,3.334973753,1.683070866,,,,93.3,2227,6.8,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.68,,,,,,,,3,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,211,0.003,-0.05,,,,,0.05,,-1,1,0.422,0.578,29,33,29,34,1,0,6,1,6.0,1.0,1.17,0.56,-0.56,43.1,,,,,
FS,2026-08-22,87.8,-2.39,5.78,"Mize, Casey",605137,663554,,ball,,,,,11,,R,L,R,SD,MIN,B,,,1,1,2026,-1.31,0.74,-1.5498112926498495,2.8828677682702653,,,,1,1,Top,,,,,,,4.812177629777223,-127.79568689256342,-2.300995499724473,-15.3392131373976,25.030494927281747,-23.81847984133898,3.334973753,1.683070866,,,,88.9,1544,6.8,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.66,,,,,,,,3,3,Split-Finger,0,1,1,0,1,0,1,0,Infield shade,Standard,225,-0.003,0.056,,,,,-0.056,,-1,1,0.425,0.575,29,33,29,34,1,0,6,1,6.0,1.0,2.21,1.31,-1.31,41.5,,,,,
FS,2026-08-22,87.4,-2.31,5.76,"Mize, Casey",605137,663554,,ball,,,,,14,,R,L,R,SD,MIN,B,,,2,1,2026,-1.12,0.53,0.5910164210140281,0.8110141201413872,,,,1,1,Top,,,,,,,9.33698444787169,-127.01755480671314,-6.758607496264822,-13.90112119271861,21.961506539804045,-25.34006761897377,3.334973753,1.683070866,,,,88.9,1678,6.9,823261,666023,664034,630105,592518,593428,650859,701538,665487,53.58,,,,,,,,3,4,Split-Finger,0,1,1,0,1,0,1,0,Infield shade,Standard,227,-0.007,0.128,,,,,-0.128,,-1,1,0.422,0.578,29,33,29,34,1,0,6,1,6.0,1.0,2.43,1.12,-1.12,43.8,,,,,
