Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId,MinorMasterId,NameASCII,MLBAMID,PlayerTeamId
"Jorge Alfaro","KCR","AA",33,233,0.323232323,1.27027027,0.229357798,0.43119266,0.339449541,0.135135135,0.378378378,0.43362832,0.28318584,0.28318584,0.27346466,279,584,863,"12180","sa551307","Jorge Alfaro",595751,7
"Rudy Martin Jr.","KCR","AA",30,207,0.336363636,2.37037037,0.194690265,0.566371681,0.238938053,0.259259259,0.222222222,0.30833333,0.31666667,0.375,0.07505774,371,495,866,"18582","sa829374","Rudy Martin Jr.",657675,14
"Tirso Ornelas","SDP","AA",26,509,0.278735632,1.481818181,0.243767313,0.451523545,0.304709141,0.254545454,0.154545454,0.4673913,0.22826087,0.30434783,0.08280255,704,1180,1884,"22566","sa3004048","Tirso Ornelas",672359,29
"Lazaro Montes","SEA","AA",21,339,0.264900662,0.833333333,0.245714285,0.342857142,0.411428571,0.194444444,0.347222222,0.44632768,0.29378531,0.25988701,0.18098592,569,851,1420,"30361","sa3018409","Lazaro Montes",703155,11
"Michael Arroyo","SEA","AA",21,297,0.31707317,0.926829268,0.258215962,0.356807511,0.384976525,0.146341463,0.121951219,0.42790698,0.19534884,0.37674419,0.08674929,392,657,1049,"30384","sa3018429","Michael Arroyo",703197,11
"Josue De Paula","LAD","AA",21,588,0.32051282,1.279069767,0.277641277,0.405405405,0.316953316,0.108527131,0.209302325,0.44844125,0.28057554,0.27098321,0.06601249,905,1337,2242,"30871","sa3018591","Josue De Paula",800543,22
"Ethan Salas","SDP","AA",20,300,0.319047619,1.5625,0.24074074,0.462962962,0.296296296,0.3125,0.109375,0.4212963,0.20833333,0.37037037,0.06028369,443,685,1128,"32051","sa3020881","Ethan Salas",806956,29
"Joshua Kuroda-Grauer","OAK","AA",23,150,0.284552845,1.261904761,0.251968503,0.417322834,0.330708661,0.285714285,0.142857142,0.46511628,0.2248062,0.31007752,0.05702648,149,342,491,"35121","sa3025386","Joshua Kuroda-Grauer",811965,10
"Lucas Spence","HOU","AA",23,202,0.328125,1.318181818,0.221374045,0.442748091,0.335877862,0.181818181,0.09090909,0.41044776,0.29104478,0.29850746,0.10196078,292,473,765,"35126","sa3025371","Lucas Spence",828599,21
"Francisco Acuna","SDP","AA",26,331,0.247252747,1.153846153,0.255319148,0.39893617,0.34574468,0.307692307,0.092307692,0.4973822,0.2565445,0.2460733,0.11430793,517,769,1286,"sa3003291","sa3003291","Francisco Acuna",672696,29
"Keyber Rodriguez","TEX","AA",25,189,0.396825396,1.435897435,0.27480916,0.427480916,0.297709923,0.205128205,0.128205128,0.46564885,0.22137405,0.3129771,0.09959072,250,483,733,"sa3005488","sa3005488","Keyber Rodriguez",677601,13
"Alberto Rodriguez","KCR","AA",25,196,0.276785714,2.875,0.169642857,0.616071428,0.214285714,0.25,0.125,0.43103448,0.25,0.31896552,0.1245283,286,509,795,"sa3005603","sa3005603","Alberto Rodriguez",679754,-1
"Orlando Martinez","TEX","AA",28,273,0.342105263,1.057142857,0.25,0.385416666,0.364583333,0.171428571,0.042857142,0.34536082,0.2628866,0.39175258,0.1091954,407,637,1044,"sa3006664","sa3006664","Orlando Martinez",678636,13
"Luis Verdugo","SDP","AA",25,394,0.313304721,1.010638297,0.219008264,0.392561983,0.388429752,0.170212765,0.106382978,0.46,0.256,0.284,0.12058081,613,971,1584,"sa3006888","sa3006888","Luis Verdugo",677605,29
"Frainyer Chavez","TEX","AA",27,506,0.314641744,1.247706422,0.25304878,0.414634146,0.332317073,0.14678899,0.110091743,0.38690476,0.25892857,0.35416667,0.10083211,829,1214,2043,"sa3007019","sa3007019","Frainyer Chavez",669413,13
"Connor Scott","KCR","AA",26,353,0.297169811,0.911111111,0.221719457,0.371040723,0.407239819,0.277777777,0.122222222,0.46666667,0.27111111,0.26222222,0.16888194,436,843,1279,"sa3008080","sa3008080","Connor Scott",669002,-1
"Euribiel Angeles","OAK","AA",24,311,0.293103448,1.727272727,0.23076923,0.487179487,0.282051282,0.333333333,0.075757575,0.52719665,0.20502092,0.26778243,0.09168242,346,712,1058,"sa3008877","sa3008877","Euribiel Angeles",683494,10
"Albert Fabian","SDP","AA",24,429,0.301003344,1.059322033,0.208469055,0.407166123,0.38436482,0.177966101,0.101694915,0.4437299,0.23472669,0.32154341,0.10412816,587,1036,1623,"sa3008888","sa3008888","Albert Fabian",683546,29
"Frank Rodriguez","LAD","AA",24,275,0.284916201,1.073529411,0.241935483,0.392473118,0.365591397,0.294117647,0.117647058,0.44148936,0.29787234,0.2606383,0.14019608,377,643,1020,"sa3009330","sa3009330","Frank Rodriguez",684491,22
"J.T. Arruda","SEA","AA",28,228,0.341269841,1.428571428,0.215384615,0.461538461,0.323076923,0.166666666,0.119047619,0.38345865,0.31578947,0.30075188,0.11659664,399,553,952,"sa3010036","sa3010036","J.T. Arruda",686793,12
"Omar Hernandez","KCR","AA",24,283,0.351648351,1.509090909,0.254054054,0.448648648,0.297297297,0.163636363,0.09090909,0.47120419,0.23560209,0.29319372,0.11788618,324,660,984,"sa3010155","sa3010155","Omar Hernandez",683427,7
"Corey Joyce","TEX","AA",27,342,0.29326923,0.951219512,0.252336448,0.364485981,0.38317757,0.170731707,0.158536585,0.45248869,0.24434389,0.30316742,0.1168437,520,798,1318,"sa3010596","sa3010596","Corey Joyce",687144,13
"Sammy Siani","SEA","AA",25,235,0.283018867,1.509803921,0.214723926,0.472392638,0.312883435,0.235294117,0.137254901,0.48795181,0.25903614,0.25301205,0.11384977,346,506,852,"sa3010704","sa3010704","Sammy Siani",686445,11
"Marcus Lee Sang","TEX","AA",25,439,0.391143911,2.578947368,0.271428571,0.525,0.203571428,0.140350877,0.280701754,0.35069444,0.24652778,0.40277778,0.13314448,653,1112,1765,"sa3011445","sa3011445","Marcus Lee Sang",686984,13
"Carson Tucker","SDP","AA",24,310,0.374358974,1.45614035,0.278350515,0.427835051,0.293814432,0.245614035,0.035087719,0.30964467,0.3248731,0.36548223,0.13076923,414,756,1170,"sa3014470","sa3014470","Carson Tucker",691020,29
"Jose Salas","MIN","AA",23,188,0.242424242,1.470588235,0.2,0.476190476,0.323809523,0.264705882,0.205882352,0.43396226,0.20754717,0.35849057,0.18065434,258,445,703,"sa3014690","sa3014690","Jose Salas",691191,8
"Nick Raposo","SEA","AA",28,213,0.344,0.961538461,0.196850393,0.393700787,0.409448818,0.365384615,0.057692307,0.4921875,0.2578125,0.25,0.12028302,324,524,848,"sa3015018","sa3015018","Nick Raposo",695596,11
"Junior Franco","ARI","AA",23,376,0.345679012,1.397590361,0.204,0.464,0.332,0.421686746,0.084337349,0.49011858,0.22924901,0.28063241,0.12162162,479,927,1406,"sa3015170","sa3015170","Junior Franco",691285,15
"Angel Ortiz","ARI","AA",23,335,0.325123152,1.025316455,0.241706161,0.383886255,0.374407582,0.189873417,0.164556962,0.46511628,0.24651163,0.28837209,0.11340206,491,867,1358,"sa3015171","sa3015171","Angel Ortiz",691292,15
"Jeremy Rivas","STL","AA",23,143,0.284090909,1.3125,0.195652173,0.456521739,0.347826086,0.34375,0.15625,0.30107527,0.29032258,0.40860215,0.12701252,221,338,559,"sa3015193","sa3015193","Jeremy Rivas",692405,-1
"Kala'i Rosario","MIN","AA",23,251,0.313043478,1.066666666,0.256,0.384,0.36,0.222222222,0.244444444,0.55555556,0.26190476,0.18253968,0.12592593,474,606,1080,"sa3015199","sa3015199","Kala'i Rosario",693850,8
"Ricardo Olivar","MIN","AA",24,137,0.273809523,0.738095238,0.223404255,0.329787234,0.44680851,0.142857142,0.238095238,0.46808511,0.23404255,0.29787234,0.12328767,179,332,511,"sa3015234","sa3015234","Ricardo Olivar",691627,8
"Jean Walters","ARI","AA",24,191,0.32173913,1.875,0.213675213,0.512820512,0.273504273,0.25,0.1875,0.34375,0.3046875,0.3515625,0.10860367,264,445,709,"sa3015236","sa3015236","Jean Walters",695078,15
"Miguel Ugueto","STL","AA",23,334,0.267782426,1.588235294,0.244635193,0.463519313,0.291845493,0.264705882,0.073529411,0.44897959,0.24081633,0.31020408,0.10672269,382,808,1190,"sa3015293","sa3015293","Miguel Ugueto",692568,28
"Manuel Pena","ARI","AA",22,279,0.317365269,0.924050632,0.204188481,0.382198952,0.413612565,0.088607594,0.329113924,0.41450777,0.29015544,0.29533679,0.16451933,321,688,1009,"sa3015715","sa3015715","Manuel Pena",694211,15
"Yeison Morrobel","TEX","AA",22,189,0.385714285,2.34375,0.241134751,0.531914893,0.226950354,0.1875,0.09375,0.44055944,0.23076923,0.32867133,0.12316716,228,454,682,"sa3015720","sa3015720","Yeison Morrobel",694218,13
"Yamal Encarnacion","HOU","AA",22,395,0.32,2.508474576,0.238970588,0.544117647,0.216911764,0.20338983,0.084745762,0.41696113,0.21201413,0.37102473,0.10122921,504,879,1383,"sa3015781","sa3015781","Yamal Encarnacion",699043,21
