Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,MinorMasterId,NameASCII,MLBAMID,PlayerTeamId
"Jorge Alfaro","KCR","AA",33,56,210,233,46,23,8,1,14,32,48,12,1,100,8,3,0,6,1,2,0.219047619,"12180","sa551307","Jorge Alfaro",595751,7
"Rudy Martin Jr.","KCR","AA",30,49,165,207,43,31,6,0,6,40,24,34,1,49,3,0,5,1,30,5,0.26060606,"18582","sa829374","Rudy Martin Jr.",657675,14
"Tirso Ornelas","SDP","AA",26,120,451,509,114,63,33,1,17,58,54,47,4,90,5,4,0,11,2,1,0.252771618,"22566","sa3004048","Tirso Ornelas",672359,29
"Lazaro Montes","SEA","AA",21,79,278,339,65,28,11,1,25,67,66,54,2,103,6,1,0,3,5,3,0.233812949,"30361","sa3018409","Lazaro Montes",703155,11
"Michael Arroyo","SEA","AA",21,65,261,297,75,52,12,1,10,46,40,24,1,49,9,3,0,5,13,2,0.287356321,"30384","sa3018429","Michael Arroyo",703197,11
"Josue De Paula","LAD","AA",21,124,501,588,152,86,37,2,27,106,104,81,2,87,3,3,0,10,31,10,0.303393213,"30871","sa3018591","Josue De Paula",800543,22
"Ethan Salas","SDP","AA",20,72,259,300,74,54,13,0,7,41,37,33,2,48,1,6,0,3,14,6,0.285714285,"32051","sa3020881","Ethan Salas",806956,29
"Joshua Kuroda-Grauer","OAK","AA",23,33,144,150,41,23,11,1,6,27,18,5,0,15,1,0,0,9,11,3,0.284722222,"35121","sa3025386","Joshua Kuroda-Grauer",811965,10
"Lucas Spence","HOU","AA",23,44,171,202,46,29,10,3,4,27,30,19,1,41,10,2,0,0,10,2,0.269005847,"35126","sa3025371","Lucas Spence",828599,21
"Francisco Acuna","SDP","AA",26,85,262,331,51,28,16,1,6,39,27,50,0,78,9,4,6,9,11,1,0.194656488,"sa3003291","sa3003291","Francisco Acuna",672696,29
"Keyber Rodriguez","TEX","AA",25,41,173,189,55,35,13,2,5,27,19,11,1,46,1,4,0,0,5,3,0.317919075,"sa3005488","sa3005488","Keyber Rodriguez",677601,13
"Alberto Rodriguez","KCR","AA",25,51,170,196,34,27,3,1,3,23,25,17,0,58,5,3,1,4,1,2,0.2,"sa3005603","sa3005603","Alberto Rodriguez",679754,-1
"Orlando Martinez","TEX","AA",28,69,241,273,68,44,20,1,3,31,36,26,0,50,3,2,1,6,10,5,0.282157676,"sa3006664","sa3006664","Orlando Martinez",678636,13
"Luis Verdugo","SDP","AA",25,100,335,394,83,63,10,0,10,49,37,45,0,98,3,6,5,10,5,0,0.247761194,"sa3006888","sa3006888","Luis Verdugo",677605,29
"Frainyer Chavez","TEX","AA",27,107,421,506,113,77,24,0,12,81,48,70,2,93,7,5,3,10,25,7,0.268408551,"sa3007019","sa3007019","Frainyer Chavez",669413,13
"Connor Scott","KCR","AA",26,88,321,353,74,47,13,3,11,41,50,24,0,100,2,2,3,1,9,3,0.230529595,"sa3008080","sa3008080","Connor Scott",669002,-1
"Euribiel Angeles","OAK","AA",24,74,282,311,73,54,13,1,5,39,36,19,0,49,3,4,3,8,9,4,0.258865248,"sa3008877","sa3008877","Euribiel Angeles",683494,10
"Albert Fabian","SDP","AA",24,107,380,429,102,67,20,3,12,39,54,34,0,80,4,11,0,7,12,2,0.268421052,"sa3008888","sa3008888","Albert Fabian",683546,29
"Frank Rodriguez","LAD","AA",24,69,241,275,59,41,9,1,8,29,33,22,0,58,7,4,1,3,1,0,0.244813278,"sa3009330","sa3009330","Frank Rodriguez",684491,22
"J.T. Arruda","SEA","AA",28,58,190,228,48,36,7,0,5,37,27,36,1,60,0,1,1,3,21,2,0.252631578,"sa3010036","sa3010036","J.T. Arruda",686793,12
"Omar Hernandez","KCR","AA",24,73,247,283,69,55,8,1,5,44,33,17,0,62,5,2,5,5,20,5,0.279352226,"sa3010155","sa3010155","Omar Hernandez",683427,7
"Corey Joyce","TEX","AA",27,87,298,342,74,52,9,0,13,55,47,33,0,78,5,1,1,12,11,2,0.248322147,"sa3010596","sa3010596","Corey Joyce",687144,13
"Sammy Siani","SEA","AA",25,69,212,235,52,37,6,2,7,36,36,19,0,50,0,4,0,5,17,5,0.245283018,"sa3010704","sa3010704","Sammy Siani",686445,11
"Marcus Lee Sang","TEX","AA",25,110,397,439,122,88,16,2,16,74,75,36,1,110,6,0,0,5,16,6,0.307304785,"sa3011445","sa3011445","Marcus Lee Sang",686984,13
"Carson Tucker","SDP","AA",24,75,278,310,75,55,16,2,2,35,28,27,0,86,0,5,0,3,15,4,0.269784172,"sa3014470","sa3014470","Carson Tucker",691020,29
"Jose Salas","MIN","AA",23,53,166,188,31,19,5,0,7,21,17,14,0,63,5,3,0,2,15,2,0.186746987,"sa3014690","sa3014690","Jose Salas",691191,8
