game_pk,game_date,level,game_type,inning,half,at_bat_index,pitch_number,balls,strikes,pitcher_id,pitcher_name,p_throws,stand,pitch_type,pitch_name,call,description,is_in_play,is_strike,is_ball,start_speed,end_speed,zone,px,pz,sz_top,sz_bot,spin_rate,extension,launch_speed,launch_angle,hit_distance,trajectory,hardness,pa_result,pa_event_type
817198,2026-08-04,Double-A,R,3,top,25,1,0,1,822459,Matthew Watson,R,L,,,F,Foul,False,True,False,,,,,,3.21,1.62,,,,,,,,,
817198,2026-08-04,Double-A,R,3,top,25,2,1,1,822459,Matthew Watson,R,L,,,B,Ball,False,False,True,,,,,,3.21,1.62,,,,,,,,,
817198,2026-08-04,Double-A,R,3,top,25,3,1,2,822459,Matthew Watson,R,L,,,S,Swinging Strike,False,True,False,,,,,,3.21,1.62,,,,,,,,,
817198,2026-08-04,Double-A,R,3,top,25,4,1,3,822459,Matthew Watson,R,L,,,S,Swinging Strike,False,True,False,,,,,,3.21,1.62,,,,,,,,Strikeout,strikeout
817198,2026-08-04,Double-A,R,5,top,41,1,0,0,811594,Bernard Jose,R,L,,,X,"In play, out(s)",True,False,False,,,,,,3.21,1.62,,,,,,ground_ball,medium,Groundout,field_out
817198,2026-08-04,Double-A,R,8,top,60,1,1,0,600917,José Leclerc,R,L,,,B,Ball,False,False,True,,,,,,3.21,1.62,,,,,,,,,
817198,2026-08-04,Double-A,R,8,top,60,2,1,0,600917,José Leclerc,R,L,,,D,"In play, no out",True,False,False,,,,,,3.21,1.62,,,,,,line_drive,medium,Single,single
817202,2026-08-05,Double-A,R,2,top,13,1,1,0,701617,Ian Koenig,R,L,,,B,Ball,False,False,True,,,,,,3.21,1.62,,,,,,,,,
817202,2026-08-05,Double-A,R,2,top,13,2,2,0,701617,Ian Koenig,R,L,,,B,Ball,False,False,True,,,,,,3.21,1.62,,,,,,,,,
817202,2026-08-05,Double-A,R,2,top,13,3,2,1,701617,Ian Koenig,R,L,,,F,Foul,False,True,False,,,,,,3.21,1.62,,,,,,,,,
817202,2026-08-05,Double-A,R,2,top,13,4,3,1,701617,Ian Koenig,R,L,,,B,Ball,False,False,True,,,,,,3.21,1.62,,,,,,,,,
817202,2026-08-05,Double-A,R,2,top,13,5,4,1,701617,Ian Koenig,R,L,,,B,Ball,False,False,True,,,,,,3.21,1.62,,,,,,,,Walk,walk
817202,2026-08-05,Double-A,R,4,top,28,1,0,1,701617,Ian Koenig,R,L,,,F,Foul,False,True,False,,,,,,3.21,1.62,,,,,,,,,
