Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId,MinorMasterId,NameASCII,MLBAMID,PlayerTeamId
"Julio Carreras","CIN","A+",26,142,0.344086021,1.117647058,0.234042553,0.404255319,0.361702127,0.147058823,0.088235294,0.29896907,0.35051546,0.35051546,0.11050725,226,326,552,"sa3005598","sa3005598","Julio Carreras",679734,18
"Jose Salas","MIN","A+",23,163,0.272727272,0.875,0.210526315,0.368421052,0.421052631,0.325,0.175,0.49473684,0.24210526,0.26315789,0.17666667,201,399,600,"sa3014690","sa3014690","Jose Salas",691191,8
"Yerlin Confidan","CIN","A+",23,316,0.306930693,1.533333333,0.251231527,0.45320197,0.295566502,0.3,0.116666666,0.38942308,0.31730769,0.29326923,0.11048387,510,730,1240,"sa3015176","sa3015176","Yerlin Confidan",691398,18
"Junior Tilien","DET","A+",23,192,0.251908396,1.6,0.20610687,0.488549618,0.305343511,0.275,0.025,0.44274809,0.21374046,0.34351145,0.11526946,240,428,668,"sa3015187","sa3015187","Junior Tilien",691708,16
"Blayberg Diaz","MIL","A+",23,157,0.29906542,2.172413793,0.132075471,0.594339622,0.273584905,0.137931034,0,0.3853211,0.24770642,0.36697248,0.13391304,200,375,575,"sa3015352","sa3015352","Blayberg Diaz",691600,23
"Maick Collado","CLE","A+",23,136,0.311827956,0.95,0.178947368,0.4,0.421052631,0.2,0.075,0.46875,0.20833333,0.32291667,0.10526316,170,324,494,"sa3015534","sa3015534","Maick Collado",691408,5
"Esteban Gonzalez","CLE","A+",23,321,0.303571428,0.734177215,0.234636871,0.324022346,0.441340782,0.151898734,0.164556962,0.45604396,0.23626374,0.30769231,0.1485623,479,773,1252,"sa3015535","sa3015535","Esteban Gonzalez",691416,5
"Jose Meza","LAD","A+",23,423,0.312252964,1.783783783,0.207692307,0.507692307,0.284615384,0.27027027,0.135135135,0.41666667,0.22348485,0.35984848,0.12793572,642,976,1618,"sa3015558","sa3015558","Jose Meza",691561,22
"Miguel Briceno","MIN","A+",22,173,0.327731092,1,0.235772357,0.382113821,0.382113821,0.170212765,0.106382978,0.44715447,0.25203252,0.30081301,0.08995502,250,417,667,"sa3015566","sa3015566","Miguel Briceno",691605,8
"Carlos Franco","OAK","A+",23,163,0.182608695,0.87037037,0.129310344,0.405172413,0.465517241,0.37037037,0.055555555,0.43220339,0.16949153,0.39830508,0.08253968,244,386,630,"sa3015580","sa3015580","Carlos Franco",691863,10
