Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,MinorMasterId,NameASCII,MLBAMID,PlayerTeamId
"Julio Carreras","CIN","A+",26,31,119,142,35,20,11,1,3,24,14,16,0,24,5,1,1,3,7,2,0.294117647,"sa3005598","sa3005598","Julio Carreras",679734,18
"Jose Salas","MIN","A+",23,40,145,163,31,17,6,1,7,26,27,9,0,51,8,1,0,4,6,2,0.213793103,"sa3014690","sa3014690","Jose Salas",691191,8
"Yerlin Confidan","CIN","A+",23,72,275,316,69,48,13,1,7,40,45,35,0,69,3,3,0,7,6,3,0.25090909,"sa3015176","sa3015176","Yerlin Confidan",691398,18
"Junior Tilien","DET","A+",23,49,174,192,34,24,9,0,1,19,16,17,1,42,1,0,0,5,0,0,0.195402298,"sa3015187","sa3015187","Junior Tilien",691708,16
"Blayberg Diaz","MIL","A+",23,48,142,157,32,26,6,0,0,13,20,11,0,36,3,1,0,3,0,0,0.225352112,"sa3015352","sa3015352","Blayberg Diaz",691600,23
"Maick Collado","CLE","A+",23,33,121,136,32,23,6,0,3,18,15,12,0,27,1,2,0,3,1,1,0.264462809,"sa3015534","sa3015534","Maick Collado",691408,5
"Esteban Gonzalez","CLE","A+",23,84,275,321,64,34,15,2,13,45,37,36,0,95,8,1,0,3,22,3,0.232727272,"sa3015535","sa3015535","Esteban Gonzalez",691416,5
"Jose Meza","LAD","A+",23,101,363,423,89,66,12,1,10,53,55,51,0,103,6,3,0,14,13,7,0.245179063,"sa3015558","sa3015558","Jose Meza",691561,22
"Miguel Briceno","MIN","A+",22,49,154,173,44,34,5,0,5,24,23,18,0,31,0,1,0,0,0,1,0.285714285,"sa3015566","sa3015566","Miguel Briceno",691605,8
"Carlos Franco","OAK","A+",23,42,139,163,24,15,6,0,3,14,23,21,0,24,0,3,0,7,1,0,0.17266187,"sa3015580","sa3015580","Carlos Franco",691863,10
"Oswaldo Linares","SDP","A+",23,40,130,145,22,15,5,0,2,14,14,12,0,31,2,0,1,2,1,3,0.169230769,"sa3015593","sa3015593","Oswaldo Linares",692021,29
"Carlos Rodriguez","SDP","A+",23,83,293,333,64,44,10,3,7,38,31,39,0,77,0,0,1,6,1,0,0.218430034,"sa3015594","sa3015594","Carlos Rodriguez",692025,29
"Jose Cordoba","STL","A+",23,42,141,156,29,23,4,1,1,16,14,9,0,35,5,0,0,1,9,2,0.205673758,"sa3015614","sa3015614","Jose Cordoba",692390,-1
"Cristian Santana","DET","A+",22,92,283,354,56,33,6,1,16,43,49,54,0,92,11,3,3,6,5,0,0.197879858,"sa3015697","sa3015697","Cristian Santana",694184,6
"Danny De Andrade","MIN","A+",22,108,399,446,96,57,18,6,15,63,50,36,0,123,8,3,0,14,9,4,0.240601503,"sa3015698","sa3015698","Danny De Andrade",694185,8
"Pedro Pineda","OAK","A+",22,77,277,306,70,48,13,2,7,42,39,24,0,95,4,1,0,5,15,4,0.252707581,"sa3015703","sa3015703","Pedro Pineda",694191,10
"Victor Acosta","CIN","A+",22,48,140,166,36,22,6,4,4,29,18,11,0,32,10,2,2,1,5,2,0.257142857,"sa3015705","sa3015705","Victor Acosta",694193,-1
"Leonel Espinoza","CHC","A+",23,48,184,207,41,26,10,2,3,33,24,17,0,48,4,1,1,10,10,1,0.222826086,"sa3015735","sa3015735","Leonel Espinoza",696083,17
"Jesus Hernandez","MIA","A+",22,72,220,261,66,50,10,1,5,37,35,38,0,47,0,2,1,4,22,6,0.3,"sa3015736","sa3015736","Jesus Hernandez",698929,20
"Luis Castillo","MIL","A+",22,110,367,440,90,49,20,1,20,60,90,64,1,104,3,6,0,3,3,1,0.245231607,"sa3015801","sa3015801","Luis Castillo",699127,23
"Derlin Figueroa","KCR","A+",22,108,404,452,102,50,24,2,26,69,89,42,1,135,2,3,1,5,18,7,0.252475247,"sa3015851","sa3015851","Derlin Figueroa",700283,7
"Luis Pino","STL","A+",22,42,139,165,34,18,11,1,4,23,14,24,0,39,1,1,0,5,6,1,0.244604316,"sa3015866","sa3015866","Luis Pino",700720,28
"Jose Suarez","STL","A+",21,95,360,391,93,60,21,2,10,52,47,19,0,122,9,3,0,11,26,6,0.258333333,"sa3016156","sa3016156","Jose Suarez",699027,28
"Anyelo Encarnacion","STL","A+",22,70,218,263,51,32,8,2,9,38,34,37,0,84,5,3,0,7,18,3,0.233944954,"sa3016157","sa3016157","Anyelo Encarnacion",699031,28
"Rayne Doncon","MIN","A+",22,50,175,198,24,12,7,0,5,21,25,20,0,37,1,1,1,4,2,0,0.137142857,"sa3016720","sa3016720","Rayne Doncon",699061,-1
"Wilfredo Lara","MIA","A+",22,78,235,285,56,36,13,1,6,45,35,46,0,72,3,1,0,3,14,2,0.238297872,"sa3017123","sa3017123","Wilfredo Lara",702906,20
"Christian Olivo","CHC","A+",22,80,258,306,57,37,13,2,5,53,42,38,0,59,8,2,0,6,18,1,0.220930232,"sa3017877","sa3017877","Christian Olivo",700840,17
"Clayton Campbell","DET","A+",22,89,327,378,84,57,16,2,9,54,51,42,1,100,4,5,0,6,4,1,0.256880733,"sa3018386","sa3018386","Clayton Campbell",693073,6
"Rosman Verdugo","SDP","A+",21,109,386,461,87,56,14,2,15,53,59,59,1,120,10,4,2,6,9,4,0.225388601,"sa3018393","sa3018393","Rosman Verdugo",698916,29
"Andy Lugo","MIN","A+",22,68,189,232,32,21,5,1,5,32,22,30,0,66,6,3,0,1,6,3,0.169312169,"sa3018400","sa3018400","Andy Lugo",702889,8
"Samuel Munoz","LAD","A+",21,95,324,368,68,50,9,2,7,33,40,37,0,74,4,3,0,7,6,6,0.209876543,"sa3018407","sa3018407","Samuel Munoz",703153,22
"Esmith Pineda","CIN","A+",21,62,195,218,38,30,5,0,3,23,18,18,0,71,2,2,1,3,0,1,0.194871794,"sa3018435","sa3018435","Esmith Pineda",703204,18
"Carlos Sanchez","CIN","A+",21,69,278,325,87,56,18,4,9,74,36,45,0,77,0,0,2,4,18,6,0.31294964,"sa3018465","sa3018465","Carlos Sanchez",800176,18
"Jesus  Baez","STL","A+",21,54,219,243,54,29,11,0,14,38,41,18,0,39,1,5,0,4,5,3,0.246575342,"sa3018507","sa3018507","Jesus  Baez",800305,28
"Victor Rodrigues","LAD","A+",21,77,258,308,53,39,12,0,2,29,29,43,0,54,3,3,0,10,1,0,0.205426356,"sa3018520","sa3018520","Victor Rodrigues",800332,22
"Juan Baez","MIL","A+",21,84,276,309,49,35,11,1,2,35,31,28,0,56,2,3,0,9,2,1,0.177536231,"sa3018525","sa3018525","Juan Baez",800345,23
"Eduardo Guerrero","LAD","A+",21,113,399,467,111,89,15,2,5,51,57,59,0,90,2,6,1,5,15,6,0.278195488,"sa3018536","sa3018536","Eduardo Guerrero",800370,22
"Juan Matheus","MIA","A+",22,42,157,182,41,24,8,2,7,30,29,22,0,29,1,2,0,2,8,1,0.261146496,"sa3018611","sa3018611","Juan Matheus",801276,20
"Carlos Sanchez","MIA","A+",21,35,116,138,18,9,4,0,5,16,16,19,0,40,0,3,0,2,1,0,0.155172413,"sa3018613","sa3018613","Carlos Sanchez",801522,20
"Jose Escobar","CHC","A+",21,78,292,333,86,58,20,3,5,38,50,31,0,45,5,5,0,7,7,3,0.294520547,"sa3018629","sa3018629","Jose Escobar",803241,17
"Erick Torres","KCR","A+",21,88,321,361,87,76,6,2,3,36,43,27,0,54,2,7,4,4,15,5,0.271028037,"sa3018641","sa3018641","Erick Torres",805075,7
"Jeffrey Mercedes","CLE","A+",21,88,328,357,80,49,20,0,11,40,44,24,0,71,4,1,0,10,2,1,0.243902439,"sa3018942","sa3018942","Jeffrey Mercedes",800253,5
"Abrahan Ramirez","MIA","A+",21,43,143,165,33,24,7,0,2,15,23,18,0,30,1,3,0,1,13,3,0.23076923,"sa3018943","sa3018943","Abrahan Ramirez",800254,20
"Samuel Gil","DET","A+",21,102,365,413,89,76,10,2,1,50,29,38,0,62,7,3,0,12,12,2,0.243835616,"sa3018963","sa3018963","Samuel Gil",800510,6
"Ricardo Hurtado","DET","A+",23,96,340,427,65,42,14,0,9,46,46,69,0,115,16,2,0,11,6,1,0.19117647,"sa3019200","sa3019200","Ricardo Hurtado",691452,6
"Won-Bin Cho","STL","A+",22,56,193,233,52,28,14,2,8,37,39,37,0,58,3,0,0,3,23,6,0.269430051,"sa3019526","sa3019526","Won-Bin Cho",800231,28
"Yasser Mercedes","MIN","A+",21,88,345,394,80,44,23,1,12,47,48,39,0,116,7,3,0,2,41,6,0.231884057,"sa3019557","sa3019557","Yasser Mercedes",703160,8
"Tayden Hall","MIL","A+",23,88,292,371,77,45,18,2,12,52,53,68,0,85,9,2,0,6,13,5,0.26369863,"sa3019929","sa3019929","Tayden Hall",695554,23
"Logan Wagner","LAD","A+",22,58,231,254,60,25,19,0,16,47,46,18,0,71,1,3,0,2,4,2,0.259740259,"sa3019932","sa3019932","Logan Wagner",702488,22
"Jose Izarra","LAD","A+",24,56,175,204,40,28,8,2,2,31,19,21,0,54,3,3,2,4,10,2,0.228571428,"sa3019998","sa3019998","Jose Izarra",692222,22
"Sammy Hernandez","STL","A+",22,65,204,253,57,28,18,0,11,38,35,43,0,47,4,2,0,2,21,5,0.279411764,"sa3020141","sa3020141","Sammy Hernandez",803679,28
"Cameron Decker","LAD","A+",22,45,150,181,33,20,8,1,4,26,20,22,0,57,3,4,0,0,6,2,0.22,"sa3020223","sa3020223","Cameron Decker",806306,22
"Lamar King Jr.","SDP","A+",22,93,329,376,77,57,14,2,4,34,39,36,0,92,10,1,0,5,17,4,0.234042553,"sa3020279","sa3020279","Lamar King Jr.",702601,29
"Austin Charles","KCR","A+",22,45,165,186,47,28,11,1,7,28,25,16,0,36,2,1,2,2,10,2,0.284848484,"sa3020497","sa3020497","Austin Charles",800051,7
"Alfredo Duno","CIN","A+",20,65,242,295,63,34,13,0,16,46,47,49,2,79,3,1,0,1,2,0,0.260330578,"sa3021066","sa3021066","Alfredo Duno",806957,18
"Starlyn Caba","MIA","A+",20,82,296,373,70,46,13,4,7,50,47,71,0,90,4,2,0,6,21,1,0.236486486,"sa3021070","sa3021070","Starlyn Caba",806965,20
"Angel Cepeda","CHC","A+",20,68,251,306,67,46,9,1,11,45,48,44,0,83,8,3,0,6,12,2,0.26693227,"sa3021080","sa3021080","Angel Cepeda",806980,17
"Esmil Valencia","MIA","A+",20,52,182,200,38,19,12,1,6,22,29,10,0,47,4,4,0,7,8,4,0.208791208,"sa3021082","sa3021082","Esmil Valencia",806982,20
"Welbyn Francisca","CLE","A+",20,65,253,289,70,39,13,1,17,46,49,32,0,64,1,3,0,4,11,2,0.276679841,"sa3021087","sa3021087","Welbyn Francisca",806988,5
"Juan Hernandez","DET","A+",20,80,272,296,58,47,7,1,3,39,32,21,0,99,2,1,0,10,1,1,0.213235294,"sa3021152","sa3021152","Juan Hernandez",808037,6
"Eduardo Quintero","LAD","A+",20,111,398,501,123,78,28,5,12,107,68,88,0,102,12,3,0,8,44,7,0.309045226,"sa3021208","sa3021208","Eduardo Quintero",808234,22
"Luiyin Alastre","MIL","A+",20,76,220,279,43,29,11,2,1,28,28,52,0,45,2,4,1,3,6,8,0.195454545,"sa3021210","sa3021210","Luiyin Alastre",808236,23
"Angel Acosta","KCR","A+",23,59,182,215,52,43,6,2,1,27,23,21,0,29,5,2,5,5,3,3,0.285714285,"sa3021290","sa3021290","Angel Acosta",808665,7
"Tyler Rodriguez","MIL","A+",20,41,140,171,34,25,7,0,2,20,10,25,0,35,6,0,0,5,7,5,0.242857142,"sa3021615","sa3021615","Tyler Rodriguez",808291,23
"Ramon Ramirez","KCR","A+",21,85,323,372,90,53,23,1,13,68,78,39,0,85,5,3,1,8,10,1,0.27863777,"sa3021637","sa3021637","Ramon Ramirez",808675,7
"Asbel Gonzalez","KCR","A+",20,110,427,510,112,98,9,2,3,91,41,52,0,130,14,4,13,4,67,13,0.262295081,"sa3021639","sa3021639","Asbel Gonzalez",808706,7
"Eduardo Tait","MIN","A+",19,116,471,520,104,56,25,1,22,69,73,35,1,119,7,7,0,11,2,1,0.220806794,"sa3022162","sa3022162","Eduardo Tait",806953,8
"Alfredo Alcantara","CIN","A+",20,104,373,433,80,54,11,1,14,56,46,50,0,112,6,2,2,19,4,3,0.214477211,"sa3022184","sa3022184","Alfredo Alcantara",807643,18
"Casey Yamauchi","OAK","A+",25,48,172,201,51,37,9,1,4,38,30,17,0,19,9,1,2,3,9,0,0.296511627,"sa3022528","sa3022528","Casey Yamauchi",671748,10
"Nate Nankil","OAK","A+",23,48,167,198,35,26,5,1,3,20,17,26,0,37,3,0,2,8,2,1,0.209580838,"sa3022532","sa3022532","Nate Nankil",694977,10
"Trevor Werner","KCR","A+",25,39,135,156,29,10,11,1,7,19,20,17,0,43,3,0,1,3,1,2,0.214814814,"sa3022592","sa3022592","Trevor Werner",687731,7
"Drew Bowser","CHC","A+",24,54,184,218,39,23,11,0,5,29,35,23,0,72,11,0,0,8,9,0,0.211956521,"sa3022594","sa3022594","Drew Bowser",690958,17
"Myles Naylor","OAK","A+",21,73,267,314,59,38,13,2,6,38,35,39,0,110,4,4,0,6,7,2,0.220973782,"sa3022605","sa3022605","Myles Naylor",802504,10
"Brandon Winokur","MIN","A+",21,74,278,331,70,45,13,2,10,51,43,43,0,97,6,2,0,6,19,6,0.251798561,"sa3022613","sa3022613","Brandon Winokur",806263,8
"Luke Shliger","DET","A+",24,40,130,163,33,24,5,0,4,24,22,25,0,33,6,2,0,1,5,3,0.253846153,"sa3022694","sa3022694","Luke Shliger",807740,6
"Chase Jaworsky","MIA","A+",21,67,232,268,56,41,8,1,6,32,29,32,0,56,2,2,0,2,24,5,0.24137931,"sa3022700","sa3022700","Chase Jaworsky",814172,20
"Quinn McDaniel","MIN","A+",23,42,153,173,44,29,8,4,3,24,22,18,0,37,1,1,0,2,8,1,0.287581699,"sa3022701","sa3022701","Quinn McDaniel",814194,8
"Dillon Head","MIA","A+",21,90,359,403,89,60,18,4,7,62,36,38,0,84,3,3,0,2,41,5,0.247910863,"sa3022753","sa3022753","Dillon Head",702977,20
"Blake Mitchell","KCR","A+",21,115,381,511,89,49,17,0,23,95,75,113,1,174,9,7,1,4,27,6,0.2335958,"sa3022756","sa3022756","Blake Mitchell",805810,7
"Carter Graham","CIN","A+",24,66,233,292,75,41,17,0,17,43,60,45,0,55,11,2,1,3,7,0,0.321888412,"sa3022824","sa3022824","Carter Graham",807728,18
"Eric Bitonti","MIL","A+",20,111,400,489,108,57,25,1,25,93,88,81,1,161,2,5,0,3,24,1,0.27,"sa3022866","sa3022866","Eric Bitonti",800724,23
"Tai Peete","STL","A+",20,42,180,200,54,24,14,6,10,37,39,20,0,57,0,0,0,1,11,6,0.3,"sa3022966","sa3022966","Tai Peete",806191,28
"Tommy Hawke","CLE","A+",23,85,337,417,98,76,17,3,2,76,36,72,0,70,3,4,1,2,43,8,0.290801186,"sa3023055","sa3023055","Tommy Hawke",803142,5
"Josh Adamczewski","MIL","A+",21,50,166,211,55,34,11,1,9,41,38,41,0,40,2,2,0,3,10,1,0.331325301,"sa3023168","sa3023168","Josh Adamczewski",815304,23
"Jake Cunningham","SDP","A+",23,57,193,225,52,26,11,0,15,35,35,29,0,75,2,1,0,2,6,3,0.269430051,"sa3023269","sa3023269","Jake Cunningham",801507,29
"Jaron Elkins","LAD","A+",21,32,118,143,30,26,4,0,0,19,14,20,0,34,4,1,0,3,7,0,0.254237288,"sa3023288","sa3023288","Jaron Elkins",814696,22
"Colby Shade","MIA","A+",24,66,226,265,63,43,9,2,9,56,35,26,0,72,11,2,0,1,34,1,0.278761061,"sa3023374","sa3023374","Colby Shade",694974,20
"John Michael Faile","CIN","A+",26,87,317,362,88,54,18,2,14,48,51,32,0,76,7,6,0,8,1,0,0.277602523,"sa3023579","sa3023579","John Michael Faile",702114,18
"Nico Perez","LAD","A+",21,83,300,358,81,50,17,5,9,65,62,48,0,82,7,3,0,5,35,6,0.27,"sa3023603","sa3023603","Nico Perez",703639,22
