season,last_name_first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2025,"Matsui, Yuki",673513,SD,FF,4-Seam Fastball,-1.1,-5,420,39.5,105,0.235,0.529,0.393,17.9,14.3,15.6,0.231,0.486,0.369,46.5
2025,"Matsui, Yuki",673513,SD,FS,Split-Finger,-0.2,-1,342,32.2,102,0.223,0.394,0.290,44.9,35.3,26.5,0.194,0.311,0.248,32.2
2025,"Matsui, Yuki",673513,SD,SL,Slider,1.0,2,169,15.9,38,0.273,0.364,0.285,22.8,5.3,8.0,0.322,0.458,0.342,38.2
2025,"Matsui, Yuki",673513,SD,ST,Sweeper,1.7,2,114,10.7,22,0.056,0.056,0.168,43.6,36.4,23.5,0.162,0.282,0.282,10.0
2025,"Matsui, Yuki",673513,SD,SI,Sinker,-3.8,-1,16,1.5,3,0.667,0.667,0.600,22.2,0.0,0.0,0.517,0.590,0.495,0.0
2026,"Matsui, Yuki",673513,SD,FF,4-Seam Fastball,-0.6,-2,278,37.7,69,0.283,0.528,0.393,25.2,17.4,16.4,0.215,0.428,0.364,44.2
2026,"Matsui, Yuki",673513,SD,FS,Split-Finger,0.1,0,188,25.5,54,0.152,0.326,0.248,48.1,37.0,21.5,0.143,0.284,0.241,25.0
2026,"Matsui, Yuki",673513,SD,SL,Slider,2.9,6,222,30.1,48,0.093,0.116,0.141,40.9,25.0,28.6,0.149,0.250,0.215,18.8
2026,"Matsui, Yuki",673513,SD,SI,Sinker,0.5,0,20,2.7,6,0.000,0.000,0.233,0.0,0.0,0.0,0.141,0.163,0.321,0.0
2026,"Matsui, Yuki",673513,SD,ST,Sweeper,-3.0,-1,30,4.1,5,0.200,0.800,0.400,30.0,60.0,18.8,0.238,0.668,0.376,100.0
