pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,season
FS,2025-09-27,82.4,2.52,5.97,"Matsui, Yuki",694374,673513,grounded_into_double_play,hit_into_play,,,,,9.0,"Tim Tawa grounds into a double play, third baseman Jose Iglesias to second baseman Jake Cronenworth to first baseman Ryan O'Hearn. Adrian Del Castillo out at 2nd. Tim Tawa out at 1st.",R,R,L,SD,AZ,X,5.0,ground_ball,1,2,2025,0.94,0.06,0.5993862756592144,2.084606273873045,,,680728.0,1,5,Top,100.85,163.69,,,,,-6.12365825946045,-119.77442461495578,-2.2621641767239167,10.293276957238255,27.937576786423698,-31.31887435438678,3.3,1.55,5.0,94.7,-25.0,81.1,1146.0,5.9,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.59,0.074,0.072,0.0,1.0,0.0,0.0,2.0,41,5,Split-Finger,5,1,1,5,1,5,1,5,Standard,Standard,114.0,0.03,-0.241,73.0,7.3,,0.075,0.241,94.7,4,-4,0.901,0.099,29,26,30,26,2,1,4.0,1.0,,1.0,3.36,0.94,-0.94,49.8,13.738002999330986,3.9538191300174472,31.886011792865244,42.5953903445226,30.951792557278843,2025
FF,2025-09-27,91.6,2.31,6.06,"Matsui, Yuki",694374,673513,,foul,,,,,2.0,,R,R,L,SD,AZ,S,,,1,2,2025,0.75,1.76,-0.0713211234151591,2.805796717398118,,,680728.0,1,5,Top,,,,,,,-7.541636779674913,-132.96811133708374,-5.987361011612044,10.62884839465664,32.27028064694962,-10.19641001963078,3.3,1.55,195.0,70.7,52.0,90.0,2483.0,5.7,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.75,,,,,,,,41,4,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,154.0,0.0,0.0,68.5,6.2,,,0.0,88.0,4,-4,0.901,0.099,29,26,30,26,2,1,4.0,1.0,,1.0,1.0,0.75,-0.75,48.4,2.818216971478941,12.633266303388588,34.1252946932657,33.848264488006194,22.73662796372126,2025
FF,2025-09-27,91.1,2.42,5.98,"Matsui, Yuki",694374,673513,,called_strike,,,,,9.0,,R,R,L,SD,AZ,S,,,1,1,2025,0.57,1.97,0.5672475729970786,1.6703090044888864,,,680728.0,1,5,Top,,,,,,,-5.8162702049142725,-132.15917273593857,-8.933856176144543,8.002182998260349,32.212019082522126,-7.413614425657255,3.3029793060698,1.5531551574852,,,,89.6,2508.0,5.9,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.65,,,,,,,,41,3,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,158.0,0.006,-0.056,,,,,0.056,,4,-4,0.895,0.105,29,26,30,26,2,1,4.0,1.0,,1.0,0.83,0.57,-0.57,51.2,,,,,,2025
FS,2025-09-27,82.4,2.4,5.96,"Matsui, Yuki",694374,673513,,ball,,,,,14.0,,R,R,L,SD,AZ,B,,,0,1,2025,1.05,0.21,0.7376823957143102,1.24694094817649,,,680728.0,1,5,Top,,,,,,,-5.775934814084078,-119.85151425181846,-4.599376642480233,11.255148631213666,22.60377971159823,-29.43031930108261,3.3029793060698,1.5531551574852,,,,82.1,1244.0,6.0,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.47,,,,,,,,41,2,Split-Finger,5,1,1,5,1,5,1,5,Standard,Standard,116.0,-0.002,0.019,,,,,-0.019,,4,-4,0.897,0.103,29,26,30,26,2,1,4.0,1.0,,1.0,3.14,1.05,-1.05,50.3,,,,,,2025
FS,2025-09-27,83.3,2.3,5.96,"Matsui, Yuki",694374,673513,,swinging_strike,,,,,14.0,,R,R,L,SD,AZ,S,,,0,0,2025,1.1,0.0,0.7057978863594851,1.1558167000378838,,,680728.0,1,5,Top,,,,,,,-5.756175889919116,-121.03001587557488,-4.446861150266121,11.96844897685551,26.034935377612335,-31.478791676458243,3.3,1.55,,,,82.1,1151.0,5.8,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.67,,,,,,,,41,1,Split-Finger,5,1,1,5,1,5,1,5,Standard,Standard,118.0,0.003,-0.04,73.7,8.3,8.188195728,,0.04,,4,-4,0.894,0.106,29,26,30,26,2,1,4.0,1.0,,1.0,3.33,1.1,-1.1,49.1,21.85391837379504,-23.757682760557312,33.79585299581849,44.68263434738661,47.581656146938045,2025
FF,2025-09-27,91.5,2.18,6.05,"Matsui, Yuki",680728,673513,walk,ball,,,,,14.0,Adrian Del Castillo walks.,R,L,L,SD,AZ,B,,,3,2,2025,0.44,1.73,0.3010679718375969,1.5473870335821798,,,,1,5,Top,,,,,,,-5.622993357942766,-132.74790620218425,-9.007598217821329,6.574238438716686,32.413169633916226,-9.90099992746732,3.43296419669426,1.69454631021414,,,,89.9,2464.0,5.8,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.71,,0.691497,0.7,1.0,0.0,0.0,,40,6,4-Seam Fastball,5,1,1,5,1,5,1,5,Infield shade,Standard,153.0,-0.017,0.339,,,,,-0.339,,4,-4,0.911,0.089,29,25,30,26,1,2,4.0,1.0,,,1.04,0.44,0.44,51.0,,,,,,2025
SL,2025-09-27,84.5,2.19,6.05,"Matsui, Yuki",680728,673513,,ball,,,,,13.0,,R,L,L,SD,AZ,B,,,2,2,2025,-0.58,0.06,-0.5995246616935117,0.9439863438618432,,,,1,5,Top,,,,,,,-5.283688592414922,-123.04365473441818,-5.668709539995897,-5.0134656547767,22.46296332177112,-30.73396407134171,3.43296419669426,1.69454631021414,,,,84.0,2847.0,5.8,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.74,,,,,,,,40,5,Slider,5,1,1,5,1,5,1,5,Infield shade,Standard,281.0,-0.005,0.104,,,,,-0.104,,4,-4,0.916,0.084,29,25,30,26,1,2,4.0,1.0,,,3.11,-0.58,-0.58,52.9,,,,,,2025
FF,2025-09-27,91.8,2.12,6.05,"Matsui, Yuki",680728,673513,,swinging_strike,,,,,3.0,,R,L,L,SD,AZ,S,,,2,1,2025,0.46,1.86,0.4682724331746653,2.9273629765907345,,,,1,5,Top,,,,,,,-5.1014726070398035,-133.38083057822274,-5.920152060384329,6.634612066358539,31.60209259625488,-8.954270418679602,3.43,1.6,,,,90.1,2419.0,5.6,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.94,,,,,,,,40,4,4-Seam Fastball,5,1,1,5,1,5,1,5,Infield shade,Standard,160.0,0.004,-0.07,73.7,6.2,0.551464452,,0.07,,4,-4,0.912,0.088,29,25,30,26,1,2,4.0,1.0,,,0.88,0.46,0.46,51.1,3.9834547104711286,8.940669278701462,33.04264128876137,32.520466676934454,29.885946668985344,2025
SI,2025-09-27,91.4,2.25,6.01,"Matsui, Yuki",680728,673513,,ball,,,,,12.0,,R,L,L,SD,AZ,B,,,1,1,2025,1.16,1.45,1.829844401804231,3.1570676085041365,,,,1,5,Top,,,,,,,-3.517845509789969,-133.03822521871248,-4.351130662202396,14.500783335632866,31.26781775745873,-14.298844530085058,3.52446870798331,1.60314853680137,,,,90.0,2298.0,5.6,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.86,,,,,,,,40,3,Sinker,5,1,1,5,1,5,1,5,Infield shade,Standard,155.0,-0.003,0.055,,,,,-0.055,,4,-4,0.915,0.085,29,25,30,26,1,2,4.0,1.0,,,1.3,1.16,1.16,46.7,,,,,,2025
SI,2025-09-27,91.2,2.28,6.02,"Matsui, Yuki",680728,673513,,ball,,,,,12.0,,R,L,L,SD,AZ,B,,,0,1,2025,1.3,1.05,1.8841880647360032,3.1423435748052184,,,,1,5,Top,,,,,,,-3.7547370415256864,-132.7597595032561,-3.5592658876919647,16.206537525630544,30.04636697914883,-19.20022677444447,3.43296419669426,1.69454631021414,,,,90.1,2160.0,5.7,776152,666023,656811,630105,578428,593428,657757,701538,669369,54.79,,,,,,,,40,2,Sinker,5,1,1,5,1,5,1,5,Infield shade,Standard,151.0,-0.001,0.029,,,,,-0.029,,4,-4,0.916,0.084,29,25,30,26,1,2,4.0,1.0,,,1.7,1.3,1.3,45.4,,,,,,2025
