Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Wilyer Abreu","BOS",23,85,100,19,7,3,0,9,19,20,12,2,20,1,2,0,1,1,1,0.223529411,"Wilyer Abreu",23772,677800
"Jackson Merrill","SDP",24,94,98,32,19,3,1,9,18,23,3,0,19,0,1,0,2,4,0,0.340425531,"Jackson Merrill",29490,701538
"Griffin Conine","MIA",22,68,75,18,10,1,0,7,10,14,7,0,25,0,0,0,0,0,0,0.264705882,"Griffin Conine",21626,665052
"Ceddanne Rafaela","BOS",24,104,107,32,19,6,0,7,19,22,1,0,22,1,1,0,1,4,1,0.307692307,"Ceddanne Rafaela",24262,678882
"Fernando Tatis Jr.","SDP",23,92,106,27,14,6,1,6,19,19,13,2,13,1,0,0,1,3,3,0.29347826,"Fernando Tatis Jr.",19709,665487
"Jac Caglianone","KCR",21,79,81,23,11,6,0,6,8,17,2,0,12,0,0,0,1,1,1,0.29113924,"Jac Caglianone",35041,695506
"Tyler Soderstrom","ATH",23,89,97,23,12,5,1,5,14,14,7,0,27,1,0,0,2,1,0,0.258426966,"Tyler Soderstrom",27467,691016
"Pete Crow-Armstrong","CHC",23,89,109,24,8,8,3,5,21,18,18,2,33,1,1,0,0,6,1,0.269662921,"Pete Crow-Armstrong",27769,691718
"Daylen Lile","WSN",23,80,85,20,11,2,2,5,11,17,4,0,22,1,0,0,0,2,0,0.25,"Daylen Lile",29995,695734
"Brandon Nimmo","TEX",23,85,94,28,18,6,0,4,11,13,9,0,22,0,0,0,3,2,0,0.329411764,"Brandon Nimmo",12927,607043
"Kyle Tucker","LAD",21,67,78,16,11,0,1,4,12,7,9,0,9,1,1,0,2,1,0,0.23880597,"Kyle Tucker",18345,663656
"Mickey Moniak","COL",19,68,75,18,10,3,1,4,10,14,4,0,18,0,3,0,1,0,0,0.264705882,"Mickey Moniak",19956,666160
"Kody Clemens","MIN",21,84,88,16,8,2,2,4,9,9,3,0,19,1,0,0,3,2,0,0.19047619,"Kody Clemens",20572,665019
"Julio Rodríguez","SEA",21,78,88,20,15,1,0,4,8,11,7,1,17,1,2,0,1,3,0,0.256410256,"Julio Rodriguez",23697,677594
"Michael Harris II","ATL",24,97,100,27,13,9,1,4,14,14,2,0,15,0,1,0,0,0,1,0.278350515,"Michael Harris II",25931,671739
"Kyle Stowers","MIA",22,83,94,21,11,5,1,4,8,10,10,0,29,1,0,0,0,0,0,0.253012048,"Kyle Stowers",26151,669065
"JJ Bleday","CIN",22,75,89,13,8,1,0,4,10,4,14,0,25,0,0,0,0,2,2,0.173333333,"JJ Bleday",26368,668709
"Jackson Chourio","MIL",23,89,102,24,17,3,0,4,14,10,12,3,24,1,0,0,3,3,2,0.269662921,"Jackson Chourio",28806,694192
"Esmerlyn Valdez","PIT",22,67,92,10,3,3,0,4,7,11,23,0,35,1,1,0,1,0,0,0.149253731,"Esmerlyn Valdez",29005,699013
"Seiya Suzuki","CHC",21,81,100,22,12,6,0,4,16,18,18,1,24,1,0,0,1,1,0,0.271604938,"Seiya Suzuki",30116,673548
"Wyatt Langford","TEX",23,85,97,19,9,6,0,4,14,9,10,0,25,2,0,0,0,2,1,0.223529411,"Wyatt Langford",33333,694671
"Jung Hoo Lee","SFG",21,83,91,24,14,5,1,4,11,13,4,0,11,3,1,0,1,2,1,0.289156626,"Jung Hoo Lee",33824,808982
"Cam Smith","HOU",21,64,70,17,10,2,1,4,12,10,4,0,21,2,0,0,0,1,1,0.265625,"Cam Smith",35108,701358
"Teoscar Hernández","LAD",21,73,76,19,12,4,0,3,11,5,3,0,18,0,0,0,5,0,0,0.260273972,"Teoscar Hernandez",13066,606192
"Jake Bauers","MIL",19,63,75,18,12,2,1,3,13,8,11,0,19,0,1,0,1,2,2,0.285714285,"Jake Bauers",15194,641343
"Ian Happ","CHC",23,80,93,16,8,5,0,3,10,9,12,0,29,1,0,0,3,0,0,0.2,"Ian Happ",17919,664023
"Trent Grisham","NYY",22,79,87,11,5,3,0,3,7,4,7,0,15,0,0,0,1,0,0,0.139240506,"Trent Grisham",18564,663757
"Randy Arozarena","SEA",22,84,95,20,14,3,0,3,14,4,8,0,16,3,0,0,3,1,1,0.238095238,"Randy Arozarena",19290,668227
"Jo Adell","- - -",21,73,84,13,7,3,0,3,7,9,7,0,31,3,1,0,0,0,0,0.178082191,"Jo Adell",20220,666176
"Jake McCarthy","COL",21,93,96,30,19,7,1,3,18,14,1,0,15,1,1,0,1,5,0,0.322580645,"Jake McCarthy",21622,664983
"Jarren Duran","BOS",24,87,95,20,14,2,1,3,11,15,4,2,21,0,3,1,2,3,2,0.229885057,"Jarren Duran",24617,680776
"Heriberto Hernández","MIA",21,83,88,17,10,4,0,3,6,8,5,0,33,0,0,0,1,3,1,0.204819277,"Heriberto Hernandez",24878,681715
"Corbin Carroll","ARI",23,91,105,18,7,5,3,3,18,10,10,0,22,3,1,0,2,6,0,0.197802197,"Corbin Carroll",25878,682998
"Riley Greene","DET",21,78,91,16,7,6,0,3,16,9,10,2,25,1,2,0,2,1,0,0.205128205,"Riley Greene",25976,682985
"Tim Tawa","ARI",24,86,93,21,15,3,0,3,12,11,4,0,21,0,2,1,3,2,0,0.244186046,"Tim Tawa",29571,694374
"Dylan Crews","WSN",21,77,90,18,10,5,0,3,13,7,10,0,25,3,0,0,0,2,0,0.233766233,"Dylan Crews",33541,686611
"Mike Trout","LAA",22,76,93,18,13,3,0,2,9,3,15,2,28,1,1,0,2,1,0,0.236842105,"Mike Trout",10155,545361
"Leody Taveras","BAL",21,63,72,11,6,2,1,2,9,8,7,0,18,0,0,2,2,0,0,0.174603174,"Leody Taveras",18900,665750
"Tommy Edman","LAD",21,77,83,17,12,2,1,2,10,11,2,0,19,4,0,0,0,1,1,0.22077922,"Tommy Edman",19470,669242
"Luis Rengifo","SDP",22,74,88,24,20,2,0,2,14,8,11,0,13,2,0,1,1,3,1,0.324324324,"Luis Rengifo",19858,650859
"Lawrence Butler","ATH",23,71,81,17,10,4,1,2,12,8,8,0,18,0,1,1,1,3,0,0.239436619,"Lawrence Butler",22542,671732
"Andy Pages","LAD",22,88,97,24,18,3,1,2,9,10,8,0,23,1,0,0,2,3,0,0.272727272,"Andy Pages",24816,681624
"Jake Mangum","PIT",21,88,96,25,19,4,0,2,9,8,5,0,22,2,1,0,1,3,1,0.284090909,"Jake Mangum",26202,663968
"James Wood","WSN",17,68,81,13,8,3,0,2,11,9,11,1,24,0,2,0,2,2,0,0.19117647,"James Wood",29518,695578
"Henry Bolte","ATH",22,70,77,18,13,3,0,2,9,6,4,0,24,2,0,1,1,2,3,0.257142857,"Henry Bolte",31448,703607
"Luke Keaschall","MIN",20,67,82,19,15,2,0,2,8,6,10,0,12,3,1,1,2,2,2,0.283582089,"Luke Keaschall",33321,807712
"Sam Antonacci","CHW",22,72,82,16,11,3,0,2,11,7,6,0,12,3,0,1,0,1,2,0.222222222,"Sam Antonacci",35101,803011
"Carson Benge","NYM",20,77,86,23,17,3,1,2,10,10,6,0,20,2,1,0,1,3,1,0.298701298,"Carson Benge",35177,701807
"Taylor Ward","- - -",21,76,90,14,11,1,1,1,8,5,12,1,17,2,0,0,0,1,0,0.184210526,"Taylor Ward",17548,621493
"Nathan Lukes","TOR",23,80,85,17,13,3,0,1,7,3,5,0,12,0,0,0,0,1,0,0.2125,"Nathan Lukes",18123,664770
"Bryan Reynolds","PIT",23,90,100,19,12,6,0,1,12,4,10,1,33,0,0,0,1,0,0,0.211111111,"Bryan Reynolds",19326,668804
"Daulton Varsho","- - -",23,79,86,17,13,3,0,1,5,4,7,0,16,0,0,0,3,1,0,0.215189873,"Daulton Varsho",19918,662139
"Brandon Marsh","PHI",23,84,92,14,11,2,0,1,10,6,7,2,21,0,1,0,1,2,0,0.166666666,"Brandon Marsh",20202,669016
"José Fermín","STL",22,61,76,12,9,2,0,1,5,7,11,0,6,1,1,1,2,3,0,0.196721311,"Jose Fermin",21746,665877
"Heliot Ramos","- - -",21,83,92,17,14,2,0,1,5,6,6,0,28,3,0,0,3,3,1,0.204819277,"Heliot Ramos",22515,671218
"Steven Kwan","CLE",20,79,91,33,28,4,0,1,11,6,10,0,11,1,1,0,1,2,1,0.417721518,"Steven Kwan",24610,680757
"Isaac Collins","KCR",21,72,79,16,10,3,2,1,5,7,7,0,15,0,0,0,0,1,1,0.222222222,"Isaac Collins",25477,686555
"Jordan Walker","STL",22,92,97,23,18,4,0,1,8,9,5,0,24,0,0,0,1,1,0,0.25,"Jordan Walker",27475,691023
"Jasson Domínguez","NYY",17,68,72,15,10,4,0,1,8,3,3,0,18,1,0,0,0,1,1,0.220588235,"Jasson Dominguez",28080,691176
"Nathan Church","STL",23,70,79,17,16,0,0,1,8,9,5,0,12,1,2,1,1,2,1,0.242857142,"Nathan Church",31357,701675
"Chase DeLauter","CLE",21,80,96,22,16,5,0,1,13,10,15,0,17,0,1,0,1,4,0,0.275,"Chase DeLauter",32127,800050
"Cole Carrigg","COL",20,70,81,22,14,7,0,1,12,8,10,1,14,1,0,0,2,4,1,0.314285714,"Cole Carrigg",33253,694249
"Braden Montgomery","CHW",21,75,88,18,13,2,2,1,12,12,11,0,21,2,0,0,0,1,1,0.24,"Braden Montgomery",35423,695731
"Mauricio Dubón","ATL",22,83,89,23,19,4,0,0,12,9,3,0,7,0,1,0,2,3,0,0.277108433,"Mauricio Dubon",16530,643289
"Zach McKinstry","DET",22,65,74,20,12,7,1,0,10,5,7,0,7,2,0,0,0,0,2,0.307692307,"Zach McKinstry",19392,656716
"Lars Nootbaar","- - -",22,74,87,13,10,3,0,0,8,5,13,1,17,0,0,0,1,0,0,0.175675675,"Lars Nootbaar",21454,663457
"Dane Myers","CIN",19,60,69,16,14,2,0,0,4,4,7,0,20,1,1,0,0,2,0,0.266666666,"Dane Myers",22054,667472
"Garrett Mitchell","MIL",22,74,89,13,9,4,0,0,8,6,13,1,25,2,0,0,2,5,0,0.175675675,"Garrett Mitchell",27555,669003
"Tristan Peters","CHW",21,61,71,7,5,2,0,0,5,4,7,0,14,2,1,0,0,1,0,0.114754098,"Tristan Peters",30063,671976
"Dylan Beavers","BAL",22,65,72,16,13,3,0,0,4,6,6,0,20,1,0,0,1,2,3,0.246153846,"Dylan Beavers",31695,687637
"Chandler Simpson","TBR",22,83,90,34,30,4,0,0,10,7,2,0,6,0,3,2,1,11,0,0.409638554,"Chandler Simpson",31912,802415
"A.J. Ewing","NYM",22,91,103,21,14,7,0,0,10,4,8,0,26,1,2,1,0,6,0,0.23076923,"A.J. Ewing",33656,805999
