Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Jackson Merrill","SDP",98,76,93.50789441560444,105.5,110.8,20.18421052631579,15,0.19736842,41,0.53947368,0.340425531,0.32148351712705014,0.680851063,0.6735274794173765,0.43672368599444017,0.4240906950674559,"Jackson Merrill",29490,701538
"Pete Crow-Armstrong","CHC",109,57,90.71403496725517,106.4,109.1,24.526315789473685,11,0.19298246,30,0.52631579,0.269662921,0.23765168534696438,0.595505617,0.46295505046342195,0.4123176837635932,0.3706327937195234,"Pete Crow-Armstrong",27769,691718
"Griffin Conine","MIA",75,43,94.41162943285565,106.7,115,20.162790697674417,8,0.18604651,24,0.55813953,0.264705882,0.24452238791246914,0.588235294,0.5128806015448784,0.39165475447972614,0.35425816531721,"Griffin Conine",21626,665052
"Riley Greene","DET",91,55,86.57454556551846,104.4,110,10,10,0.18181818,23,0.41818182,0.205128205,0.23769230930468974,0.397435897,0.47124358725089294,0.29489388693584484,0.35143520523992816,"Riley Greene",25976,682985
"Bryan Reynolds","PIT",100,57,89.47017549213611,105.9,108.6,11.666666666666666,9,0.15789474,24,0.42105263,0.211111111,0.19793333237369856,0.311111111,0.34494444015953274,0.26836546563138863,0.2734429089709966,"Bryan Reynolds",19326,668804
"Jackson Chourio","MIL",102,65,92.61692364032452,105.7,108.4,6.461538461538462,10,0.15384615,35,0.53846154,0.269662921,0.26994117691236386,0.438202247,0.5166352943462484,0.34450083429163153,0.3719326806695838,"Jackson Chourio",28806,694192
"Dylan Crews","WSN",90,52,91.45961512052097,103,107.6,16.98076923076923,8,0.15384615,25,0.48076923,0.233766233,0.21588311755618492,0.415584415,0.42328571982972035,0.3389746944109599,0.3328999001118872,"Dylan Crews",33541,686611
"Esmerlyn Valdez","PIT",92,33,91.2515157063802,106.4,110.2,26.90909090909091,5,0.15151515,15,0.45454545,0.149253731,0.14432835806883984,0.373134328,0.313970149675412,0.34155067801475525,0.3224218759847724,"Esmerlyn Valdez",29005,699013
"Wilyer Abreu","BOS",100,67,89.5044774297458,105.3,109.3,22.880597014925375,10,0.14925373,33,0.49253731,0.223529411,0.2715975610403026,0.576470588,0.6230853694241222,0.3688145954998172,0.4120489888368769,"Wilyer Abreu",23772,677800
"Corbin Carroll","ARI",105,70,92.7085702078683,103.8,110,17.814285714285713,10,0.14285714,41,0.58571429,0.197802197,0.23323863812468268,0.417582417,0.42864772702821274,0.31068488359451296,0.3312498367954009,"Corbin Carroll",25878,682998
"Fernando Tatis Jr.","SDP",106,79,93.94936689545837,108.4,114.7,8.69620253164557,11,0.13924051,41,0.51898734,0.29347826,0.3146136357364329,0.576086956,0.6090340861542658,0.4067626165655943,0.42726348876953124,"Fernando Tatis Jr.",19709,665487
"Jac Caglianone","KCR",81,67,93.7716422009824,111,115.3,7.552238805970149,9,0.13432836,36,0.53731343,0.29113924,0.29879999888439973,0.594936708,0.5719466661661863,0.38307605775786036,0.3763083607538954,"Jac Caglianone",35041,695506
"Jake Bauers","MIL",75,45,94.37727286598899,107.6,109.8,11.555555555555555,6,0.13333333,25,0.55555556,0.285714285,0.26872413839887954,0.492063492,0.49224137842398263,0.38147997776667275,0.39123702687876566,"Jake Bauers",15194,641343
"Seiya Suzuki","CHC",100,57,88.30350936086555,106.6,109.5,22.12280701754386,7,0.12280702,18,0.31578947,0.271604938,0.229419755714911,0.49382716,0.4034567907636548,0.39417196343643496,0.34791495884307705,"Seiya Suzuki",30116,673548
"Daylen Lile","WSN",85,58,90.95344832847859,104.3,109.8,22.586206896551722,7,0.12068966,27,0.46551724,0.25,0.2272625016863458,0.5125,0.4086500065168366,0.34415637254714965,0.29537935247096947,"Daylen Lile",29995,695734
"Heriberto Hernández","MIA",88,50,91.19600082397461,104.3,110.8,11.24,6,0.12,25,0.5,0.204819277,0.20780722672927632,0.361445783,0.3733012022012957,0.26784625581719657,0.27326545932076196,"Heriberto Hernandez",24878,681715
"JJ Bleday","CIN",89,50,87.3680012512207,104.7,106.1,21.54,6,0.12,18,0.36,0.173333333,0.20329333551228046,0.346666666,0.4229066707442204,0.2959422663356481,0.3312944733024983,"JJ Bleday",26368,668709
"Jo Adell","- - -",84,43,91.04186195550963,106.1,110,17.11627906976744,5,0.11627907,21,0.48837209,0.178082191,0.21779452404007316,0.342465753,0.43039725385989025,0.27647305244491216,0.32118303585974944,"Jo Adell",20220,666176
"James Wood","WSN",81,46,95.52608622675356,109.6,115.1,11.369565217391305,5,0.10869565,21,0.45652174,0.19117647,0.24041176455862381,0.323529411,0.36760293955312057,0.2746665507555008,0.3220839980989695,"James Wood",29518,695578
"Henry Bolte","ATH",77,47,93.32444373236763,107.2,113.2,7.222222222222222,5,0.10638298,24,0.5106383,0.257142857,0.23404545641052676,0.385714285,0.39622727498609683,0.3117279700542751,0.30527780486348394,"Henry Bolte",31448,703607
"Jordan Walker","STL",97,68,87.25882339477539,110.7,114.6,14.588235294117647,7,0.10294118,22,0.32352941,0.25,0.2372386364096945,0.326086956,0.3755454583601518,0.27415369650752275,0.28478881428318636,"Jordan Walker",27475,691023
