pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-09-29,94.0,-1.19,5.79,"Mize, Casey",676113,663554,walk,ball,,,,,11.0,Zach DeLoach walks.,R,L,R,DET,CWS,B,,,3,2,2024,-0.73,1.3,-1.4013961589970507,3.302970259769934,,673357.0,,0,7,Top,,,,,,,1.0924530612691368,-136.92112934134653,-3.6621460438304014,-9.474359277431898,30.19066733280209,-15.249538764447973,3.14893178657947,1.46420191398876,,,,95.3,2111.0,7.0,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.5,,0.689131,0.7,1.0,0.0,0.0,,56,9,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,216.0,-0.019,0.263,,,,,-0.263,,-1,1,0.236,0.764,27,25,27,26,1,3,3.0,1.0,,,1.28,0.73,-0.73,46.0,,,,,
FS,2024-09-29,88.2,-1.38,5.5,"Mize, Casey",676113,663554,,foul,,,,,14.0,,R,L,R,DET,CWS,S,,,3,2,2024,-1.27,0.23,0.282257234619216,1.0049840290717107,,673357.0,,0,7,Top,,,,,,,6.745088425640847,-128.28206194554366,-5.393388746257377,-15.38772303279611,25.18649089094197,-28.699788773355905,3.37,1.59,,,,89.3,1302.0,6.9,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.61,,,,,,,,56,8,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,242.0,0.0,0.0,74.6,7.6,,,0.0,,-1,1,0.236,0.764,27,25,27,26,1,3,3.0,1.0,,,2.69,1.27,-1.27,40.5,13.82049261216901,-7.905831963469517,49.59219234873705,35.52604028295536,43.675819853117694
SL,2024-09-29,85.8,-1.45,5.54,"Mize, Casey",676113,663554,,foul,,,,,14.0,,R,L,R,DET,CWS,S,,,3,2,2024,0.17,-0.07,0.9275492321172936,1.8970722189928304,,673357.0,,0,7,Top,,,,,,,5.334679809014165,-124.85492946437402,-2.2492528082064687,0.7380227722533772,24.62457947465694,-32.65002965069263,3.37,1.59,51.0,80.7,1.0,86.9,2227.0,7.0,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.54,,,,,,,,56,7,Slider,4,5,5,4,5,4,5,4,Standard,Standard,87.0,0.0,0.0,71.5,7.7,,,0.0,88.0,-1,1,0.236,0.764,27,25,27,26,1,3,3.0,1.0,,,3.16,-0.17,0.17,38.0,12.021926044988271,-17.485763041501254,46.51137985889231,27.016987282251225,39.93694191357593
FS,2024-09-29,88.0,-1.46,5.55,"Mize, Casey",676113,663554,,ball,,,,,13.0,,R,L,R,DET,CWS,B,,,2,2,2024,-1.21,0.39,-0.6643765857498127,1.1715260760157804,,673357.0,,0,7,Top,,,,,,,4.489763100251242,-128.03503535100873,-5.43833111747294,-14.278180223680543,24.403404203773132,-26.955515645995895,3.17460544534037,1.46420191398876,,,,89.2,1321.0,6.9,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.61,,,,,,,,56,6,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,241.0,-0.01,0.062,,,,,-0.062,,-1,1,0.246,0.754,27,25,27,26,1,3,3.0,1.0,,,2.53,1.21,-1.21,40.1,,,,,
KC,2024-09-29,81.9,-1.4,5.55,"Mize, Casey",676113,663554,,foul,,,,,7.0,,R,L,R,DET,CWS,S,,,2,2,2024,0.52,-0.9,-0.5358288648872438,1.6669082187166433,,673357.0,,0,7,Top,,,,,,,0.9665557834322068,-119.3796174751942,-0.503469995235959,4.806353817732095,22.557043744946057,-40.87501482561054,3.37,1.59,133.0,64.0,26.0,82.9,1989.0,6.8,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.65,,,,,,,,56,5,Knuckle Curve,4,5,5,4,5,4,5,4,Standard,Standard,29.0,0.0,0.0,67.7,6.8,,,0.0,88.0,-1,1,0.246,0.754,27,25,27,26,1,3,3.0,1.0,,,4.28,-0.52,0.52,41.7,-4.432905585744247,9.834273165178503,44.87360178714372,44.35894742237264,22.530641004876724
FF,2024-09-29,95.9,-1.09,5.84,"Mize, Casey",676113,663554,,called_strike,,,,,1.0,,R,L,R,DET,CWS,S,,,2,1,2024,-0.72,1.29,-0.2815338182300544,3.163939882249501,,673357.0,,0,7,Top,,,,,,,3.79525115822875,-139.62828376993855,-4.471266048467198,-10.262323369280368,29.250171560777403,-14.42819742287225,3.20027880886995,1.33575970944259,,,,97.2,2276.0,6.8,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.66,,,,,,,,56,4,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,215.0,0.009,-0.06,,,,,0.06,,-1,1,0.237,0.763,27,25,27,26,1,3,3.0,1.0,,,1.17,0.72,-0.72,47.6,,,,,
FS,2024-09-29,87.6,-1.58,5.53,"Mize, Casey",676113,663554,,ball,,,,,13.0,,R,L,R,DET,CWS,B,,,1,1,2024,-1.19,0.23,-0.0234995537659328,0.8536362297840978,,673357.0,,0,7,Top,,,,,,,6.276296002840176,-127.41147449585256,-5.753682529073876,-14.194348021912914,22.68835979628662,-28.80667495172723,3.25162464716539,1.46420191398876,,,,88.9,1250.0,6.8,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.68,,,,,,,,56,3,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,243.0,-0.004,0.041,,,,,-0.041,,-1,1,0.241,0.759,27,25,27,26,1,3,3.0,1.0,,,2.71,1.19,-1.19,41.1,,,,,
FS,2024-09-29,89.0,-1.39,5.54,"Mize, Casey",676113,663554,,called_strike,,,,,5.0,,R,L,R,DET,CWS,S,,,1,0,2024,-1.1,0.48,0.2328460006236521,2.0552473895071404,,,673357.0,0,7,Top,,,,,,,6.343738203533375,-129.52460371025882,-3.627760761564339,-13.66851950809756,23.445791723891777,-26.21180804563478,3.20027880886995,1.51557702110481,,,,90.3,1402.0,6.8,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.75,,,,,,,,56,2,Split-Finger,4,5,5,4,5,4,5,4,Infield shade,Strategic,235.0,-0.024,-0.049,,,,,0.049,,-1,1,0.265,0.735,27,25,27,26,1,3,3.0,1.0,,,2.36,1.1,-1.1,39.9,,,,,
FF,2024-09-29,95.0,-1.01,5.79,"Mize, Casey",676113,663554,,ball,,,,,12.0,,R,L,R,DET,CWS,B,,,0,0,2024,-0.65,1.33,0.1732958733972894,4.083292636714978,,,673357.0,0,7,Top,,,,,,,4.584702304090248,-138.36186422890447,-1.8472275309629544,-9.28468294834716,28.597763041753492,-14.811830044196784,3.22595187639887,1.48988959511479,,,,96.2,2180.0,6.8,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.74,,,,,,,,56,1,4-Seam Fastball,4,5,5,4,5,4,5,4,Infield shade,Strategic,213.0,-0.005,0.041,,,,,-0.041,,-1,1,0.27,0.73,27,25,27,26,1,3,3.0,1.0,,,1.18,0.65,-0.65,46.2,,,,,
SL,2024-09-29,87.4,-1.34,5.59,"Mize, Casey",673357,663554,single,hit_into_play,,,,,9.0,Luis Robert Jr. singles on a sharp line drive to center fielder Parker Meadows.,R,R,R,DET,CWS,X,8.0,line_drive,0,0,2024,0.1,0.26,0.7536004865018611,1.957023149769436,,,,0,7,Top,120.1,82.48,,,,,4.892528310938526,-127.2391038047762,-3.169172674803454,0.1132421098148569,26.42070571358531,-28.9521880787214,3.76,1.72,231.0,104.9,9.0,88.5,2082.0,7.0,746416,668670,679529,628451,663837,700242,682985,678009,672761,53.52,0.784,0.75,0.9,1.0,1.0,0.0,4.0,55,1,Slider,4,5,5,4,5,4,5,4,Standard,Standard,186.0,-0.038,0.448,74.2,8.1,,0.932,-0.448,104.9,-1,1,0.308,0.692,27,26,27,27,1,3,3.0,3.0,,,2.73,-0.1,-0.1,42.6,6.5497819413385026,0.7420232946568529,32.52147433481541,43.78955140549918,28.678562419876677
