pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-05,94.4,-2.04,5.93,"Mize, Casey",672515,663554,walk,ball,,,,,14,Gabriel Moreno walks. Lars Nootbaar scores. Corbin Carroll to 3rd. Geraldo Perdomo to 2nd.,R,R,R,AZ,SD,B,,,3,2,2026,-0.67,1.24,1.1885003915822463,1.4352541386891546,663457.0,682998.0,672695.0,1,4,Bot,,,,,,,9.9188149570766,-136.97909245486284,-8.631606237961552,-10.608098657812867,30.439947958401607,-14.813025479363944,3.071686352,1.55019685,,,,95.4,2160,7.0,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.47,,0.698418,0.7,1.0,0.0,0.0,,36,6,4-Seam Fastball,4,0,4,0,0,5,5,0,Standard,Standard,213,0.02,0.316,,,,,-0.316,,4,4,0.944,0.944,29,26,29,26,3,2,11,3,5,1,1.34,0.67,0.67,49.0,,,,,
SI,2026-08-05,94.9,-2.04,5.9,"Mize, Casey",672515,663554,,foul,,,,,3,,R,R,R,AZ,SD,S,,,3,1,2026,-1.12,1.19,0.3114454473263146,2.8574292772281606,663457.0,682998.0,672695.0,1,4,Bot,,,,,,,8.714411217494805,-137.95751196227545,-4.83405679952252,-16.23567687707891,30.028271979480632,-16.12028366886487,3.071686352,1.55019685,253.0,75.6,45.0,96.0,2324,6.9,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.58,,,,,,,,36,5,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,210,-0.006,-0.066,74.4,6.5,,,0.066,88.0,4,4,0.95,0.95,29,26,29,26,3,2,11,3,5,1,1.35,1.12,1.12,44.7,3.0030294043861945,14.086884939236215,32.504681605196566,37.46988790887664,31.368161738439547
SL,2026-08-05,87.7,-2.47,5.77,"Mize, Casey",672515,663554,,ball,,,,,12,,R,R,R,AZ,SD,B,,,2,1,2026,0.51,0.29,0.7208136095613157,3.9312660309329,663457.0,682998.0,672695.0,1,4,Bot,,,,,,,6.588462933661797,-127.64175379725135,1.209398485712705,4.273899974728796,25.118417334842125,-29.40861092008505,3.071686352,1.55019685,,,,88.6,2208,6.7,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.76,,,,,,,,36,4,Slider,4,0,4,0,0,4,4,0,Standard,Standard,134,0.008,0.086,,,,,-0.086,,4,4,0.942,0.942,29,26,29,26,3,2,11,3,5,1,2.66,-0.51,-0.51,43.0,,,,,
SL,2026-08-05,88.4,-2.37,5.75,"Mize, Casey",672515,663554,,ball,,,,,14,,R,R,R,AZ,SD,B,,,1,1,2026,0.27,0.38,1.8847523720070591,1.4086970754586403,663457.0,682998.0,672695.0,1,4,Bot,,,,,,,9.75416805282804,-128.4102695882623,-5.126792159951583,1.201929081700276,24.21253161647127,-27.156861218139507,3.071686352,1.55019685,,,,89.6,2359,6.9,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.57,,,,,,,,36,3,Slider,4,0,4,0,0,4,4,0,Standard,Standard,156,0.003,0.05,,,,,-0.05,,4,4,0.939,0.939,29,26,29,26,3,2,11,3,5,1,2.53,-0.27,-0.27,44.6,,,,,
FS,2026-08-05,88.2,-2.26,5.87,"Mize, Casey",672515,663554,,ball,,,,,14,,R,R,R,AZ,SD,B,,,0,1,2026,-1.09,0.65,0.4553534186308425,1.341286036761898,663457.0,682998.0,672695.0,1,4,Bot,,,,,,,8.873413571283962,-128.11812605549363,-6.074283946384464,-13.81361698485139,26.6583511918801,-23.92313889992387,3.071686352,1.55019685,,,,88.8,1744,6.8,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.7,,,,,,,,36,2,Split-Finger,4,0,4,0,0,4,4,0,Standard,Standard,224,0.002,0.029,,,,,-0.029,,4,4,0.937,0.937,29,26,29,26,3,2,11,3,5,1,2.29,1.09,1.09,44.9,,,,,
SI,2026-08-05,94.2,-2.11,5.95,"Mize, Casey",672515,663554,,called_strike,,,,,5,,R,R,R,AZ,SD,S,,,0,0,2026,-1.16,1.16,-0.1748388305283608,2.1777921714301307,663457.0,682998.0,672695.0,1,4,Bot,,,,,,,7.647496430579958,-136.86123269533078,-6.511285438972929,-16.225461483786958,30.98202118873032,-16.36017721412339,3.071686352,1.55019685,,,,94.9,2284,6.9,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.65,,,,,,,,36,1,Sinker,4,0,4,0,0,4,4,0,Standard,Standard,212,-0.003,-0.048,,,,,0.048,,4,4,0.94,0.94,29,26,29,26,3,2,11,3,5,1,1.43,1.16,1.16,47.3,,,,,
FS,2026-08-05,88.4,-2.31,5.83,"Mize, Casey",672695,663554,single,hit_into_play,,,,,13,Geraldo Perdomo singles on a line drive to center fielder Jackson Merrill. Lars Nootbaar to 3rd. Corbin Carroll to 2nd.,R,L,R,AZ,SD,X,8.0,line_drive,1,0,2026,-1.18,0.06,-0.8772299833370865,2.147716530638934,,663457.0,682998.0,1,4,Bot,133.62,87.45,,,,,6.000400262529924,-128.52463253445111,-2.772595787786824,-14.38098341022098,27.664305023047326,-31.155819355291612,3.31742126,1.674212598,205.0,92.6,11.0,88.7,1218,6.6,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.88,0.729,0.676,0.9,1.0,1.0,0.0,4.0,35,2,Split-Finger,4,0,4,0,0,4,4,0,Standard,Standard,237,0.015,0.436,67.3,7.1,,0.819,-0.436,92.6,4,4,0.925,0.925,29,26,29,27,3,2,11,1,5,1,2.87,1.18,-1.18,43.6,11.719899628951556,6.760547810712836,33.013079656489225,44.80086938890082,24.236317815318372
FF,2026-08-05,94.4,-2.2,5.97,"Mize, Casey",672695,663554,,ball,,,,,11,,R,L,R,AZ,SD,B,,,0,0,2026,-0.92,1.41,-0.6791310032158798,4.147504332345546,,663457.0,682998.0,1,4,Bot,,,,,,,6.031720314021359,-137.25610907032964,-2.0245026562663755,-12.964777424162534,33.90319608294901,-14.217214626862589,3.31742126,1.674212598,,,,94.6,2199,6.7,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.78,,,,,,,,35,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,209,0.002,0.04,,,,,-0.04,,4,4,0.923,0.923,29,26,29,27,3,2,11,1,5,1,1.18,0.92,-0.92,48.3,,,,,
SL,2026-08-05,87.1,-2.49,5.72,"Mize, Casey",682998,663554,single,hit_into_play,,,,,14,Corbin Carroll singles on a line drive to right fielder Jase Bowen. Ryan Waldschmidt scores. Lars Nootbaar to 2nd.,R,L,R,AZ,SD,X,9.0,line_drive,0,0,2026,0.46,0.05,0.6601324067955745,1.4117955652141196,814439.0,,663457.0,1,4,Bot,181.21,107.08,,,,,6.568017897141205,-126.72424129180337,-4.0809419259857656,3.632684687150076,25.59900347465786,-31.023371845233168,3.10328084,1.566141732,203.0,99.9,12.0,88.0,2374,6.9,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.65,0.943,0.916,0.9,1.0,1.0,0.0,4.0,34,1,Slider,3,0,3,0,0,4,4,0,Standard,Standard,97,0.031,0.46,83.5,7.7,,1.168,-0.46,99.9,3,3,0.892,0.892,29,25,29,26,3,2,11,1,5,1,2.95,-0.46,0.46,42.6,13.96424572239196,-8.265162779529257,32.563307665477126,31.92655965448413,38.31492791520379
FS,2026-08-05,89.4,-2.36,5.89,"Mize, Casey",663457,663554,single,hit_into_play,,,,,8,Lars Nootbaar singles on a line drive to right fielder Jase Bowen. Tyler Locklear scores. Ryan Waldschmidt to 3rd.,R,L,R,AZ,SD,X,9.0,line_drive,0,1,2026,-1.25,0.47,-0.1082889308782062,1.6334451817489462,682988.0,,814439.0,1,4,Bot,174.56,122.87,,,,,8.218693851804966,-129.93601031332577,-5.31091239405142,-15.81204191101005,25.48825947179546,-25.923875109999365,3.259498032,1.644980315,145.0,83.8,11.0,90.4,1609,6.8,825052,669134,664034,665487,592518,593428,650859,701538,687749,53.67,0.483,0.435,0.9,1.0,1.0,0.0,4.0,33,2,Split-Finger,2,0,2,0,0,3,3,0,Infield shade,Standard,224,0.067,0.51,76.3,7.4,,0.51,-0.51,88.0,2,2,0.825,0.825,29,28,29,29,3,2,11,1,5,1,2.37,1.25,-1.25,44.2,16.111555600977052,-11.018727536568816,37.409484843425574,36.63678703379905,39.97939755912576
