Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Adrian Morejon","SDP",62.1,126.71500000000002,129.62663656884877,,,126.88169491525423,,130.81440000000003,,,128.94622448979595,106.58677551020406,133.27836734693878,"Adrian Morejon",20039,670970
"Aroldis Chapman","BOS",38.2,106.31210526315787,114.8308597285068,,139.35969696969698,127.69381818181817,,,,,116.515456,108.63203199999997,121.77174399999997,"Aroldis Chapman",10233,547973
"Tanner Scott","LAD",46.2,118.42631921824108,,,,121.74935828877005,,,,,120.25952871870405,105.83961708394696,120.75620029455084,"Tanner Scott",17586,656945
"Steven Okert","HOU",56.2,93.348132780083,91.63909090909092,,,125.46267123287664,,76.25,,,114.78565517241378,106.38190804597706,117.17059770114942,"Steven Okert",13580,595345
"José Alvarado","PHI",43.2,111.98470588235296,117.73575187969927,113.39532374100719,,,151.0961538461538,,,,117.10676850763807,94.4978848413631,116.0259224441833,"Jose Alvarado",17780,621237
"Brandyn Garcia","ARI",33,,104.27794392523366,91.46774193548387,,143.00862068965515,,,,,115.81912500000004,101.79687500000003,114.8345833333333,"Brandyn Garcia",33568,805299
"Aaron Ashby","MIL",62.1,87.35769230769232,119.68820069204148,,,133.5533757961783,118.27372727272724,115.00496,,,119.86838301716352,92.13214092140925,114.82162601626018,"Aaron Ashby",23550,676879
"Tim Hill","NYY",43.2,102.04153846153847,131.5270325203252,,,106.9277777777778,,,,,126.83417085427129,93.25658291457289,114.77993299832492,"Tim Hill",16814,657612
"Tim Mayza","PHI",47,83.33021276595747,101.57345454545454,,92.41578947368421,94.64181069958846,,,,,97.90351206434325,114.06498659517423,113.98627345844501,"Tim Mayza",15042,641835
"Mason Montgomery","PIT",41,109.15123425692694,105.59086419753088,,,114.29212121212122,121.77486238532113,80.58476190476189,,,110.74541271989173,103.33983761840322,113.80135317997298,"Mason Montgomery",29770,682254
"José A. Ferrer","SEA",46.2,91,126.58605607476638,,,135.39454545454544,,120.00562499999997,,,126.42508021390378,91.1733422459893,113.42195187165777,"Jose A. Ferrer",24017,678606
"Dylan Lee","ATL",53.1,116.45338842975207,,,,118.06640552995394,,92.04546762589926,,,113.19168511685113,100.82821648216482,111.39581795817962,"Dylan Lee",19996,669276
"Caleb Thielbar","CHC",35.2,104.56960629921257,,,,115.15232227488146,126.1859880239521,,,,113.79807266982624,101.71289099526061,110.28549763033179,"Caleb Thielbar",10078,573204
"Gabe Speier","SEA",30,114.88663043478263,109.55418439716313,,,112.11593984962406,,87.84,,,112.36789473684209,101.60447368421055,109.88504385964907,"Gabe Speier",17170,642100
"Jacob Latz","TEX",49,117.30710784313726,,,,106.65107913669065,119.86852459016391,105.34347222222223,,,113.2078029294274,100.66021304926764,109.69195739014644,"Jacob Latz",21306,656641
"JoJo Romero","STL",43,117.46857142857142,106.18805031446544,,,117.45248447204968,,93.35224806201549,,,108.83389743589738,99.81599999999997,109.404358974359,"JoJo Romero",19574,668941
"Mason Fluharty","TOR",42.1,,,107.1124712643678,,109.44167741935483,,95.0777777777778,,,106.90740331491718,100.33966850828725,108.59229281767955,"Mason Fluharty",31553,689254
"Cionel Pérez","- - -",39.2,90.31507042253523,110.91167512690355,,,,108.82449750747756,,,,105.65911894521564,102.26091077623153,108.26077456129066,"Cionel Perez",19614,672335
"Erik Miller","- - -",35,99.8351724137931,121.76768729641691,,,116.31341530971967,,101.05028571428569,,,116.70613779725356,91.47509699118007,108.15553463771346,"Erik Miller",26252,669062
"Enmanuel De Jesus","DET",37.2,108.35529411764705,102.87257142857145,117.27699999999999,,92.22615384615386,,89.11453125000001,,,104.01846938775505,106.28700680272111,107.94833333333331,"Enmanuel De Jesus",18554,646241
"Jack Dreyer","LAD",46,109.51136904761903,,,,99.54064748201439,101.62181818181821,,,,104.51146036161336,103.2934909596662,107.69154381084842,"Jack Dreyer",30249,676263
"Kyle Hart","SDP",37.2,101.81714285714288,102.21631901840487,,110.75612403100773,108.67755555555554,,,,,106.71271241830068,99.77336601307192,107.34251633986929,"Kyle Hart",19646,606996
"Alex Vesia","LAD",39.2,124.74026178010473,,,,105.79777777777775,,105.54830188679246,,,115.79306518723997,91.7288765603329,107.09472954230242,"Alex Vesia",25007,681911
"Dylan Dodd","ATL",35.2,116.18,112.1985465116279,96.51538461538459,,120.56882352941177,,,,,107.59268817204301,104.23577060931896,107.08222222222223,"Dylan Dodd",29928,689266
"Daniel Lynch IV","KCR",46,100.4504854368932,112.80716417910452,,,113.85012500000002,,99.57889570552145,90.11565217391303,,106.40154992548436,96.76378539493291,106.45260804768999,"Daniel Lynch IV",21537,663738
"Grant Wolfram","BAL",34.1,91.70362204724408,111.91426160337555,95.84666666666668,,124.57257142857145,118.58047619047619,,,,111.25461538461542,97.60227424749174,106.02501672240803,"Grant Wolfram",21623,664991
