Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Justin Wrobleski","LAD",0.2522255192878338,0.932432432,0.182857142,0.394285714,0.422857142,0.074324324,0.108108108,82,6.3076923076923075,553,1166,1719,0.37110482,0.36827195,0.26062323,0.12464589,0.46458924,0.41076487,"Justin Wrobleski",31204,680736
"Will Klein","LAD",0.36283185840707965,2.24137931,0.189655172,0.560344827,0.25,0.103448275,0.103448275,29,6.264000955810693,284,478,762,0.31896552,0.37068966,0.31034483,0.18965517,0.43965517,0.37068966,"Will Klein",27787,694361
"Roki Sasaki","LAD",0.2664233576642336,1.052173913,0.194539249,0.412969283,0.392491467,0.12173913,0.182608695,54,4.628571428571429,635,1151,1786,0.38983051,0.36271186,0.24745763,0.12881356,0.51864407,0.35254237,"Roki Sasaki",35323,808963
"Jack Dreyer","LAD",0.24545454545454545,1.309523809,0.14159292,0.486725663,0.371681415,0.19047619,0.142857142,27,5.170214024859658,248,491,739,0.39655172,0.38793103,0.21551724,0.17241379,0.48275862,0.34482759,"Jack Dreyer",30249,676263
"Eric Lauer","LAD",0.22485207100591717,0.7,0.13559322,0.355932203,0.508474576,0.1,0.122222222,49,7.922156050546431,306,594,900,0.41111111,0.30555556,0.28333333,0.16111111,0.49444444,0.34444444,"Eric Lauer",19316,641778
"Emmet Sheehan","LAD",0.2967479674796748,0.731707317,0.193181818,0.34090909,0.46590909,0.113821138,0.162601626,57,5.381119168214553,607,1093,1700,0.4924812,0.31954887,0.18796992,0.14285714,0.52255639,0.33458647,"Emmet Sheehan",29839,686218
"Shohei Ohtani","LAD",0.24401913875598086,1.542857142,0.156398104,0.511848341,0.331753554,0.157142857,0.057142857,41,4.3073931239797725,473,862,1335,0.41784038,0.342723,0.23943662,0.17370892,0.51173709,0.31455399,"Shohei Ohtani",19755,660271
"Tanner Scott","LAD",0.2761904761904762,0.782608695,0.233644859,0.336448598,0.429906542,0.04347826,0.086956521,16,3.085714706109552,208,481,689,0.35779817,0.30275229,0.33944954,0.12844037,0.55963303,0.31192661,"Tanner Scott",17586,656945
"Yoshinobu Yamamoto","LAD",0.21690140845070421,1.312977099,0.169863013,0.471232876,0.358904109,0.114503816,0.114503816,76,4.909091088293745,709,1356,2065,0.47297297,0.32162162,0.20540541,0.18648649,0.50810811,0.30540541,"Yoshinobu Yamamoto",33825,808967
"Edgardo Henriquez","LAD",0.2545454545454545,1.472222222,0.168224299,0.495327102,0.336448598,0.166666666,0.027777777,29,5.6739139845332245,285,465,750,0.48648649,0.28828829,0.22522523,0.23423423,0.5045045,0.26126126,"Edgardo Henriquez",26944,683618
