Name,Team,Pos,G,GS,Inn,Throwing,Blocking,Framing,Arm,Range,FRV,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC","CF",116,115,1011.2,,,,4,20,24,"Pete Crow-Armstrong",27769,691718
"JJ Wetherholt","STL","2B",109,105,942.1,,,,0,15,19,"JJ Wetherholt",34985,802139
"Bobby Witt Jr.","KCR","SS",97,97,837.2,,,,0,14,15,"Bobby Witt Jr.",25764,677951
"Ceddanne Rafaela","BOS","CF",111,107,962.1,,,,1,12,13,"Ceddanne Rafaela",24262,678882
"Andy Pages","LAD","CF",114,113,992.2,,,,5,7,12,"Andy Pages",24816,681624
"Andrés Giménez","TOR","SS",112,97,884,,,,0,11,11,"Andres Gimenez",19950,665926
"Dillon Dingler","DET","C",85,82,725,2,3,7,,,11,"Dillon Dingler",27464,693307
"Masyn Winn","STL","SS",108,106,938.1,,,,0,8,11,"Masyn Winn",27479,691026
"Dansby Swanson","CHC","SS",111,111,976.2,,,,0,11,10,"Dansby Swanson",18314,621020
"Brice Turang","MIL","2B",111,111,984.2,,,,0,7,10,"Brice Turang",22186,668930
"Michael Harris II","ATL","CF",101,98,864,,,,1,9,10,"Michael Harris II",25931,671739
"Nasim Nuñez","WSN","2B",97,90,785.2,,,,0,6,10,"Nasim Nunez",25979,683083
"Jacob Young","WSN","CF",101,92,805.2,,,,-1,11,10,"Jacob Young",29931,696285
"Luis Arraez","- - -","2B",108,108,934.2,,,,0,8,9,"Luis Arraez",18568,650333
"Brayan Rocchio","CLE","SS",105,103,919.2,,,,1,9,9,"Brayan Rocchio",23690,677587
"Cody Bellinger","NYY","LF",93,83,750,,,,2,6,8,"Cody Bellinger",15998,641355
"Cedric Mullins","TBR","CF",96,92,817,,,,0,8,8,"Cedric Mullins",17929,656775
"Otto Lopez","MIA","SS",113,111,975.2,,,,1,6,8,"Otto Lopez",19608,672640
"Jackson Merrill","SDP","CF",114,113,992,,,,5,3,8,"Jackson Merrill",29490,701538
"Tristan Peters","CHW","CF",100,81,718.2,,,,1,7,8,"Tristan Peters",30063,671976
"Mookie Betts","LAD","SS",79,78,681.2,,,,0,5,7,"Mookie Betts",13611,605141
"Brandon Lowe","PIT","2B",103,101,888.2,,,,0,7,7,"Brandon Lowe",18882,664040
"Geraldo Perdomo","ARI","SS",114,113,1001,,,,0,7,7,"Geraldo Perdomo",22799,672695
"Seiya Suzuki","CHC","RF",77,76,669,,,,3,4,7,"Seiya Suzuki",30116,673548
"Chase Meidroth","CHW","2B",111,110,951.1,,,,0,4,7,"Chase Meidroth",31580,805367
"Jazz Chisholm Jr.","NYY","2B",108,103,910.1,,,,0,8,6,"Jazz Chisholm Jr.",20454,665862
"Nico Hoerner","CHC","2B",108,107,924.2,,,,0,5,6,"Nico Hoerner",21479,663538
"Evan Carter","TEX","CF",97,83,727.2,,,,-2,7,6,"Evan Carter",27790,694497
"Matt Olson","ATL","1B",117,117,1034,,,,0,4,5,"Matt Olson",14344,621566
"Matt Chapman","SFG","3B",83,82,718.2,,,,0,3,5,"Matt Chapman",16505,656305
"Alex Bregman","CHC","3B",107,105,936.2,,,,0,4,5,"Alex Bregman",17678,608324
"Ian Happ","CHC","LF",110,107,945.2,,,,4,1,5,"Ian Happ",17919,664023
"Wilyer Abreu","BOS","RF",112,112,995.1,,,,2,4,5,"Wilyer Abreu",23772,677800
"Jarren Duran","BOS","LF",96,88,806,,,,0,5,5,"Jarren Duran",24617,680776
"Corbin Carroll","ARI","RF",111,111,958.1,,,,-4,9,5,"Corbin Carroll",25878,682998
"Michael Massey","KCR","2B",92,81,706.1,,,,0,5,5,"Michael Massey",27684,686681
"Colson Montgomery","CHW","SS",91,79,697.2,,,,0,4,5,"Colson Montgomery",29712,695657
"TJ Rumfield","COL","1B",98,94,819.2,,,,0,4,5,"TJ Rumfield",29805,681198
"Cam Smith","HOU","RF",116,103,938.1,,,,0,5,5,"Cam Smith",35108,701358
"Xander Bogaerts","SDP","SS",111,110,954,,,,0,3,4,"Xander Bogaerts",12161,593428
"Max Muncy","LAD","3B",107,98,850,,,,0,3,4,"Max Muncy",13301,571970
"Ty France","SDP","1B",86,75,663,,,,0,4,4,"Ty France",17982,664034
