Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez","HOU",116,422,513,137,78,24,0,35,79,86,82,23,89,6,3,0,5,1,0,0.324644549,"Yordan Alvarez",19556,670541
"Luis Arraez","- - -",110,441,487,143,106,25,7,5,55,48,26,4,22,4,10,6,8,10,0,0.324263038,"Luis Arraez",18568,650333
"Otto Lopez","MIA",114,457,494,145,100,29,7,9,70,53,24,0,65,4,9,0,8,23,4,0.317286652,"Otto Lopez",19608,672640
"Nick Gonzales","PIT",113,430,467,133,106,20,1,6,62,53,28,0,80,8,1,0,12,5,2,0.309302325,"Nick Gonzales",27490,693304
"Jake McCarthy","COL",102,364,394,111,67,24,7,13,56,67,18,0,68,4,4,4,5,20,4,0.304945054,"Jake McCarthy",21622,664983
"Freddie Freeman","LAD",114,431,489,131,88,27,1,15,57,55,51,1,78,3,4,0,17,5,0,0.303944315,"Freddie Freeman",5361,518692
"Gabriel Moreno","ARI",89,314,368,95,67,20,0,8,47,50,42,0,55,4,8,0,6,4,1,0.30254777,"Gabriel Moreno",22664,672515
"Jung Hoo Lee","SFG",107,405,433,122,84,26,4,8,56,45,18,0,43,6,4,0,5,8,1,0.301234567,"Jung Hoo Lee",33824,808982
"TJ Rumfield","COL",114,405,459,121,82,24,2,13,50,59,45,0,66,7,2,0,3,0,0,0.298765432,"TJ Rumfield",29805,681198
"Chandler Simpson","TBR",109,403,435,120,103,11,6,0,47,23,20,0,39,0,5,7,4,31,11,0.297766749,"Chandler Simpson",31912,802415
"Shohei Ohtani","LAD",111,411,492,121,71,22,2,26,73,71,69,16,112,5,5,0,7,6,3,0.294403892,"Shohei Ohtani",19755,660271
"Josh Jung","TEX",92,354,396,104,71,23,1,9,46,35,33,0,71,6,3,0,14,1,1,0.29378531,"Josh Jung",26299,673962
"Yandy Díaz","TBR",111,434,490,127,91,20,1,15,61,64,43,4,73,9,4,0,12,3,1,0.292626728,"Yandy Diaz",16578,650490
"Michael Harris II","ATL",111,422,444,123,78,24,1,20,58,66,17,0,84,2,3,0,3,6,1,0.291469194,"Michael Harris II",25931,671739
"CJ Abrams","WSN",115,434,493,125,71,23,3,28,73,89,42,2,113,11,6,0,6,21,5,0.288018433,"CJ Abrams",25768,682928
