pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-07-17,97.5,-0.91,5.95,"Rodriguez, Bradgley",657041,699134,,foul,,,,,1,,R,R,R,KC,SD,S,,,0,0,2026,-1.14,0.8,-0.4924428408925932,2.907340924415169,,,,0,6,Bot,,,,,,,3.7508700063085625,-142.01404624959082,-4.3729485149034595,-16.300650056815986,30.67807525600638,-20.56787857008801,3.146284449,1.587844488,210.0,72.4,49.0,97.6,2361,6.1,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.36,,,,,,,,45,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,208,-0.006,-0.041,69.7,5.8,,,0.041,88.0,-1,-1,0.396,0.396,22,30,23,31,1,2,6.0,5.0,3.0,1.0,1.58,1.14,1.14,38.5,-3.124711032768221,16.856227504903472,25.357571872015615,34.500820934403365,18.45617037442104
CH,2026-07-17,90.7,-0.85,5.89,"Rodriguez, Bradgley",657041,699134,,ball,,,,,13,,R,R,R,KC,SD,B,,,0,1,2026,-1.12,0.43,-1.7356531912394455,0.9340507049531036,,,,0,6,Bot,,,,,,,0.2390649985888517,-132.04432140695783,-7.158425115633445,-13.147622768483435,26.940417761453087,-25.919617618662116,3.146284449,1.587844488,,,,90.9,1683,6.3,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.2,,,,,,,,45,2,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,239,0.004,0.029,,,,,-0.029,,-1,-1,0.39,0.39,22,30,23,31,1,2,6.0,5.0,3.0,1.0,2.33,1.12,1.12,43.8,,,,,
SI,2026-07-17,97.4,-0.88,5.99,"Rodriguez, Bradgley",657041,699134,single,hit_into_play,,,,,1,Lane Thomas singles on a sharp line drive to left fielder Gavin Sheets.,R,R,R,KC,SD,X,7.0,line_drive,1,1,2026,-1.0,0.73,-0.2955191757730716,3.139508120978278,,,,0,6,Bot,67.91,104.92,,,,,3.868803370082627,-141.9867043933486,-3.7176269110428137,-14.415012877960791,28.103902934730694,-21.69547651050043,3.146284449,1.587844488,275.0,102.5,14.0,98.0,2233,6.2,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.28,0.771,0.773,0.9,1.0,1.0,0.0,4.0,45,3,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,202,0.066,0.457,77.5,7.0,,1.028,-0.457,102.5,-1,-1,0.394,0.394,22,30,23,31,1,2,6.0,5.0,3.0,1.0,1.64,1.0,1.0,46.7,13.87411311280216,-8.311275421580472,21.836832826523366,35.505703836082404,28.088573851835932
CH,2026-07-17,90.4,-0.86,5.94,"Rodriguez, Bradgley",686469,699134,,foul,,,,,4,,R,L,R,KC,SD,S,,,0,0,2026,-1.16,0.44,-0.7442971612560834,2.4715718157244697,,,657041.0,0,6,Bot,,,,,,,2.7981058670513157,-131.63288699187532,-3.4481916475026195,-14.051231171898726,27.417263977993677,-26.54373932150483,3.363057743,1.697244095,3.0,51.9,-43.0,90.6,1583,6.3,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.16,,,,,,,,46,1,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,240,-0.009,-0.04,69.5,8.7,,,0.04,88.0,-1,-1,0.46,0.46,22,28,23,29,1,2,6.0,5.0,3.0,1.0,2.34,1.16,-1.16,42.2,26.586832281813496,-27.70056994172933,26.9951844794347,46.487634709987425,44.31447430116672
SI,2026-07-17,97.9,-0.56,6.13,"Rodriguez, Bradgley",686469,699134,,ball,,,,,11,,R,L,R,KC,SD,B,,,0,1,2026,-1.31,0.72,-0.7438443084615729,3.983870207614136,,,657041.0,0,6,Bot,,,,,,,2.572003734170554,-142.67904465612733,-1.879234292965538,-18.468917391795777,31.288937722105125,-22.05010163790721,3.363057743,1.697244095,,,,98.2,2188,6.3,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.22,,,,,,,,46,2,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,206,0.006,0.026,,,,,-0.026,,-1,-1,0.451,0.451,22,28,23,29,1,2,6.0,5.0,3.0,1.0,1.64,1.31,-1.31,47.3,,,,,
CH,2026-07-17,90.8,-0.78,5.87,"Rodriguez, Bradgley",686469,699134,,ball,,,,,14,,R,L,R,KC,SD,B,,,1,1,2026,-1.06,0.73,0.6519837900386976,1.3058272843054366,,,657041.0,0,6,Bot,,,,,,,5.855724925335381,-132.05288395201893,-6.909564664398061,-13.610701461832184,25.362507225111997,-22.44914122410613,3.363057743,1.697244095,,,,91.5,1701,6.5,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.0,,,,,,,,46,3,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,234,0.012,0.059,,,,,-0.059,,-1,-1,0.457,0.457,22,28,23,29,1,2,6.0,5.0,3.0,1.0,2.02,1.06,-1.06,43.7,,,,,
CH,2026-07-17,91.4,-0.82,5.84,"Rodriguez, Bradgley",686469,699134,,ball,,,,,14,,R,L,R,KC,SD,B,,,2,1,2026,-1.07,0.54,0.7032610854421666,1.5358437364808537,,,657041.0,0,6,Bot,,,,,,,6.164313841787016,-132.9062537245721,-5.9668928135338435,-13.97140293380378,26.30658809614658,-24.737011666126836,3.363057743,1.697244095,,,,92.0,1803,6.5,824090,669134,664034,630105,592518,593428,657757,701538,665487,53.97,,,,,,,,46,4,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,235,0.027,0.117,,,,,-0.117,,-1,-1,0.469,0.469,22,28,23,29,1,2,6.0,5.0,3.0,1.0,2.18,1.07,-1.07,43.7,,,,,
CH,2026-07-17,91.8,-0.79,5.91,"Rodriguez, Bradgley",686469,699134,,foul,,,,,9,,R,L,R,KC,SD,S,,,3,1,2026,-1.27,0.68,0.4436377673876206,1.6998344355651034,,,657041.0,0,6,Bot,,,,,,,5.8982580465689285,-133.58687936801553,-6.119938399208562,-16.469166812715113,27.097289408576987,-22.867803246819697,3.363057743,1.697244095,271.0,82.0,31.0,92.3,1788,6.5,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.04,,,,,,,,46,5,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,235,-0.022,-0.094,75.0,9.3,,,0.094,88.0,-1,-1,0.496,0.496,22,28,23,29,1,2,6.0,5.0,3.0,1.0,2.01,1.27,-1.27,41.7,31.171340284355153,-38.40097577194648,39.48945820396665,33.48120604497002,48.098991752132264
SI,2026-07-17,98.5,-0.73,6.04,"Rodriguez, Bradgley",686469,699134,walk,ball,,,,,12,Vinnie Pasquantino walks. Lane Thomas to 2nd.,R,L,R,KC,SD,B,,,3,2,2026,-0.84,0.89,0.6188989553531986,4.97469671451521,,,657041.0,0,6,Bot,,,,,,,5.588902046653776,-143.54077833449443,0.5028971722710393,-12.868065281073784,29.337354488122138,-19.99312004586159,3.363057743,1.697244095,,,,98.9,2418,6.2,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.33,,0.698418,0.7,1.0,0.0,0.0,,46,6,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,204,0.077,0.346,,,,,-0.346,,-1,-1,0.474,0.474,22,28,23,29,1,2,6.0,5.0,3.0,1.0,1.43,0.84,-0.84,41.8,,,,,
CH,2026-07-17,91.3,-0.77,5.87,"Rodriguez, Bradgley",521692,699134,,called_strike,,,,,4,,R,R,R,KC,SD,S,,,0,0,2026,-1.16,0.82,-0.6993837964636389,2.5813819581917774,,657041.0,686469.0,0,6,Bot,,,,,,,2.727237638868206,-132.9866539629569,-4.067915479961378,-14.360690098629057,26.174972876142444,-21.733635062583915,3.312155512,1.671555118,,,,92.0,1689,6.5,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.01,,,,,,,,47,1,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,228,-0.013,-0.057,,,,,0.057,,-1,-1,0.551,0.551,22,36,23,36,1,2,6.0,5.0,3.0,1.0,1.89,1.16,1.16,47.8,,,,,
