pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
SI,2026-09-23,98.5,-1.98,5.3,"Morgan, David",660271,688158,strikeout,swinging_strike,,,,,7.0,Shohei Ohtani strikes out swinging.,R,L,R,LAD,SD,S,2.0,,3,2,2026,-1.33,0.36,-0.4609623417386732,1.984924140114023,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,7.171142523724981,-143.2604841669702,-4.189067519138715,-19.96262968390444,31.619159395288328,-26.507779347907775,3.369201116,1.700344488,,,,98.3,2072.0,6.1,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.39,,0.0,0.0,1.0,0.0,0.0,,37,8,Sinker,1,2,1,2,2,1,1,2,Strategic,Standard,222.0,-0.119,-0.281,79.2,8.1,,,0.281,,-1,-1,0.481,0.481,26,31,27,32,1,2,,,,,1.99,1.33,-1.33,,15.474873992788448,1.0243798384279614,36.05018887561592,43.52877506567769,24.578060917572365,Sinker,True
FF,2026-09-23,98.9,-1.75,5.46,"Morgan, David",660271,688158,,foul,,,,,14.0,,R,L,R,LAD,SD,S,,,3,2,2026,-0.42,1.05,1.0019173033622173,2.413039714042882,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,8.350220177992263,-143.77461632433068,-5.165481527935569,-7.73281572121881,31.720302917921497,-16.564562135705277,3.369201116,1.700344488,,,,98.5,2286.0,6.0,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.47,,,,,,,,37,7,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,211.0,0.0,0.0,81.6,7.5,,,0.0,,-1,-1,0.481,0.481,26,31,27,32,1,2,,,,,1.27,0.42,-0.42,,12.004141199477871,4.887686688245927,42.2562450960184,27.512416506481117,26.53377057233626,Four-seam,False
FF,2026-09-23,98.4,-1.66,5.55,"Morgan, David",660271,688158,,foul,,,,,5.0,,R,L,R,LAD,SD,S,,,3,2,2026,-0.44,1.29,0.0158061038393374,2.324940832961091,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,5.489977052707026,-143.14527032991913,-6.112622881710492,-7.331154491740717,31.34220246977437,-13.14263830380954,3.369201116,1.700344488,4.0,80.4,-29.0,98.0,2407.0,6.0,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.51,,,,,,,,37,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,215.0,0.0,0.0,78.1,7.6,,,0.0,88.0,-1,-1,0.481,0.481,26,31,27,32,1,2,,,,,1.05,0.44,-0.44,,6.738116776020931,14.953189847979614,35.85413861206191,38.62209358587301,18.399977771117527,Four-seam,False
FF,2026-09-23,98.4,-1.75,5.5,"Morgan, David",660271,688158,,called_strike,,,,,1.0,,R,L,R,LAD,SD,S,,,3,1,2026,-0.49,1.34,-0.6114099219757545,3.4660503683926107,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,4.175904785616981,-143.29020228143332,-3.085403259453531,-7.677188468017042,30.808804389171737,-13.15268284914086,3.369201116,1.700344488,,,,98.2,2438.0,6.0,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.5,,,,,,,,37,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,214.0,-0.031,-0.126,,,,,0.126,,-1,-1,0.512,0.512,26,31,27,32,1,2,,,,,1.0,0.49,-0.49,,,,,,,Four-seam,False
CU,2026-09-23,81.1,-1.73,5.45,"Morgan, David",660271,688158,,blocked_ball,,,,,14.0,,R,L,R,LAD,SD,B,,,2,1,2026,0.94,-1.09,1.1031134943317868,0.5450810663193577,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,4.398791669658216,-118.02579125632803,-1.8963386528332455,7.794693779746047,24.608154579699413,-42.12679182533373,3.369201116,1.700344488,,,,80.4,2501.0,6.1,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.45,,,,,,,,37,4,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,45.0,0.037,0.121,,,,,-0.121,,-1,-1,0.475,0.475,26,31,27,32,1,2,,,,,4.58,-0.94,0.94,,,,,,,Curveball,False
FF,2026-09-23,98.7,-1.85,5.47,"Morgan, David",660271,688158,,ball,,,,,13.0,,R,L,R,LAD,SD,B,,,1,1,2026,-0.48,1.24,-1.2347542190037564,1.8651500040575204,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,2.77172344959424,-143.57750792145657,-7.054656043790366,-7.240317463572278,32.6903445468988,-13.549585275042835,3.369201116,1.700344488,,,,98.2,2376.0,6.0,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.52,,,,,,,,37,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,215.0,0.018,0.05,,,,,-0.05,,-1,-1,0.457,0.457,26,31,27,32,1,2,,,,,1.09,0.48,-0.48,,,,,,,Four-seam,False
FF,2026-09-23,98.2,-1.77,5.49,"Morgan, David",660271,688158,,ball,,,,,13.0,,R,L,R,LAD,SD,B,,,0,1,2026,-0.35,1.24,-0.6240674997906946,1.4348675494691825,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,3.881945484085541,-142.9154483298889,-8.17835175884199,-5.710478995241356,30.698733709650245,-13.569389585005856,3.369201116,1.700344488,,,,98.0,2430.0,6.0,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.5,,,,,,,,37,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,218.0,0.01,0.028,,,,,-0.028,,-1,-1,0.447,0.447,26,31,27,32,1,2,,,,,1.11,0.35,-0.35,,,,,,,Four-seam,False
CU,2026-09-23,82.2,-1.67,5.51,"Morgan, David",660271,688158,,foul,,,,,8.0,,R,L,R,LAD,SD,S,,,0,0,2026,0.75,-1.03,0.0711905579406471,1.8896359433913972,663656.0,681624.0,605141.0,2,4,Bot,,,,,,,2.406443845123592,-119.70600826909131,0.5892662678650535,6.694212662488915,24.264565629299945,-42.4123951473629,3.369201116,1.700344488,2.0,91.2,-46.0,81.5,2547.0,5.9,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.62,,,,,,,,37,1,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,48.0,-0.015,-0.04,77.1,8.7,,,0.04,91.2,-1,-1,0.462,0.462,26,31,27,32,1,2,,,,,4.41,-0.75,0.75,,28.84909277566428,-8.427448986034728,41.68041232154371,37.64204532610056,34.06389390463357,Curveball,False
FF,2026-09-23,97.4,-1.92,5.43,"Morgan, David",605141,688158,walk,ball,,,,,12.0,Mookie Betts walks. Kyle Tucker to 3rd. Andy Pages to 2nd.,R,R,R,LAD,SD,B,,,3,0,2026,-0.41,1.1,0.5854287676638938,4.4925366295675975,,663656.0,681624.0,2,4,Bot,,,,,,,7.535849602240766,-141.8377803782211,0.4963285040709499,-7.202300565998752,29.41289000565401,-17.550077291795127,3.096259843,1.562598425,,,,96.9,2323.0,5.8,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.72,,0.698418,0.7,1.0,0.0,0.0,,36,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,215.0,0.016,0.058,,,,,-0.058,,-1,-1,0.446,0.446,26,33,27,34,1,2,,,,,1.28,0.41,0.41,,,,,,,Four-seam,True
FF,2026-09-23,98.5,-1.71,5.56,"Morgan, David",605141,688158,,ball,,,,,12.0,,R,R,R,LAD,SD,B,,,2,0,2026,-0.41,1.09,1.1273949563681425,2.76963090022722,,663656.0,681624.0,2,4,Bot,,,,,,,8.490485879100474,-143.25121943529012,-4.515816640725542,-7.440870099397568,30.105749443715226,-16.275436626335004,3.096259843,1.562598425,,,,98.2,2385.0,5.9,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.58,,,,,,,,36,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,213.0,0.013,0.063,,,,,-0.063,,-1,-1,0.433,0.433,26,33,27,34,1,2,,,,,1.25,0.41,0.41,,,,,,,Four-seam,False
