pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
ST,2026-09-20,82.8,1.61,5.6,"Hart, Kyle",665923,606996,field_out,hit_into_play,,,,,7,Esteury Ruiz pops out to shortstop Xander Bogaerts.,R,R,L,SD,MIA,X,6.0,popup,1,1,2026,-1.16,0.26,-0.5894911735558582,1.75758898835462,,,682663.0,2,7,Top,118.7,140.36,,,,,-2.6365888567014943,-120.62555317043464,-2.5723328996553096,-10.805308604128411,23.727370688130826,-29.389031267121783,3.165592192,1.597588583,139.0,76.2,63.0,82.5,2708.0,6.1,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.45,0.014,0.017,0.0,1.0,0.0,0.0,3.0,53,3,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,286.0,0.044,-0.262,75.5,8.2,,0.022,0.262,88.0,1,-1,0.745,0.255,33,27,34,27,1,0,6.0,1.0,,2.0,3.06,-1.16,1.16,40.0,21.208826481050902,-15.88691573348613,42.29257498865912,30.123157859107145,37.48477534355419,Sweeper,True
SI,2026-09-20,93.8,1.23,5.65,"Hart, Kyle",665923,606996,,ball,,,,,12,,R,R,L,SD,MIA,B,,,0,1,2026,1.27,0.77,1.4646351844307102,3.087551955659988,,,682663.0,2,7,Top,,,,,,,-2.2620164074219553,-136.64109279796733,-2.4820242643768116,16.406716274477507,28.583596647972737,-22.200635632023545,3.165592192,1.597588583,,,,94.6,2192.0,6.6,823247,806956,664034,665487,630105,593428,669392,701538,687957,53.91,,,,,,,,53,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,142.0,-0.005,0.028,,,,,-0.028,,1,-1,0.75,0.25,33,27,34,27,1,0,6.0,1.0,,2.0,1.81,1.27,-1.27,38.7,,,,,,Sinker,False
SI,2026-09-20,93.3,1.17,5.69,"Hart, Kyle",665923,606996,,swinging_strike,,,,,2,,R,R,L,SD,MIA,S,,,0,0,2026,1.16,0.86,-0.1920185741457203,2.80193882572706,,,682663.0,2,7,Top,,,,,,,-6.094217608951626,-135.7778172433777,-3.471392530703665,15.675526721120892,27.714116097280822,-20.911616933472423,3.165592192,1.597588583,,,,94.1,2078.0,6.6,823247,806956,664034,665487,630105,593428,669392,701538,687957,53.91,,,,,,,,53,1,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,142.0,0.007,-0.041,56.4,5.1,1.908488376,,0.041,,1,-1,0.743,0.257,33,27,34,27,1,0,6.0,1.0,,2.0,1.74,1.16,-1.16,42.2,-25.11701180986694,41.48792214375801,41.367626363271626,32.95011666635054,11.589535293748169,Sinker,False
FS,2026-09-20,84.4,1.28,5.79,"Hart, Kyle",682663,606996,walk,ball,,,,,14,Agustín Ramírez walks.,R,R,L,SD,MIA,B,,,3,2,2026,0.74,-0.06,1.508721313033463,2.231787543385399,,,,2,7,Top,,,,,,,-0.979029678493326,-122.97952838454636,-1.6285720419476823,7.722123828867651,22.96882955676855,-32.63279800878424,3.256865158,1.643651575,,,,84.9,932.0,6.4,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.11,,0.698418,0.7,1.0,0.0,0.0,,52,7,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,96.0,-0.021,0.289,,,,,-0.289,,1,-1,0.764,0.236,33,24,34,25,1,0,6.0,1.0,,2.0,3.23,0.74,-0.74,44.9,,,,,,Splitter,True
SI,2026-09-20,93.7,1.08,5.69,"Hart, Kyle",682663,606996,,foul,,,,,14,,R,R,L,SD,MIA,S,,,3,2,2026,1.08,0.68,1.2706582745468644,2.3324044261106263,,,,2,7,Top,,,,,,,-1.9624445610699564,-136.60008121798114,-4.350925888762539,14.05687543367321,26.453296312779138,-22.944212547082017,3.256865158,1.643651575,,,,94.6,2016.0,6.4,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.05,,,,,,,,52,6,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,143.0,0.0,0.0,70.6,6.7,,,0.0,,1,-1,0.764,0.236,33,24,34,25,1,0,6.0,1.0,,2.0,1.88,1.08,-1.08,41.8,-5.2279846053064,23.79882988762858,24.435674407246033,56.33709054439289,12.364762952341774,Sinker,False
ST,2026-09-20,84.4,1.59,5.59,"Hart, Kyle",682663,606996,,ball,,,,,13,,R,R,L,SD,MIA,B,,,2,2,2026,-1.13,-0.24,-0.9008545181977224,0.9935733196747014,,,,2,7,Top,,,,,,,-3.416034293468609,-122.94139352873717,-3.595032003527602,-10.781285156380465,24.409645108571496,-34.14047142040364,3.256865158,1.643651575,,,,84.1,2803.0,6.0,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.48,,,,,,,,52,5,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,292.0,-0.007,0.082,,,,,-0.082,,1,-1,0.771,0.229,33,24,34,25,1,0,6.0,1.0,,2.0,3.44,-1.13,1.13,36.8,,,,,,Sweeper,False
FS,2026-09-20,86.0,1.31,5.84,"Hart, Kyle",682663,606996,,ball,,,,,14,,R,R,L,SD,MIA,B,,,1,2,2026,0.85,-0.6,1.037205870281729,0.5915380569299336,,,,2,7,Top,,,,,,,-2.387283907789177,-125.15861143534823,-4.600956786341191,9.390651281911376,28.26019564992719,-37.64034317868849,3.256865158,1.643651575,,,,85.5,1105.0,6.2,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.25,,,,,,,,52,4,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,97.0,-0.003,0.041,,,,,-0.041,,1,-1,0.774,0.226,33,24,34,25,1,0,6.0,1.0,,2.0,3.71,0.85,-0.85,43.8,,,,,,Splitter,False
FS,2026-09-20,86.4,1.33,5.73,"Hart, Kyle",682663,606996,,ball,,,,,13,,R,R,L,SD,MIA,B,,,0,2,2026,0.8,-0.24,-0.4261243007672881,-0.2910846485315721,,,,2,7,Top,,,,,,,-5.782731521807708,-125.61787691290678,-7.30894144729763,9.645392353595907,26.64485698279373,-33.363300686283246,3.256865158,1.643651575,,,,86.3,1182.0,6.4,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.09,,,,,,,,52,3,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,99.0,-0.002,0.028,,,,,-0.028,,1,-1,0.776,0.224,33,24,34,25,1,0,6.0,1.0,,2.0,3.31,0.8,-0.8,46.5,,,,,,Splitter,False
FS,2026-09-20,85.3,1.41,5.75,"Hart, Kyle",682663,606996,,swinging_strike,,,,,14,,R,R,L,SD,MIA,S,,,0,1,2026,0.91,-0.13,0.6061601635730285,1.2626656621723766,,,,2,7,Top,,,,,,,-3.72224091485997,-124.08071783609589,-3.604063363350112,10.133020015457326,29.538579915285432,-32.8829335165984,3.256865158,1.643651575,,,,84.6,1121.0,6.3,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.24,,,,,,,,52,2,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,102.0,0.005,-0.062,77.7,8.1,1.286282184,,0.062,,1,-1,0.771,0.229,33,24,34,25,1,0,6.0,1.0,,2.0,3.31,0.91,-0.91,42.7,13.00412080893527,-8.043701533690891,27.442111899575853,48.31901966796343,38.21533000875171,Splitter,False
ST,2026-09-20,80.1,1.54,5.72,"Hart, Kyle",682663,606996,,foul,,,,,8,,R,R,L,SD,MIA,S,,,0,0,2026,-1.55,-0.25,-0.0185269038184157,2.0795627742707907,,,,2,7,Top,,,,,,,-0.422325323506354,-116.72670256994456,-0.6759768084680159,-14.13133214583086,21.30789355660021,-34.55023777941033,3.256865158,1.643651575,2.0,67.5,-48.0,79.6,2762.0,5.8,823247,806956,664034,665487,630105,593428,669392,701538,687957,54.68,,,,,,,,52,1,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,298.0,0.003,-0.045,77.6,7.9,,,0.045,88.0,1,-1,0.768,0.232,33,24,34,25,1,0,6.0,1.0,,2.0,3.78,-1.55,1.55,36.6,12.3746952979261,-7.714157947009792,24.1737770926732,41.13943707980277,36.90310229125744,Sweeper,False
