pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-07-17,94.9,1.99,5.71,"Hart, Kyle",521692,606996,,foul,,,,,9,,R,R,L,KC,SD,S,,,0,0,2026,1.28,0.86,0.6342554941437408,1.6974505985599369,,686469.0,,0,10,Bot,,,,,,,-6.408015909483944,-138.03714089029717,-6.571375040436429,17.764084735860763,29.18101015002977,-19.902944657028193,3.312155512,1.671555118,256.0,81.2,39.0,95.1,2123.0,6.3,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.21,,,,,,,,82,1,Sinker,3,6,3,6,6,3,3,6,Infield shade,Standard,142.0,-0.007,-0.035,69.3,7.3,,,0.035,88.0,-3,-3,0.101,0.101,33,36,34,36,1,4,5,5.0,3.0,1.0,1.66,1.28,-1.28,37.0,-7.5334589077089635,9.107452662923722,42.14429832847264,42.93302512750088,17.28301000593588
FS,2026-07-17,86.9,2.15,5.67,"Hart, Kyle",521692,606996,,foul,,,,,14,,R,R,L,KC,SD,S,,,0,1,2026,0.83,-0.08,1.2268388089369326,2.1262158495183576,,686469.0,,0,10,Bot,,,,,,,-3.9124698254109855,-126.58265617641948,-1.9091303622866096,9.684103977958,26.694796202439203,-32.895055663360566,3.312155512,1.671555118,195.0,73.2,56.0,86.9,465.0,6.3,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.22,,,,,,,,82,2,Split-Finger,3,6,3,6,6,3,3,6,Standard,Standard,230.0,-0.013,-0.064,72.7,7.6,,,0.064,88.0,-3,-3,0.094,0.094,33,36,34,36,1,4,5,5.0,3.0,1.0,3.1,0.83,-0.83,36.6,5.637721774508275,8.95031612342147,35.946091587613644,50.5093582591515,22.935832907950548
SI,2026-07-17,95.7,2.06,5.66,"Hart, Kyle",521692,606996,,foul,,,,,12,,R,R,L,KC,SD,S,,,0,2,2026,1.35,0.5,0.9313285247351306,3.361746253091848,,686469.0,,0,10,Bot,,,,,,,-6.047382909584052,-139.32374233339968,-1.48346543396692,18.996538480872264,27.957970936887524,-25.45502290283611,3.312155512,1.671555118,344.0,94.2,35.0,96.4,2086.0,6.4,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.07,,,,,,,,82,3,Sinker,3,6,3,6,6,3,3,6,Standard,Standard,131.0,0.0,0.0,68.4,6.4,,,0.0,94.2,-3,-3,0.081,0.081,33,36,34,36,1,4,5,5.0,3.0,1.0,1.96,1.35,-1.35,37.1,4.609742661242513,27.58743786994589,23.654684199795007,46.42945894034694,11.332732599995344
FS,2026-07-17,88.0,1.99,5.69,"Hart, Kyle",521692,606996,,blocked_ball,,,,,14,,R,R,L,KC,SD,B,,,0,2,2026,0.83,0.03,1.583169532676321,-0.6904336443904411,,686469.0,,0,10,Bot,,,,,,,-2.73086863110583,-127.95642390056987,-9.137791538582055,9.686940642025842,25.21613273925858,-30.241304836507545,3.312155512,1.671555118,,,,88.2,806.0,6.4,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.12,,,,,,,,82,4,Split-Finger,3,6,3,6,6,3,3,6,Strategic,Standard,103.0,0.005,0.019,,,,,-0.019,,-3,-3,0.081,0.081,33,36,34,36,1,4,5,5.0,3.0,1.0,2.91,0.83,-0.83,38.2,,,,,
FS,2026-07-17,86.8,2.05,5.71,"Hart, Kyle",521692,606996,single,hit_into_play,,,,,14,Salvador Perez singles on a line drive to left fielder Jase Bowen. Vinnie Pasquantino to 3rd.,R,R,L,KC,SD,X,7.0,line_drive,1,2,2026,0.69,0.06,0.4264299102564788,1.320694581962011,,686469.0,,0,10,Bot,99.82,122.73,,,,,-5.289148850524412,-126.28873190811828,-4.142078973146377,8.513466467450744,27.504481005017706,-30.858127461358524,3.312155512,1.671555118,204.0,73.2,19.0,86.6,825.0,6.3,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.15,0.943,0.854,0.9,1.0,1.0,0.0,4.0,82,5,Split-Finger,3,6,3,6,6,3,3,6,Strategic,Standard,99.0,0.116,0.568,72.0,8.5,,0.991,-0.568,88.0,-3,-3,0.086,0.086,33,36,34,36,1,4,5,5.0,3.0,1.0,2.98,0.69,-0.69,40.9,18.339007742847187,-13.970777548201298,42.18457998884085,41.087640078085954,39.31578392504364
ST,2026-07-17,85.5,2.48,5.59,"Hart, Kyle",686681,606996,,ball,,,,,13,,R,L,L,KC,SD,B,,,0,0,2026,-1.3,0.07,-0.9875484209670102,1.711419520619803,686469.0,,521692.0,0,10,Bot,,,,,,,-5.390028617021569,-124.3910892655172,-2.712669229793834,-12.25958154223278,26.595527282735468,-31.128826677774978,3.199819554,1.614862205,,,,85.0,2839.0,6.1,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.39,,,,,,,,83,1,Sweeper,3,6,3,6,6,3,3,6,Standard,Standard,215.0,0.013,0.016,,,,,-0.016,,-3,-3,0.202,0.202,33,28,34,28,1,4,5,5.0,3.0,1.0,3.07,-1.3,-1.3,36.1,,,,,
SL,2026-07-17,89.8,2.18,5.75,"Hart, Kyle",686681,606996,,swinging_strike,,,,,11,,R,L,L,KC,SD,S,,,1,0,2026,-0.1,0.34,-0.0215602776699656,3.4422758242021567,686469.0,,521692.0,0,10,Bot,,,,,,,-5.157181752635154,-130.78942781208502,-0.3293906245056101,-0.0938048177483384,26.322721595898443,-28.3932210872169,3.199819554,1.614862205,,,,90.0,2516.0,6.3,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.25,,,,,,,,83,2,Slider,3,6,3,6,6,3,3,6,Standard,Standard,166.0,-0.017,-0.024,70.0,6.3,1.042866,,0.024,,-3,-3,0.215,0.215,33,28,34,28,1,4,5,5.0,3.0,1.0,2.47,-0.1,-0.1,41.6,8.633208917732295,17.356501593444587,28.72216998635528,39.66548113476296,20.601226459980825
ST,2026-07-17,85.2,2.34,5.59,"Hart, Kyle",686681,606996,single,hit_into_play,,,,,7,Michael Massey singles on a ground ball to second baseman Jake Cronenworth. Vinnie Pasquantino scores. Salvador Perez to 2nd.,R,L,L,KC,SD,X,4.0,ground_ball,1,1,2026,-1.1,0.12,-0.7683779126236023,1.6549030709536128,686469.0,,521692.0,0,10,Bot,163.51,155.5,,,,,-4.955108494257006,-123.96854610359884,-2.933219529903426,-10.238554312282666,25.712141188256194,-30.520073748413136,3.199819554,1.614862205,24.0,66.7,-1.0,85.0,2831.0,6.2,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.28,0.107,0.096,0.9,1.0,1.0,0.0,2.0,83,3,Sweeper,3,6,3,6,6,4,4,6,Standard,Standard,302.0,0.136,0.457,63.6,7.8,,0.115,-0.457,88.0,-3,-3,0.198,0.198,33,28,34,28,1,4,5,5.0,3.0,1.0,3.03,-1.1,-1.1,34.1,22.405467828665472,-11.040516719955,31.268608447737517,47.87603633171451,38.08241927086429
SL,2026-07-17,91.7,2.13,5.75,"Hart, Kyle",679845,606996,single,hit_into_play,,,,,13,Nick Loftin singles on a soft bunt ground ball to pitcher Kyle Hart. Salvador Perez to 3rd. Michael Massey to 2nd.,R,R,L,KC,SD,X,1.0,ground_ball,0,0,2026,-0.3,0.45,-0.91838867169187,2.1796559425352564,,521692.0,686681.0,0,10,Bot,118.55,195.02,,,,,-6.935279548886231,-133.4962651598258,-4.004695174774419,-2.32478589378117,25.97468720739692,-26.094270659366902,3.18226706,1.606003937,1.0,36.7,-62.0,92.1,2525.0,6.3,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.2,0.281,0.253,0.9,1.0,1.0,0.0,1.0,84,1,Slider,4,6,4,6,6,4,4,6,Strategic,Standard,185.0,0.171,0.016,9.2,1.3,,0.282,-0.016,88.0,-2,-2,0.334,0.334,33,27,34,28,1,4,5,6.0,3.0,1.0,2.23,-0.3,0.3,36.7,69.13962553434838,109.7297230998221,68.07517166844167,28.886230009598453,23.908307419842547
SI,2026-07-17,95.2,2.16,5.58,"Hart, Kyle",686555,606996,,called_strike,,,,,9,,R,R,L,KC,SD,S,,,0,0,2026,1.36,0.45,0.4814463763687568,1.4183876159173867,521692.0,686681.0,679845.0,0,10,Bot,,,,,,,-7.459542117173261,-138.45308879059135,-6.143153524533103,19.107421771865333,27.04557087209411,-25.324729389406407,3.012885499,1.520521654,,,,96.0,2234.0,6.5,824090,666023,664034,630105,592518,593428,687749,701538,665487,54.02,,,,,,,,85,1,Sinker,4,6,4,6,6,4,4,6,Standard,Standard,128.0,-0.025,-0.04,,,,,0.04,,-2,-2,0.505,0.505,33,28,34,29,1,4,5,5.0,3.0,1.0,2.05,1.36,-1.36,36.0,,,,,
