pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
FF,2026-09-23,102.2,-1.47,6.35,"Miller, Mason",518692,695243,field_out,hit_into_play,,,,,4.0,Freddie Freeman lines out sharply to left fielder Jase Bowen.,R,L,R,LAD,SD,X,7.0,line_drive,0,1,2026,-0.49,1.25,-0.4631872128815062,2.577644006392906,669257.0,,,2,9,Bot,57.82,82.38,,,,,4.029912913380026,-148.62385072627774,-8.261681468642479,-8.193210339786123,34.821696140966246,-11.923139015423084,3.382365486,1.706988189,332.0,101.3,24.0,103.2,2456.0,6.8,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.68,0.546,0.835,0.0,1.0,0.0,0.0,6.0,79,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shade,Standard,203.0,-0.006,-0.265,68.5,6.5,,1.479,0.265,101.3,-4,-4,0.006,0.006,27,36,28,37,1,4,,,,,0.93,0.49,-0.49,,0.954620392541802,15.59044626442129,38.23012002848384,45.269644149626146,17.90028957429749,Four-seam,True
SL,2026-09-23,88.0,-1.3,6.23,"Miller, Mason",518692,695243,,called_strike,,,,,2.0,,R,L,R,LAD,SD,S,,,0,0,2026,0.78,-0.4,-0.1049014686527559,3.072169562578133,,,669257.0,2,9,Bot,,,,,,,1.232743250143746,-128.23304321758698,-0.4959608280664653,8.333839145892451,27.110768294562373,-36.718579866531734,3.382365486,1.706988189,,,,89.0,2316.0,6.9,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.64,,,,,,,,79,1,Slider,1,5,1,5,5,1,1,5,Infield shade,Standard,32.0,0.001,-0.041,,,,,0.041,,-4,-4,0.005,0.005,27,36,28,37,1,4,,,,,3.34,-0.78,0.78,,,,,,,Slider,False
FF,2026-09-23,101.5,-1.07,6.35,"Miller, Mason",669257,695243,walk,ball,,,,,12.0,"Freddy Fermin challenged (pitch result), call on the field was confirmed: Will Smith walks.",R,R,R,LAD,SD,B,,,3,2,2026,-0.51,1.32,1.0910843667310115,2.606443039417063,,,,2,9,Bot,,,,,,,7.255486799977599,-147.59111750030166,-8.258639190253913,-9.060132784496112,33.565247032662164,-11.078491315517192,3.137508202,1.583415354,,,,102.4,2540.0,6.7,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.77,,0.698418,0.7,1.0,0.0,0.0,,78,7,4-Seam Fastball,1,5,1,5,5,1,1,5,Strategic,Standard,203.0,0.003,0.289,,,,,-0.289,,-4,-4,0.002,0.002,27,31,28,31,1,4,,,,,0.89,0.51,0.51,,,,,,,Four-seam,True
FF,2026-09-23,101.2,-1.07,6.42,"Miller, Mason",669257,695243,,ball,,,,,14.0,,R,R,R,LAD,SD,B,,,2,2,2026,-0.6,1.3,0.3581419201378961,1.0682464266741745,,,,2,9,Bot,,,,,,,5.423283767818484,-146.84163740221524,-12.601936213813618,-9.882379562907492,33.14685805479045,-10.629615432706023,3.137508202,1.583415354,,,,102.4,2458.0,7.0,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.51,,,,,,,,78,6,4-Seam Fastball,1,5,1,5,5,1,1,5,Strategic,Standard,197.0,0.001,0.082,,,,,-0.082,,-4,-4,0.001,0.001,27,31,28,31,1,4,,,,,0.93,0.6,0.6,,,,,,,Four-seam,False
SL,2026-09-23,88.5,-1.32,6.16,"Miller, Mason",669257,695243,,foul,,,,,7.0,,R,R,R,LAD,SD,S,,,2,2,2026,0.51,-0.39,-0.3652516653375423,1.6792949335433272,,,,2,9,Bot,,,,,,,1.2325540846149114,-129.0424241271937,-3.8848420221492193,5.460557964365637,24.68570091176011,-35.99815246495537,3.137508202,1.583415354,,,,89.8,2491.0,6.8,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.68,,,,,,,,78,5,Slider,1,5,1,5,5,1,1,5,Standard,Standard,37.0,0.0,0.0,,,,,0.0,,-4,-4,0.001,0.001,27,31,28,31,1,4,,,,,3.27,-0.51,-0.51,,,,,,,Slider,False
FF,2026-09-23,101.3,-1.03,6.48,"Miller, Mason",669257,695243,,ball,,,,,11.0,,R,R,R,LAD,SD,B,,,1,2,2026,-0.64,1.08,-0.2030929756566026,5.248398964466997,,,,2,9,Bot,,,,,,,3.8393805673606862,-147.55328862782017,-0.6708286737630229,-10.177301813937826,32.53250527275428,-16.337232374101543,3.137508202,1.583415354,,,,102.0,2407.0,6.5,823894,666023,664034,630105,592518,593428,687749,701538,665487,54.03,,,,,,,,78,4,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,195.0,0.0,0.041,,,,,-0.041,,-4,-4,0.001,0.001,27,31,28,31,1,4,,,,,1.12,0.64,0.64,,,,,,,Four-seam,False
FF,2026-09-23,100.2,-1.21,6.32,"Miller, Mason",669257,695243,,foul,,,,,3.0,,R,R,R,LAD,SD,S,,,1,1,2026,-0.21,1.48,0.4676964686347737,2.840203757032212,,,,2,9,Bot,,,,,,,5.098810748647263,-145.77313743432137,-7.664101441826669,-4.08708640019308,30.924582721547928,-9.510806918861611,3.137508202,1.583415354,243.0,82.5,24.0,101.2,2569.0,6.6,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.88,,,,,,,,78,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,200.0,0.0,-0.064,69.6,7.0,,,0.064,88.0,-4,-4,0.001,0.001,27,31,28,31,1,4,,,,,0.78,0.21,0.21,,7.311834419642209,12.366752662802472,26.71459163038743,42.03544409361025,19.674314051012328,Four-seam,False
FF,2026-09-23,100.5,-1.24,6.33,"Miller, Mason",669257,695243,,ball,,,,,12.0,,R,R,R,LAD,SD,B,,,0,1,2026,-0.42,1.37,0.7090412394924421,3.9935274730074153,,,,2,9,Bot,,,,,,,6.375834146888683,-146.35949281960856,-4.317554939017032,-7.419931328026175,31.90948978217791,-11.660639567702688,3.137508202,1.583415354,,,,101.4,2413.0,6.5,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.96,,,,,,,,78,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,200.0,0.0,0.03,,,,,-0.03,,-4,-4,0.001,0.001,27,31,28,31,1,4,,,,,0.87,0.42,0.42,,,,,,,Four-seam,False
FF,2026-09-23,101.6,-1.22,6.38,"Miller, Mason",669257,695243,,called_strike,,,,,1.0,,R,R,R,LAD,SD,S,,,0,0,2026,-0.84,1.24,-0.302991106647242,3.1949205490192387,,,,2,9,Bot,,,,,,,4.604957427386666,-147.85802093776002,-6.5062510461343415,-13.375686246898107,33.4275388862346,-12.604312690266095,3.137508202,1.583415354,,,,102.5,2495.0,6.7,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.85,,,,,,,,78,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,203.0,0.0,-0.045,,,,,0.045,,-4,-4,0.001,0.001,27,31,28,31,1,4,,,,,0.96,0.84,0.84,,,,,,,Four-seam,False
SL,2026-09-23,89.5,-1.25,6.26,"Miller, Mason",660271,695243,strikeout,swinging_strike,,,,,14.0,Shohei Ohtani strikes out swinging.,R,L,R,LAD,SD,S,2.0,,0,2,2026,0.7,-0.55,0.7456538010409498,1.3975051551869524,,,,1,9,Bot,,,,,,,3.3742066369969757,-130.2859409612192,-4.581624320537697,7.246998703829729,26.884729880000545,-37.76403266968694,3.369201116,1.700344488,,,,90.2,2595.0,6.6,823894,666023,664034,630105,592518,593428,687749,701538,665487,53.87,,0.0,0.0,1.0,0.0,0.0,,77,3,Slider,1,5,1,5,5,1,1,5,Infield shade,Standard,33.0,-0.004,-0.163,71.1,9.3,,,0.163,,-4,-4,0.005,0.005,27,31,28,32,1,4,,,,,3.39,-0.7,0.7,,31.79679686435873,-34.39640319732166,39.52992104995988,32.32933116324289,47.44282698900915,Slider,True
