pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-07-17,101.3,-1.66,6.24,"Miller, Mason",686555,695243,single,hit_into_play,,,,,3.0,Isaac Collins singles on a pop up to third baseman Manny Machado.,R,L,R,KC,SD,X,5.0,popup,0,0,2026,-0.26,1.18,0.5857846391715971,2.752526891667691,,,,0,9,Bot,76.06,157.81,,,,,6.899898510373546,-147.4212089131715,-7.243974226408516,-5.284680920725296,30.851895098970484,-13.411819086671509,3.012885499,1.520521654,156.0,59.2,53.0,103.0,2496.0,6.9,824090,669134,664034,630105,592518,593428,687749,701538,665487,53.57,0.026,0.025,0.9,1.0,1.0,0.0,1.0,70,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Strategic,Standard,207.0,0.071,0.445,74.9,6.0,,0.03,-0.445,88.0,0,0,0.639,0.639,27,28,28,29,1,3,5.0,5.0,4.0,1.0,1.02,0.26,-0.26,42.6,-6.60184172275247,6.787744324499136,30.187771645257794,31.068115368386167,24.995351139237833
FF,2026-07-17,99.9,-1.75,6.28,"Miller, Mason",695600,695243,,called_strike,,,,,6.0,,R,L,R,KC,SD,S,,,0,0,2026,-0.68,1.13,0.5456879310501337,2.4861012540309426,,,686555.0,0,9,Bot,,,,,,,7.949614818531366,-145.35676084070008,-7.695640996987972,-11.31530092530532,28.6418191726766,-14.590417686868884,3.191043307,1.610433071,,,,101.6,2491.0,6.9,824090,669134,664034,630105,592518,593428,687749,701538,665487,53.64,,,,,,,,71,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,212.0,-0.011,-0.04,,,,,0.04,,0,0,0.71,0.71,27,22,28,23,1,4,5.0,5.0,4.0,1.0,1.13,0.68,-0.68,41.3,,,,,
SL,2026-07-17,88.1,-1.87,6.14,"Miller, Mason",695600,695243,,foul_tip,,,,,9.0,,R,L,R,KC,SD,S,,,0,1,2026,0.64,-0.42,0.3849691306133147,1.873803394855016,,,686555.0,0,9,Bot,,,,,,,4.084725476685913,-128.2876501719486,-3.212392841772334,6.297912497783565,25.00298049198701,-36.35276882218776,3.191043307,1.610433071,,,,89.0,2563.0,6.7,824090,669134,664034,630105,592518,593428,687749,701538,665487,53.81,,,,,,,,71,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,39.0,-0.019,-0.05,77.5,7.9,,,0.05,,0,0,0.699,0.699,27,22,28,23,1,4,5.0,5.0,4.0,1.0,3.33,-0.64,0.64,38.4,21.55239188903429,-21.130534470660496,24.394504824829667,31.738709679337504,45.05251753556017
FF,2026-07-17,101.1,-1.6,6.34,"Miller, Mason",695600,695243,,ball,,,,,12.0,,R,L,R,KC,SD,B,,,0,2,2026,-0.47,1.27,0.1870668124265573,4.066988980700003,,,686555.0,0,9,Bot,,,,,,,6.1239196221307095,-147.21565324387035,-4.013951037736517,-8.210477439622386,32.62448109810042,-12.863226413756651,3.191043307,1.610433071,,,,102.3,2624.0,6.8,824090,669134,664034,630105,592518,593428,687749,701538,665487,53.73,,,,,,,,71,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,206.0,0.008,0.021,,,,,-0.021,,0,0,0.68,0.68,27,22,28,23,1,4,5.0,5.0,4.0,1.0,0.94,0.47,-0.47,41.7,,,,,
SL,2026-07-17,87.3,-1.86,6.09,"Miller, Mason",695600,695243,double,hit_into_play,,,,,13.0,Carter Jensen doubles (20) on a sharp line drive to right fielder Fernando Tatis Jr. Isaac Collins to 3rd.,R,L,R,KC,SD,X,9.0,line_drive,1,2,2026,0.6,-0.42,-0.0605822836838265,1.385333155045271,,,686555.0,0,9,Bot,175.55,51.45,,,,,3.0426168724184763,-127.192460525549,-4.100982655916804,5.9576008052313965,25.276665018935475,-36.13240884772665,3.191043307,1.610433071,383.0,100.3,22.0,88.5,2462.0,6.9,824090,669134,664034,630105,592518,593428,687749,701538,665487,53.62,0.411,0.555,1.25,1.0,1.0,1.0,5.0,71,4,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,42.0,0.234,0.822,73.7,7.4,,0.929,-0.822,100.3,0,0,0.688,0.688,27,22,28,23,1,4,5.0,5.0,4.0,1.0,3.4,-0.6,0.6,39.2,9.495719369679884,-8.195576216504238,33.611691820972915,35.06646082050521,39.65448978531518
,2026-07-17,,,,"Miller, Mason",677951,695243,,automatic_ball,,,,,,,R,R,R,KC,SD,B,,,0,0,2026,,,,,686555.0,695600.0,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,824090,669134,664034,630105,592518,593428,687749,701538,665487,,,,,,,,,72,1,,3,3,3,3,3,3,3,3,,,,0.001,,,,,,,,0,0,0.922,0.922,27,26,28,26,1,4,5.0,5.0,4.0,1.0,,,,,,,,,
,2026-07-17,,,,"Miller, Mason",677951,695243,,automatic_ball,,,,,,,R,R,R,KC,SD,B,,,1,0,2026,,,,,686555.0,695600.0,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,824090,669134,664034,630105,592518,593428,687749,701538,665487,,,,,,,,,72,2,,3,3,3,3,3,3,3,3,,,,0.001,,,,,,,,0,0,0.923,0.923,27,26,28,26,1,4,5.0,5.0,4.0,1.0,,,,,,,,,
,2026-07-17,,,,"Miller, Mason",677951,695243,,automatic_ball,,,,,,,R,R,R,KC,SD,B,,,2,0,2026,,,,,686555.0,695600.0,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,824090,669134,664034,630105,592518,593428,687749,701538,665487,,,,,,,,,72,3,,3,3,3,3,3,3,3,3,,,,0.002,,,,,,,,0,0,0.924,0.924,27,26,28,26,1,4,5.0,5.0,4.0,1.0,,,,,,,,,
,2026-07-17,,,,"Miller, Mason",677951,695243,intent_walk,automatic_ball,,,,,,Mason Miller intentionally walks Bobby Witt Jr.,R,R,R,KC,SD,B,,,3,0,2026,,,,,686555.0,695600.0,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,824090,669134,664034,630105,592518,593428,687749,701538,665487,,,,0.4,,0.0,0.0,,72,4,,3,3,3,3,3,3,3,3,,,,0.002,,,,,,,,0,0,0.926,0.926,27,26,28,26,1,4,5.0,5.0,4.0,1.0,,,,,,,,,
FF,2026-07-17,101.6,-1.98,6.29,"Miller, Mason",668942,695243,,called_strike,,,,,4.0,,R,L,R,KC,SD,S,,,0,0,2026,-0.63,1.33,-0.4758397347243659,2.4210822536384216,686555.0,695600.0,677951.0,0,9,Bot,,,,,,,5.749957068449391,-147.80145874106975,-8.709021504627893,-10.487577130199895,30.226707880884543,-10.783141338962752,3.233169291,1.631692913,,,,103.2,2513.0,6.8,824090,669134,664034,630105,592518,593428,687749,701538,665487,53.66,,,,,,,,73,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Strategic,Standard,201.0,-0.014,-0.04,,,,,0.04,,0,0,0.928,0.928,27,32,28,32,1,0,5.0,5.0,4.0,2.0,0.85,0.63,-0.63,40.0,,,,,
