Opponent,Reliever,name,hand,base,old,model,h2h_pa,h2h_xwoba,w,diff,thin
Braves,Morejon (LHP),Morejon,L,0.29896232876712325,0.29145439632901393,0.24157028659130755,13,0.22076923076923077,0.23917724477106864,-0.05978508399605462,False
Braves,Rodríguez (RHP),Rodríguez,R,0.3223698332124728,0.33135734308130876,0.2826947892304017,7,0.06685714285714285,0.2685745693742072,-0.053795263838265606,False
Braves,Miller (RHP),Miller,R,0.3223698332124728,0.3256970983608488,0.24489021384698695,10,0.1628,0.2374274671336245,-0.08494236607884831,False
Braves,Matsui (LHP),Matsui,L,0.29896232876712325,0.27045040609483084,0.2620582076006888,10,0.202,0.25659837054608076,-0.0423639582210425,False
Braves,Peralta (LHP),Peralta,L,0.29896232876712325,0.28811516441985346,0.28561665773188366,10,0.4351999999999999,0.2992151433926215,0.0002528146254982544,False
Braves,Hart (LHP),Hart,L,0.29896232876712325,0.28003851848563915,0.2723484958242982,9,0.19966666666666666,0.26634724387550296,-0.032615084891620294,False
Braves,Vásquez (RHP),Vásquez,R,0.3223698332124728,0.3226398339411425,0.32084100698397444,5,0.2286,0.3164485780799756,-0.005921255132497194,False
Braves,Morgan (RHP),Morgan,R,0.3223698332124728,0.3255819984822951,0.31969761101647937,6,0.1865,0.31215812360045225,-0.010211709612020559,False
Diamondbacks,Morejon (LHP),Morejon,L,0.3291978021978022,0.37626664042817826,0.31294596013805454,10,0.184,0.3012236001255041,-0.027974202072298116,False
Diamondbacks,Rodríguez (RHP),Rodríguez,R,0.3178701399688958,0.31411561727253384,0.26943091988741197,18,0.15772222222222224,0.2523906100740779,-0.06547952989481787,False
Diamondbacks,Miller (RHP),Miller,R,0.3178701399688958,0.32064660387919414,0.2381148559860121,6,0.07616666666666667,0.22894797734529443,-0.08892216262360136,False
Diamondbacks,Matsui (LHP),Matsui,L,0.3291978021978022,0.26062739558951536,0.2540750178542699,9,0.3442222222222222,0.26151836500391734,-0.06767943719388486,True
Diamondbacks,Peralta (LHP),Peralta,L,0.3291978021978022,0.36926072064124865,0.36338209604668553,6,0.2161666666666667,0.3550491472138543,0.025851345016052074,False
Diamondbacks,Hart (LHP),Hart,L,0.3291978021978022,0.2805777417664842,0.2653259255665669,14,0.24885714285714286,0.2633034434794447,-0.06589435871835753,True
Diamondbacks,Vásquez (RHP),Vásquez,R,0.3178701399688958,0.32846113000207944,0.32725127481024546,0,,0.32725127481024546,0.00938113484134967,False
Diamondbacks,Morgan (RHP),Morgan,R,0.3178701399688958,0.31280789177089285,0.30792819690970386,2,0.40449999999999997,0.30982176167618025,-0.008048378292715541,False
Cubs,Morejon (LHP),Morejon,L,0.31746867749419955,0.3067051110781475,0.2548462318488237,11,0.23127272727272724,0.25251011878272406,-0.06495855871147549,False
Cubs,Rodríguez (RHP),Rodríguez,R,0.3335947432762836,0.3438575059687582,0.293163761854129,6,0.4141666666666666,0.30001298288125383,-0.03358176039502975,False
Cubs,Miller (RHP),Miller,R,0.3335947432762836,0.3330302476960862,0.2507415293533022,10,0.24230000000000002,0.24997411759391108,-0.0836206256823725,False
Cubs,Matsui (LHP),Matsui,L,0.31746867749419955,0.32268234709629984,0.3120021720135374,0,,0.3120021720135374,-0.005466505480662132,True
Cubs,Peralta (LHP),Peralta,L,0.31746867749419955,0.30378206517935574,0.30113024994371707,11,0.4542727272727273,0.3163065314808262,-0.001162146013373333,False
Cubs,Hart (LHP),Hart,L,0.31746867749419955,0.2976112344522144,0.29067254742174725,15,0.44533333333333336,0.310845693410215,-0.00662298408398454,True
Cubs,Vásquez (RHP),Vásquez,R,0.3335947432762836,0.34757049651417277,0.3465803026719282,0,,0.3465803026719282,0.012985559395644608,False
Cubs,Morgan (RHP),Morgan,R,0.3335947432762836,0.3370015100337401,0.33075452323867205,2,0.7605,0.33918090513595295,0.00558616185966937,False
Phillies,Morejon (LHP),Morejon,L,0.3398061224489796,0.3897619568087011,0.32089933726252645,13,0.39330769230769225,0.32922950200223583,-0.01057662044674379,False
Phillies,Rodríguez (RHP),Rodríguez,R,0.3227351694915254,0.3205717501430323,0.2745772891482343,8,0.31325,0.27744193439651327,-0.04529323509501215,False
Phillies,Miller (RHP),Miller,R,0.3227351694915254,0.34549966950848204,0.25777859693760474,1,0.873,0.2638698979580245,-0.05886527153350091,False
Phillies,Matsui (LHP),Matsui,L,0.3398061224489796,0.4524660157400995,0.43788879159949773,13,0.3879230769230769,0.43214052353937854,0.09233440109039892,True
Phillies,Peralta (LHP),Peralta,L,0.3398061224489796,0.38843859911616185,0.3867279874208254,15,0.30993333333333334,0.3767112934094134,0.036905170960433775,False
Phillies,Hart (LHP),Hart,L,0.3398061224489796,0.41815710791311833,0.39699904108780776,1,0.243,0.39547429810674034,0.05566817565776072,True
Phillies,Vásquez (RHP),Vásquez,R,0.3227351694915254,0.3387665034601553,0.3376734437438635,2,0.23950000000000002,0.3357484742586897,0.01301330476716428,False
Phillies,Morgan (RHP),Morgan,R,0.3227351694915254,0.328765829507352,0.3231579036960951,1,0.396,0.3238791125703912,0.0011439430788657834,False
