pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
SI,2026-09-23,89.7,2.33,6.08,"Matsui, Yuki",663656,673513,field_out,hit_into_play,,,,,14.0,"Kyle Tucker grounds out softly, pitcher Yuki Matsui to first baseman Ty France.",R,L,L,LAD,SD,X,1.0,ground_ball,1,2,2026,1.14,0.91,1.0490073005072464,2.176411999611814,,,606192.0,2,5,Bot,126.04,180.34,,,,,-5.522055922538085,-130.53505920303888,-5.367659876172887,14.232137462379496,26.59392714394577,-20.779909555117424,3.350770997,1.691043307,12.0,46.1,-6.0,88.8,2141.0,5.7,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.82,0.15,0.135,0.0,1.0,0.0,0.0,1.0,47,5,Sinker,1,4,1,4,4,1,1,4,Infield shade,Standard,148.0,-0.017,-0.194,57.6,6.1,,0.161,0.194,88.0,-3,-3,0.154,0.154,30,29,31,29,1,2,,,,,1.91,1.14,1.14,,-12.853811279904653,7.652663467741257,47.695407796400985,23.07974948234056,19.32260579269485,Sinker,True
SL,2026-09-23,83.9,1.87,6.11,"Matsui, Yuki",663656,673513,,blocked_ball,,,,,13.0,,R,L,L,LAD,SD,B,,,0,2,2026,-0.32,-0.35,-1.159865534298784,-0.8744119091217071,,,606192.0,2,5,Bot,,,,,,,-6.187869708826871,-121.98881154943211,-8.73388069245263,-2.240922566342117,19.823747017954265,-34.46632129753738,3.350770997,1.691043307,,,,83.5,2801.0,5.7,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.84,,,,,,,,47,4,Slider,1,4,1,4,4,1,1,4,Infield shade,Standard,319.0,0.003,0.021,,,,,-0.021,,-3,-3,0.151,0.151,30,29,31,29,1,2,,,,,3.55,-0.32,-0.32,,,,,,,Slider,False
FS,2026-09-23,83.0,2.3,6.14,"Matsui, Yuki",663656,673513,,foul,,,,,12.0,,R,L,L,LAD,SD,S,,,0,2,2026,0.39,0.27,0.9514673922489532,2.9291454756533093,,,606192.0,2,5,Bot,,,,,,,-3.789449602641781,-120.9556633459094,-1.25111402652741,4.5464730772457616,22.68318198715232,-29.504923427892297,3.350770997,1.691043307,8.0,74.5,-21.0,82.6,920.0,5.8,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.67,,,,,,,,47,3,Split-Finger,1,4,1,4,4,1,1,4,Infield shade,Standard,134.0,0.0,0.0,71.9,6.4,,,0.0,88.0,-3,-3,0.151,0.151,30,29,31,29,1,2,,,,,3.02,0.39,0.39,,10.187048967238509,-7.889620039589826,37.229024748676615,24.377700630809723,28.851972551179053,Splitter,False
FF,2026-09-23,90.8,1.99,6.13,"Matsui, Yuki",663656,673513,,foul,,,,,5.0,,R,L,L,LAD,SD,S,,,0,1,2026,0.38,1.55,0.092479130480424,2.429056439250329,,,606192.0,2,5,Bot,,,,,,,-5.474546655603725,-132.0731936456448,-6.458974688579352,5.653064375901432,27.884278740296356,-12.799577519392113,3.350770997,1.691043307,219.0,72.2,40.0,90.0,2512.0,5.8,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.73,,,,,,,,47,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,157.0,-0.006,-0.061,73.1,7.3,,,0.061,88.0,-3,-3,0.157,0.157,30,29,31,29,1,2,,,,,1.21,0.38,0.38,,8.358978699672486,-8.982370003588777,39.70046131308435,34.90931915655254,30.355001453427125,Four-seam,False
SL,2026-09-23,83.2,1.86,6.2,"Matsui, Yuki",663656,673513,,foul,,,,,8.0,,R,L,L,LAD,SD,S,,,0,0,2026,-0.32,-0.4,-0.2441806608199307,1.804616877078891,,,606192.0,2,5,Bot,,,,,,,-4.0882977495262365,-121.29690527970364,-2.685938143596961,-2.462748557998531,20.370261049878895,-35.94020929570544,3.350770997,1.691043307,3.0,39.6,-36.0,82.8,2736.0,5.6,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.87,,,,,,,,47,1,Slider,1,4,1,4,4,1,1,4,Infield shade,Standard,309.0,-0.004,-0.041,59.0,8.2,,,0.041,88.0,-3,-3,0.161,0.161,30,29,31,29,1,2,,,,,3.65,-0.32,-0.32,,26.121819271082938,-30.96713606641606,35.083243635558084,37.86311522284879,45.33859339610656,Slider,False
FF,2026-09-23,92.6,2.1,6.16,"Matsui, Yuki",606192,673513,single,hit_into_play,,,,,5.0,Teoscar Hernández singles on a ground ball to left fielder Dustin Harris.,R,R,L,LAD,SD,X,7.0,ground_ball,0,2,2026,0.22,1.61,-0.1115369118733766,2.281447018360122,,,,2,5,Bot,94.16,104.79,,,,,-6.025127896796561,-134.66042548772006,-7.36164421225224,4.044548755104208,29.32924047853018,-11.20709258693539,3.199819554,1.614862205,34.0,96.8,-2.0,91.9,2507.0,5.9,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.61,0.459,0.413,0.9,1.0,1.0,0.0,2.0,46,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Strategic,Standard,162.0,0.017,0.435,70.2,7.3,,0.496,-0.435,96.8,-3,-3,0.144,0.144,30,33,31,34,1,2,,,,,1.06,0.22,-0.22,,3.0220629971474615,19.619583525324575,36.870098476394496,35.82796517104645,23.298691709402032,Four-seam,True
FS,2026-09-23,83.7,2.21,6.07,"Matsui, Yuki",606192,673513,,foul,,,,,14.0,,R,R,L,LAD,SD,S,,,0,2,2026,0.72,0.67,1.1682394533646916,1.5845307139546172,,,,2,5,Bot,,,,,,,-3.7814426632191913,-121.86683099334206,-5.002431718353366,7.883252077074939,23.791515258245006,-24.712150829469337,3.199819554,1.614862205,9.0,60.5,-9.0,83.0,1242.0,5.8,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.72,,,,,,,,46,3,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,124.0,0.0,0.0,65.2,8.7,,,0.0,88.0,-3,-3,0.144,0.144,30,33,31,34,1,2,,,,,2.58,0.72,-0.72,,20.90807394642213,-0.7046273246945588,32.52395650643112,52.1037308781428,36.0359619330835,Splitter,False
FS,2026-09-23,83.9,2.18,6.07,"Matsui, Yuki",606192,673513,,swinging_strike,,,,,9.0,,R,R,L,LAD,SD,S,,,0,1,2026,0.79,0.4,0.2903352586659051,1.6748519285937884,,,,2,5,Bot,,,,,,,-5.846232040542836,-122.07588681470152,-4.342600100965413,9.016142655096008,22.195459188071005,-27.561518434003492,3.199819554,1.614862205,,,,83.6,1245.0,5.9,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.6,,,,,,,,46,2,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,131.0,-0.002,-0.062,78.2,8.8,,,0.062,,-3,-3,0.146,0.146,30,33,31,34,1,2,,,,,2.82,0.79,-0.79,,21.23259313528814,-21.918684082980203,33.47260096947698,42.94541980802849,48.43117645339734,Splitter,False
SL,2026-09-23,83.2,1.96,6.12,"Matsui, Yuki",606192,673513,,called_strike,,,,,6.0,,R,R,L,LAD,SD,S,,,0,0,2026,-0.52,-0.23,0.3503886961258396,2.3737527809611194,,,,2,5,Bot,,,,,,,-2.5855775160537244,-121.29472763117464,-1.5350303033144417,-4.725297716757166,21.637835948747036,-34.41749495568738,3.199819554,1.614862205,,,,82.7,2853.0,5.7,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.83,,,,,,,,46,1,Slider,1,4,1,4,4,1,1,4,Standard,Standard,278.0,-0.002,-0.045,,,,,0.045,,-3,-3,0.148,0.148,30,33,31,34,1,2,,,,,3.49,-0.52,0.52,,,,,,,Slider,False
FF,2026-09-23,92.2,1.82,6.2,"Matsui, Yuki",518692,673513,grounded_into_double_play,hit_into_play,,,,,5.0,"Freddie Freeman grounds into a double play, second baseman Jake Cronenworth to shortstop Xander Bogaerts to first baseman Ty France. Will Smith out at 2nd. Freddie Freeman out at 1st.",R,L,L,LAD,SD,X,4.0,ground_ball,1,1,2026,0.58,1.51,-0.2409176425441989,2.831184118072661,,,669257.0,0,5,Bot,154.12,154.45,,,,,-6.343091324447237,-133.9713907712784,-5.697877708624011,8.41269680739304,31.576179606848267,-12.984475646369953,3.382365486,1.706988189,78.0,101.0,4.0,90.4,2463.0,5.5,823894,806956,664034,630105,592518,593428,687957,701538,665487,55.01,0.526,0.489,0.0,1.0,0.0,0.0,4.0,45,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,158.0,-0.087,-0.329,72.6,6.8,,0.596,0.329,101.0,-3,-3,0.235,0.235,30,36,31,37,1,2,,,,,1.2,0.58,0.58,,14.447038161566052,1.177140622466054,37.682885658694346,43.37435267371674,25.451209771822786,Four-seam,True
