pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-07-19,91.6,1.95,5.99,"Matsui, Yuki",695600,673513,,called_strike,,,,,2.0,,R,L,L,KC,SD,S,,,0,0,2026,0.92,1.2,-0.2717112236362401,2.9807034395859944,668942.0,686475.0,571912.0,0,4,Bot,,,,,,,-7.472004530771765,-133.24283044971855,-4.178795235594244,12.516424331176554,25.497757826745055,-17.139828587904592,3.191043307,1.610433071,,,,91.1,2162.0,5.8,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.74,,,,,,,,42,1,Sinker,2,7,2,7,7,2,2,7,Infield shade,Standard,159.0,-0.009,-0.04,,,,,0.04,,-5,-5,0.229,0.229,30,22,31,23,1,2,8.0,1.0,2.0,1.0,1.5,0.92,0.92,54.5,,,,,
SL,2026-07-19,85.0,1.72,6.02,"Matsui, Yuki",695600,673513,,ball,,,,,13.0,,R,L,L,KC,SD,B,,,0,1,2026,-0.27,0.02,-1.9226796033915297,1.581901644232356,668942.0,686475.0,571912.0,0,4,Bot,,,,,,,-7.80448052608453,-123.71334074259046,-3.928074182922269,-1.403449832004294,21.83985123558129,-31.472531607148657,3.191043307,1.610433071,,,,84.6,2869.0,5.7,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.76,,,,,,,,42,2,Slider,2,7,2,7,7,2,2,7,Infield shade,Standard,313.0,0.006,0.009,,,,,-0.009,,-5,-5,0.22,0.22,30,22,31,23,1,2,8.0,1.0,2.0,1.0,3.11,-0.27,-0.27,52.9,,,,,
SL,2026-07-19,85.3,1.78,5.94,"Matsui, Yuki",695600,673513,,swinging_strike,,,,,13.0,,R,L,L,KC,SD,S,,,1,1,2026,-0.45,0.19,-0.9724522764751824,1.484911804673786,668942.0,686475.0,571912.0,0,4,Bot,,,,,,,-5.425817028567302,-124.15223663838334,-4.309295189791406,-3.6000713337676995,23.802111930696736,-29.568025451466035,3.191043307,1.610433071,,,,84.6,2757.0,5.7,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.79,,,,,,,,42,3,Slider,2,7,2,7,7,2,2,7,Infield shade,Standard,269.0,-0.014,-0.053,44.4,6.9,1.779922236,,0.053,,-5,-5,0.226,0.226,30,22,31,23,1,2,8.0,1.0,2.0,1.0,2.93,-0.45,-0.45,50.3,7.450033445183697,5.187713231144481,24.062770289563897,45.493289174889675,25.344970057576475
SL,2026-07-19,83.5,1.78,5.98,"Matsui, Yuki",695600,673513,,ball,,,,,11.0,,R,L,L,KC,SD,B,,,1,2,2026,-0.35,0.07,-1.237958465247704,3.0926432269434265,668942.0,686475.0,571912.0,0,4,Bot,,,,,,,-6.096002954128355,-121.4926457843913,-0.1165179118084492,-2.165055604217704,25.19333792140841,-31.72702420253937,3.191043307,1.610433071,,,,82.5,2915.0,5.7,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.77,,,,,,,,42,4,Slider,2,7,2,7,7,2,2,7,Infield shade,Standard,293.0,0.008,0.044,,,,,-0.044,,-5,-5,0.212,0.212,30,22,31,23,1,2,8.0,1.0,2.0,1.0,3.22,-0.35,-0.35,51.1,,,,,
SL,2026-07-19,83.5,1.73,5.97,"Matsui, Yuki",695600,673513,,foul,,,,,7.0,,R,L,L,KC,SD,S,,,2,2,2026,-0.66,-0.56,-0.7467744652680784,1.7858478232068729,668942.0,686475.0,571912.0,0,4,Bot,,,,,,,-4.260555890253167,-121.4969286482214,-1.791080122614489,-5.604225644460455,24.887277469646847,-37.584511439419835,3.191043307,1.610433071,3.0,69.5,-27.0,82.5,3091.0,5.7,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.77,,,,,,,,42,5,Slider,2,7,2,7,7,2,2,7,Infield shade,Standard,312.0,0.0,0.0,58.3,5.5,,,0.0,88.0,-5,-5,0.22,0.22,30,22,31,23,1,2,8.0,1.0,2.0,1.0,3.84,-0.66,-0.66,50.2,-9.532210111473637,36.34609613699259,24.10108483262703,42.56108890289812,19.3743065287722
SL,2026-07-19,84.0,1.71,6.04,"Matsui, Yuki",695600,673513,strikeout,swinging_strike_blocked,,,,,13.0,Carter Jensen strikes out swinging.,R,L,L,KC,SD,S,2.0,,2,2,2026,-0.27,-0.27,-1.4758737861821196,0.1473596878200971,668942.0,686475.0,571912.0,0,4,Bot,,,,,,,-6.6817420638214555,-122.08321226106132,-6.305970203510397,-1.260424556396508,25.435149456924727,-33.76367196634684,3.191043307,1.610433071,,,,83.1,2977.0,5.9,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.6,,0.0,0.0,1.0,0.0,0.0,,42,6,Slider,2,7,2,7,7,2,2,7,Infield shade,Standard,336.0,-0.049,-0.238,69.9,8.2,11.963738016,,0.238,,-5,-5,0.22,0.22,30,22,31,23,1,2,8.0,1.0,2.0,1.0,3.53,-0.27,-0.27,54.1,18.868852164838064,-25.82645560538005,32.18813590993595,48.94327047079003,52.72172685280854
FS,2026-07-19,86.0,1.96,5.97,"Matsui, Yuki",679845,673513,,called_strike,,,,,9.0,,R,R,L,KC,SD,S,,,0,0,2026,0.73,0.22,0.3401295150492326,1.5090319891598707,668942.0,686475.0,571912.0,1,4,Bot,,,,,,,-5.248113224717303,-125.1929725031094,-4.509589965951155,8.712506636509112,25.41173158574003,-29.170695233442217,3.18226706,1.606003937,,,,85.4,1162.0,5.9,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.61,,,,,,,,43,1,Split-Finger,2,7,2,7,7,2,2,7,Standard,Standard,127.0,-0.009,-0.048,,,,,0.048,,-5,-5,0.171,0.171,30,27,31,28,1,2,8.0,1.0,2.0,1.0,2.86,0.73,-0.73,55.5,,,,,
FS,2026-07-19,85.9,2.02,5.95,"Matsui, Yuki",679845,673513,grounded_into_double_play,hit_into_play,,,,,9.0,"Nick Loftin grounds into a double play, third baseman Manny Machado to second baseman Luis Rengifo to first baseman Ty France. Luke Maile out at 2nd. Nick Loftin out at 1st.",R,R,L,KC,SD,X,5.0,ground_ball,0,1,2026,0.87,-0.21,0.2855713796532853,1.9521761907541717,668942.0,686475.0,571912.0,1,4,Bot,104.35,167.8,,,,,-5.796359418971874,-124.97660741686424,-2.524593098237969,10.331809054614396,25.079968661305298,-34.06888215032254,3.18226706,1.606003937,6.0,66.4,-22.0,85.1,1172.0,5.7,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.76,0.052,0.047,0.0,1.0,0.0,0.0,2.0,43,2,Split-Finger,2,7,2,7,7,2,2,7,Standard,Standard,125.0,-0.098,-0.287,74.6,8.0,,0.056,0.287,88.0,-5,-5,0.162,0.162,30,27,31,28,1,2,8.0,1.0,2.0,1.0,3.3,0.87,-0.87,53.1,13.511919100542206,-21.03751901411344,29.159630893039285,40.82587599856395,44.26730072420265
SL,2026-07-19,86.7,1.71,6.0,"Matsui, Yuki",695506,673513,field_out,hit_into_play,,,,,13.0,"Jac Caglianone grounds out, second baseman Luis Rengifo to first baseman Ty France.",R,L,L,KC,SD,X,4.0,ground_ball,0,0,2026,-0.46,0.41,-0.2913383155501768,0.8804676754880951,,,,0,5,Bot,144.91,159.18,,,,,-3.7328444326423296,-126.25994518274952,-6.617447968351692,-4.225171304303028,23.77997533473176,-26.74044720702567,3.401673228,1.716732283,5.0,70.5,-13.0,86.1,2693.0,5.7,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.81,0.041,0.037,0.0,1.0,0.0,0.0,2.0,47,1,Slider,2,7,2,7,7,2,2,7,Infield shade,Strategic,200.0,-0.014,-0.259,72.8,9.1,,0.046,0.259,88.0,-5,-5,0.075,0.075,30,23,31,23,1,2,8.0,1.0,2.0,1.0,2.6,-0.46,-0.46,49.9,21.185554404186412,-8.35565784683583,39.58119367383667,41.18813707488412,39.133897310364134
SL,2026-07-19,84.1,1.79,5.97,"Matsui, Yuki",657041,673513,,ball,,,,,14.0,,R,R,L,KC,SD,B,,,0,0,2026,-0.35,0.05,0.2413592101191254,0.7012383362885526,,,,1,5,Bot,,,,,,,-2.815781716067715,-122.3774909226966,-5.603592527340325,-2.963880811431996,23.582786643007445,-30.83560828353007,3.146284449,1.587844488,,,,83.2,2734.0,5.6,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.88,,,,,,,,48,1,Slider,2,7,2,7,7,2,2,7,Infield shade,Standard,262.0,0.002,0.041,,,,,-0.041,,-5,-5,0.061,0.061,30,30,31,31,1,2,8.0,1.0,2.0,1.0,3.17,-0.35,0.35,49.4,,,,,
