Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Tyler Kinley","- - -",5.086957886167561,5.086957886167561,1,1.5652178111284802,0.14130435,0.14130435,0,0.15584415584415584,1.0869568132836667,0.13333333333333333,0.79439252,84.20000591330918,148.63060708951573,144.42866841115892,3.52174007503908,6.183019247003446,-2.661279171964366,6.019881580744975,5.741397665552917,"Tyler Kinley",18297,641755
"Khristian Curtis","PIT",5.571428824444218,5.142857376410047,1.08333333,0.42857144803417063,0.14942529,0.13793103,0.01149425,0.20270270270270271,1.2857143441025118,0.23333333333333334,0.63909774,109.10121963058931,102.90324479593744,144.58322750407444,4.714285928375877,4.33415719159877,0.3801287367771069,6.0844229623356805,5.661441465949803,"Khristian Curtis",33865,694753
"John Schreiber","- - -",4.3043485901870895,4.695653007476825,0.91666667,0.3913044172897354,0.11956522,0.13043478,-0.01086957,0.1875,1.1739132518692061,0.20588235294117646,0.703125,74.011853260583,101.75760872139674,129.1889816746732,3.1304353383178833,4.269975149147038,-1.139539810829155,5.343611028679339,5.646158888655769,"John Schreiber",20020,670167
"Jimmy Herget","COL",5.884616774126951,5.53846284623713,1.0625,2.4230774952287444,0.14655172,0.13793103,0.00862069,0.2727272727272727,1.6538465443624764,0.26666666666666666,0.61403509,161.3785686730085,165.37643998952294,135.95405900757763,7.615386413576054,7.24990903195568,0.3654773816203747,5.721574992234544,5.530621762904698,"Jimmy Herget",17556,623474
"Zack Littell","- - -",3.80281731004498,2.281690386026988,1.66666667,1.90140865502249,0.09433962,0.05660377,0.03773585,0.32,1.605633975352325,0.3176470588235294,0.67741935,134.81402907888707,138.96022204333815,132.10810033211823,5.7042259650674705,5.7580340143093185,-0.05380804924184801,5.559856247369401,5.398730058405385,"Zack Littell",15823,641793
"Juan Mejia","COL",7.0129880417176915,6.311689237545923,1.11111111,0.7012988041717692,0.16393443,0.14754098,0.01639344,0.2912621359223301,1.8701301444580511,0.345679012345679,0.77922078,89.16784342885714,108.80150913594828,125.58879231901939,4.207792825030615,4.771386818354836,-0.5635939933242211,5.285725816380911,5.347670539616674,"Juan Mejia",23237,675848
"Erick Fedde","CHW",4.87500039348382,3.750000302679861,1.3,1.1250000908039584,0.12621359,0.09708738,0.02912621,0.26881720430107525,1.4583334510421682,0.2857142857142857,0.74675325,90.8219158795755,116.42905011611131,135.0719812281235,3.750000302679861,4.88772870855821,-1.1377284058783492,5.587168717163234,5.287900869544956,"Erick Fedde",17425,607200
"Clayton Beeter","WSN",6.9677428531846415,5.661291068212521,1.23076923,1.7419357132961604,0.17582418,0.14285714,0.03296703,0.23376623376623376,1.5000001975605826,0.24561403508771928,0.68181818,132.70008117398578,142.52097438015275,128.39723512120904,5.661291068212521,6.096062292398997,-0.43477122418647607,5.403818048596952,5.180594302778959,"Clayton Beeter",27494,690925
"Tyler Schweitzer","CHW",4.609756472846883,2.9634148754015683,1.55555556,0.9878049584671894,0.125,0.08035714,0.04464286,0.2524271844660194,1.2804879091241343,0.26744186046511625,0.84415584,71.77146528166047,106.8763547599253,125.98030908653482,2.9634148754015683,4.486305912898321,-1.5228910374967528,5.210771161606717,5.123762874540275,"Tyler Schweitzer",31920,805326
"Josh Ekness","MIA",7.14705996370045,5.558824416211461,1.28571429,0.7941177737444944,0.17475728,0.13592233,0.03883495,0.2413793103448276,1.5441178933920725,0.2835820895522388,0.64327485,93.712244575984,113.70531653271006,133.5626519181392,3.9705888687224724,4.772532752960654,-0.8019438842381814,5.62101869779662,5.098641100155543,"Josh Ekness",33785,694795
"Taylor Rogers","MIN",8.39189381156245,6.202704121589637,1.35294118,0.7297298966576043,0.19827586,0.14655172,0.05172414,0.22916666666666666,1.5810814427581428,0.28169014084507044,0.71428571,70.21115399937774,115.26849004494781,137.33233988581893,2.9189195866304174,4.717683889850286,-1.7987643032198686,5.680748144598342,4.955302875887362,"Taylor Rogers",13449,573124
"Yoendrys Gómez","MIN",10.477614004924673,7.656717926675722,1.36842105,0.40298515403556434,0.24528302,0.17924528,0.06603774,0.26436781609195403,1.8805973854993003,0.36666666666666664,0.61576355,145.39995982957063,95.35989398451468,111.29150917503127,6.0447773105334655,3.902032205348961,2.1427451051845043,4.602651082632706,4.9064493611310755,"Yoendrys Gomez",22872,672782
"Camilo Doval","- - -",10.41428677397734,7.714286499242474,1.35,0.38571432496212366,0.24770642,0.18348624,0.06422018,0.22988505747126436,1.7142858887205497,0.3220338983050847,0.7635468,71.41171141794506,98.80650127376917,113.94359543691019,3.0857145996969892,4.167490577728175,-1.0817759780311862,4.773465225483433,4.898974629072181,"Camilo Doval",21992,666808
