Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Mason Montgomery","PIT",28,53,89.40769298260028,105,109.1,9.596153846153847,1,0.01886792,23,0.43396226,0.6428571887010247,1.770384318738973,"Mason Montgomery",29770,682254
"Mason Miller","SDP",28.1,45,89.20681806044145,106.6,111.8,12.431818181818182,5,0.11111111,17,0.37777778,1.5882353653957306,1.8498362320917037,"Mason Miller",31757,695243
"Drew Sommers","DET",29,64,85.55737629874808,102.5,111.1,1.4918032786885247,2,0.03125,23,0.359375,3.103448913724035,1.938545713895476,"Drew Sommers",32026,805427
"Trent Harris","SFG",21.1,51,83.74117682961857,100,107.9,10.098039215686274,0,0,12,0.23529412,2.109375231812035,1.983816350781129,"Trent Harris",33214,805345
"Adrian Morejon","SDP",33.2,76,86.48421146995143,106.7,112.3,3.6052631578947367,2,0.02631579,25,0.32894737,1.8712873313575837,2.0122467703952807,"Adrian Morejon",20039,670970
"Yuki Matsui","SDP",29.2,68,85.41212110808401,101.8,111.7,21.37878787878788,2,0.02941176,17,0.25,0.9101125070534575,2.012661495300829,"Yuki Matsui",33826,673513
"Jhoan Duran","PHI",24.2,66,88.68412768651568,103.7,109,2.6507936507936507,2,0.03030303,21,0.31818182,2.55405412605638,2.0664151883265713,"Jhoan Duran",21029,661395
"Cade Smith","CLE",28,53,89.90384644728441,101.8,105.2,11.26923076923077,3,0.05660377,21,0.39622642,0.642857209228138,2.092273964802659,"Cade Smith",27867,671922
"Tyler Wells","- - -",27.1,65,88.70937478542328,102,109,28.671875,5,0.07692308,20,0.30769231,1.317073232002874,2.0964045464990426,"Tyler Wells",20000,669330
"Kevin Kelly","TBR",28.1,74,88.25068528684851,102.4,107.9,4.684931506849315,2,0.02702703,29,0.39189189,2.5411770497227706,2.0994354169900653,"Kevin Kelly",25679,687330
"Brandyn Garcia","ARI",26.2,59,85.04067825058759,102.7,114.6,0.5932203389830508,5,0.08474576,16,0.27118644,2.0250004375354402,2.1167772995849874,"Brandyn Garcia",33568,805299
"Mason Fluharty","TOR",22.2,58,85.97678620474679,100.8,109.2,21.982142857142858,2,0.03448276,17,0.29310345,1.58823585028177,2.2680767217773052,"Mason Fluharty",31553,689254
"Ryan Watson","- - -",22.1,64,87.69062495231628,101.2,114.4,8.90625,3,0.046875,19,0.296875,2.820895957791493,2.2768717655339126,"Ryan Watson",27853,670245
"Josh Walker","BAL",23.2,67,88.1343749165535,101.9,106.9,14.71875,2,0.02985075,22,0.32835821,0.7605636612193777,2.297804276365603,"Josh Walker",23617,677020
"Spencer Miles","TOR",22.2,64,87.29843711853027,103.9,108.7,7.015625,1,0.015625,24,0.375,0.794117740332885,2.3116990728377944,"Spencer Miles",31621,693686
"Bradgley Rodriguez","SDP",30.2,79,86.50384599734575,104.5,109.7,10.58974358974359,5,0.06329114,21,0.26582278,2.3478264527814945,2.315464975259459,"Bradgley Rodriguez",29107,699134
"Seranthony Domínguez","- - -",28.1,79,82.95584423511059,102.9,107.8,14.974358974358974,4,0.05063291,21,0.26582278,2.858823973452,2.3347237015375986,"Seranthony Dominguez",19249,622554
"Yohan Ramírez","PIT",29.1,66,84.46060619932233,104.1,113.8,6.106060606060606,1,0.01515152,19,0.28787879,2.454545822795074,2.3552199190012124,"Yohan Ramirez",19444,670990
"Aroldis Chapman","BOS",23,46,89.63023287750954,101.9,109.9,9.44186046511628,2,0.04347826,17,0.36956522,1.565217391304348,2.369861927026216,"Aroldis Chapman",10233,547973
"Calvin Faucher","MIA",27.2,68,85.32205867767334,103.8,110.5,3.2794117647058822,2,0.02941176,21,0.30882353,1.9518074924255053,2.379465343747052,"Calvin Faucher",20116,676534
"Josh Hader","HOU",29.1,70,88.3999997820173,102,108.2,22.414285714285715,5,0.07142857,27,0.38571429,0.9204545872255193,2.3981868791091903,"Josh Hader",14212,623352
"Bryan Hudson","CHW",21.2,67,87.45970074098501,103.8,108.9,9.537313432835822,3,0.04477612,28,0.41791045,4.153846864234888,2.438904585782406,"Bryan Hudson",19924,663542
"Hagen Smith","CHW",25.1,47,87.22608773604684,105.9,107.4,12.02127659574468,1,0.0212766,16,0.34042553,1.4210528132410494,2.4549419485773094,"Hagen Smith",35205,696146
"Juan Morillo","ARI",26,65,85.66461527897762,100.6,110,15.646153846153846,1,0.01538462,20,0.30769231,1.038461700346368,2.4862490285580514,"Juan Morillo",21924,666661
"Brock Burke","CIN",28.2,67,87.28939345388702,103.4,110.8,15.196969696969697,4,0.05970149,22,0.32835821,1.2558141145079713,2.512841214552431,"Brock Burke",17968,656271
"Alec Gamboa","BOS",23.1,68,91.46666648171164,106.3,110.3,3.0606060606060606,0,0,29,0.42647059,0.7714286154386973,2.5178724333087112,"Alec Gamboa",26227,687941
"Andrés Muñoz","SEA",23,45,91.96136379241943,107.6,109.6,-0.7333333333333333,4,0.08888889,21,0.46666667,4.304348400556374,2.5477855025503278,"Andres Munoz",20373,662253
"Gregory Soto","PIT",25.1,64,87.49032346663937,103.6,115.7,15,1,0.015625,20,0.3125,3.1973691118980634,2.5485795665184923,"Gregory Soto",19677,642397
"Brendon Little","TOR",22.2,42,89.14047513689313,102.9,110,-0.5238095238095238,2,0.04761905,16,0.38095238,2.3823534465270306,2.553378833131855,"Brendon Little",21574,663893
"Rico Garcia","BAL",25.2,72,87.86029406154857,102.8,111.7,19.926470588235293,2,0.02777778,23,0.31944444,3.857144045476271,2.628608693580082,"Rico Garcia",20023,670329
"Brennan Bernardino","COL",23,66,89.6887097512522,102.1,109,14.333333333333334,4,0.06060606,20,0.3030303,2.7391309281266243,2.640087079451575,"Brennan Bernardino",16835,657514
"Matt Festa","CLE",27.1,73,87.27324064012984,103.9,111.8,18.239436619718308,3,0.04109589,26,0.35616438,2.9634154311503647,2.6623900022236313,"Matt Festa",19330,670036
"José Urquidy","- - -",24.1,73,87.4219180590486,103.1,108.9,18.465753424657535,5,0.06849315,24,0.32876712,2.2191781981574383,2.7133519248973057,"Jose Urquidy",18413,664353
"Erik Miller","- - -",22,47,84.45476223173596,99.1,107.1,10.19047619047619,1,0.0212766,9,0.19148936,2.8636364994093473,2.7195764022384643,"Erik Miller",26252,669062
"Didier Fuentes","ATL",35,78,85.43421122902318,103.9,109,13.157894736842104,6,0.07692308,23,0.29487179,1.8000001532690997,2.723319434659839,"Didier Fuentes",30661,800311
"Emilio Pagán","CIN",25.1,64,88.63124966621399,105.1,110.8,26.203125,7,0.109375,23,0.359375,1.7763158138531814,2.7250335116717523,"Emilio Pagan",14771,641941
"Tyron Guerrero","BOS",21.1,62,86.08135663048695,101.7,107.3,7.661016949152542,1,0.01612903,23,0.37096774,3.7968754013491406,2.729285017240953,"Tyron Guerrero",11691,594027
"Trevor Megill","MIL",24.2,66,89.77846081073467,102.4,111.5,17.323076923076922,6,0.09090909,26,0.39393939,2.1891893355449428,2.7303824838826856,"Trevor Megill",17722,656730
"Kody Funderburk","MIN",25.2,69,85.23077028714694,101.9,107.8,7.184615384615385,3,0.04347826,20,0.28985507,3.506494713012971,2.7471796589868687,"Kody Funderburk",24993,681892
"Aaron Civale","CHC",34.1,94,83.23763414608536,101.3,107.7,14.698924731182796,4,0.04255319,24,0.25531915,1.5728156850681743,2.753392499631529,"Aaron Civale",19479,650644
"DL Hall","MIL",28.2,67,90.94193538542717,102.5,106.4,9.640625,4,0.05970149,24,0.35820896,1.8837211012614774,2.76578030312807,"DL Hall",22207,669084
"Chase Shugart","PHI",22.1,57,86.34210526315789,100.6,107.6,18.842105263157894,5,0.0877193,15,0.26315789,2.8208959464986068,2.774429185956921,"Chase Shugart",21544,663767
"Brent Headrick","NYY",31,77,88.72602677018675,105.5,109.1,13.383561643835616,3,0.03896104,28,0.36363636,2.9032266688895234,2.82425741610803,"Brent Headrick",27702,687396
"David Bednar","NYY",28.1,73,88.40694395701091,103.5,108.5,14.73611111111111,5,0.06849315,23,0.31506849,2.2235296659156405,2.8369348922688,"David Bednar",19569,670280
"Ryan Zeferjahn","- - -",24.2,65,89.92187535762787,104.3,107.9,9.84375,4,0.06153846,24,0.36923077,4.013514451013378,2.8931700461879917,"Ryan Zeferjahn",25420,666171
"Jonathan Loáisiga","ARI",27.2,83,83.37317136438881,101,107.4,1.951219512195122,3,0.03614458,26,0.31325301,2.2771085719140713,2.905952592070603,"Jonathan Loaisiga",19753,642528
"Brady Basso","ATH",21,64,83.92222280350943,101.8,108.8,16.126984126984127,1,0.015625,15,0.234375,2.142857240170853,2.9110414490971532,"Brady Basso",25582,669620
"Daniel Duarte","NYM",24.2,63,83.7354840924663,103.5,113.4,23.612903225806452,4,0.06349206,16,0.25396825,2.5540544346378224,2.9140436015778755,"Daniel Duarte",17480,650960
"Alex Vesia","LAD",24.1,60,88.38333409627279,102.4,108.3,21.8,5,0.08333333,20,0.33333333,3.328767737543345,2.916987898166857,"Alex Vesia",25007,681911
