Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jhoan Duran","PHI",24.2,104.81882352941177,,,139.1112871287129,139.84697674418604,,108.3777777777778,135.24064516129033,,128.91156369731803,98.72737582101806,131.50542316639303,"Jhoan Duran",21029,661395
"Jonathan Loáisiga","ARI",27.2,98.28984615384614,116.00666666666663,91.93756097560977,,,113.22666666666667,98.1819512195122,,,106.060324933687,119.59515915119363,128.20801392572943,"Jonathan Loaisiga",19753,642528
"Adrian Morejon","SDP",33.2,132.1825,125.18217898832685,,,139.38114285714286,,131.03,,,128.75211343670398,100.84191614608015,127.44601403619386,"Adrian Morejon",20039,670970
"Josh Hader","HOU",29.1,,121.68603773584908,,,108.92560000000002,,,,,117.14221248630885,109.26808762322015,125.6608630887185,"Josh Hader",14212,623352
"Evan Phillips","LAD",20,117.25812080536917,104.90363636363637,98.28799999999998,,125.67000000000002,,,,,117.88018461538464,109.83969230769232,123.56793846153845,"Evan Phillips",17734,623465
"Mason Montgomery","PIT",28,115.82551181102363,104.61035714285713,,,123.25512195121951,130.12869565217392,,,,112.42990933940773,113.40045876993166,123.2909416856492,"Mason Montgomery",29770,682254
"Tyler Rogers","TOR",26.1,,139.41243055555557,,,125.535,,,,,135.69283613445378,97.85117947178873,122.39914915966384,"Tyler Rogers",15541,643511
"Ryan Zeferjahn","- - -",24.2,120.1424589961771,100.94379310344827,,,132.02855855855856,138.69333333333336,,,,123.68380090497739,99.29433484162897,121.98703167420814,"Ryan Zeferjahn",25420,666171
"Aaron Ashby","MIL",29.2,90.47,115.78359712230217,,,122.5825641025641,109.81066666666668,116.25915492957749,,,114.61786004357302,102.79163111111112,120.48308305010896,"Aaron Ashby",23550,676879
"Tyron Guerrero","BOS",21.1,,117.95402214022141,,110.66461538461539,94.87333333333332,,,,,116.52033073773545,106.48974390431523,120.16072360769911,"Tyron Guerrero",11691,594027
"Louis Varland","TOR",28,120.80795580110497,103.47999999999999,,,96.39666666666666,,103.1350588235294,127.46985074626865,,117.3736090399317,104.24882828940231,119.90357684743701,"Louis Varland",27691,686973
"José A. Ferrer","SEA",24.2,98.64399999999999,126.82870503597127,,,124.66222222222223,,124.27815789473685,,,125.87114918180679,97.82718337120737,119.51145413435954,"Jose A. Ferrer",24017,678606
"Tanner Scott","LAD",23,118.21925925925927,,,,121.51005291005292,,,,,119.8881164021164,104.69698412698415,119.1382222222222,"Tanner Scott",17586,656945
"Didier Fuentes","ATL",35,116.96906166219841,,,92.18133333333333,126.51471074380164,93.54,,,,116.85925138632163,103.53682532347506,117.47460027726434,"Didier Fuentes",30661,800311
"Juan Morillo","ARI",26,111.8047668393782,111.82207547169813,,,136.69181818181818,,96.6325,,,109.39084491978612,109.71135401069519,116.74817112299466,"Juan Morillo",21924,666661
"Andrés Muñoz","SEA",23,110.2316494845361,122.85374999999999,,,136.61679245283017,,126.8831111111111,,,120.61418282548475,95.92731301939057,116.72720221606647,"Andres Munoz",20373,662253
"Aroldis Chapman","BOS",23,101.04176870748297,115.69084112149537,,131.8574193548387,117.13391304347826,,,,,112.98628935831012,104.73326074133121,116.51567668393778,"Aroldis Chapman",10233,547973
"Kevin Kelly","TBR",28.1,118.67350000000002,118.37396039603962,,,89.17666666666668,,108.76449612403103,,,114.53373393801967,102.40438397581255,115.07806500377932,"Kevin Kelly",25679,687330
"Steven Okert","HOU",21,92.46577319587627,88.7609090909091,,,122.25764705882352,,74.16,,,111.42496982855852,108.84019005188361,114.87988100609073,"Steven Okert",13580,595345
"José Urquidy","- - -",24.1,90.4325806451613,92.82272727272728,,118.28,104.61282051282053,86.60885245901642,101.90714285714287,,,95.82949982388165,120.36784695315252,114.2304182810849,"Jose Urquidy",18413,664353
"Mason Miller","SDP",28.1,102.3346153846154,,,,130.67693779904306,,118.15599999999999,,,114.97398986354773,102.16757270955166,113.99702144249513,"Mason Miller",31757,695243
"Brandyn Garcia","ARI",26.2,,100.21224242424245,80.9980487804878,,150.64176991150444,,,,,111.41212623320425,102.8283397135295,113.96808693070723,"Brandyn Garcia",33568,805299
"Jonathan Bowlan","PHI",25.2,111.4557142857143,108.8627027027027,,,115.92810344827588,,95.36385964912282,,,110.39399610440199,103.6533125568108,113.86622828204126,"Jonathan Bowlan",24607,680742
"Cade Smith","CLE",28,117.19344155844156,,,106.51775862068966,112.82206896551725,,,,,114.06956291390728,101.17940838852097,113.78996026490066,"Cade Smith",27867,671922
"Gabe Speier","SEA",20.2,119.22080000000001,116.1242105263158,,,116.48333333333335,,,,,117.57256035767513,102.12459791356181,113.75223427719821,"Gabe Speier",17170,642100
"Drew Sommers","DET",29,121.82452380952381,116.40982658959538,,,108.22911392405064,,86.32428571428571,,,115.7975106146952,102.76712690509851,113.35023685712532,"Drew Sommers",32026,805427
"Spencer Miles","TOR",22.2,88.85526315789475,92.33167701863354,,,106.93849056603773,113.52176470588233,,,,98.85839329932789,117.3674232766195,113.2544421393767,"Spencer Miles",31621,693686
"Bradgley Rodriguez","SDP",30.2,111.00711409395971,102.01428571428572,,,116.6675,,96.94407407407408,,,102.99683938779272,110.57564078923103,113.05688364373964,"Bradgley Rodriguez",29107,699134
"A.J. Minter","- - -",25.2,106.68395833333334,113.98333333333335,109.66304147465436,,,,91.57508771929825,,,106.57352961082911,106.91693110949964,112.55740198211262,"A.J. Minter",18655,621345
"Trevor Megill","MIL",24.2,101.3263725490196,,,,,,,140.88240740740744,,115.0711217948718,101.02905448717948,111.7890705128205,"Trevor Megill",17722,656730
"Ryan Watson","- - -",22.1,95.83446808510637,104.09027027027028,78.72531645569622,,87.61560439560441,99.89929411764706,,,,91.56141592920353,119.21864306784661,111.76513274336283,"Ryan Watson",27853,670245
"Michael Petersen","MIA",23.1,115.55772549019608,100.42,,,124.41086206896554,,87.94695652173912,,,115.09745276764997,99.7590271793172,111.51543475859022,"Michael Petersen",20827,656848
"Jacob Latz","TEX",26.1,120.04399999999998,,,,109.45925925925928,130.71739130434784,104.2210416666667,,,115.71575966022328,99.39142624949206,111.00715233838355,"Jacob Latz",21306,656641
"Grant Taylor","CHW",33.2,98.41127071823206,99.62647058823528,,,113.8944680851064,88.84014705882355,,,,98.9525925925926,110.64136452241715,110.05914230019495,"Grant Taylor",33927,691799
"Will Dion","- - -",33.1,112.98084745762712,79.1875,101.29285714285716,,,83.99941747572814,124.49263157894735,,,109.63303759167138,104.67902866813682,109.9658269654854,"Will Dion",30061,702021
"Michael Rucker","SEA",27.2,103.64934210526317,102.25138461538464,103.08660714285715,,124.15599999999999,103.79553956834533,92.89,,,103.61832370782028,107.85541244415388,109.7966779267008,"Michael Rucker",19454,621074
