Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Tyler Zuber","MIA",-1.1053279475308955,-3.7022820808924735,2.5969541512895375,-10.952000141143799,-1.1322634853422642,1.2398892488617164,1.1180637364878374,1.3254466744760671,1.090074071039756,27,-0.5135234436020255,-0.377949684780727,7,10,"Tyler Zuber",20379,676604
"Eduard Bazardo","SEA",-1.3338279395829886,-3.990233864285983,2.6564059373922646,-13.34800010919571,-1.4651637561619282,1.5768292647430566,1.1245042994137733,1.4917111149816602,1.1413750175076227,24,-0.9289117554435506,0.08301932472415052,7,10,"Eduard Bazardo",20997,660825
"George Soriano","STL",-0.9758479502052069,-4.7992140259593725,3.823366105556488,-7.48100009560585,-0.7724057175219059,1.9594488510193715,1.5128222246964773,1.771641372606672,1.755649999404947,24,-0.8259552894160151,0.32793363924763347,12,9,"George Soriano",21863,666277
"Luis Gastelum","STL",-1.218611963558942,-3.59288168605417,2.3742696759290993,-2.5259998068213463,-0.2278003143146634,1.041437688837017,1.1666504436960587,1.2130000027517478,1.0407833280817915,24,-0.08799396455287933,-1.0821307357734333,6,9,"Luis Gastelum",33027,703725
"José Fermin","LAA",-0.6280699091730639,-2.767319967097137,2.139249987201765,-6.857999891042709,-0.6601487286388874,1.1901496106804144,0.988435223157848,1.084646158063641,1.7638631066993664,19,-0.2841210407204926,-0.24360245180242923,6,9,"Jose Fermin",33908,820862
"Riley O'Brien","STL",-1.9287519780918956,-6.4737561494112015,4.5450041415169835,-7.074999898672104,-0.7109683593735099,2.5727626197948688,2.1758296191692352,2.2090740634335413,2.6485999822616577,4,-0.20604148914571851,-0.543639792466527,13,8,"Riley O'Brien",20348,676617
"Dylan Smith","SFG",-1.3949740012176335,-4.971897996663756,3.5769240763038397,1.08300019800663,0.08371173404157162,2.3205983286113048,1.5240866355597973,1.5192999945810208,1.703879996140798,15,-0.11843706155195832,-0.4826898047473962,6,8,"Dylan Smith",30145,681916
"Drew Sommers","DET",-0.3609319450624753,-3.463662551366724,3.102730636135675,1.326000303030014,0.1278861677274108,1.401138328644447,1.3249071048708951,1.3351360066235065,1.478060873468285,23,0.17580810375511646,-0.4334071842196874,9,8,"Drew Sommers",32026,805427
"Antonio Senzatela","- - -",-1.3791100503876805,-3.6520341215655208,2.272924124263227,-5.175000466406345,-0.5169914709404111,1.5764776759066628,1.2850906283129007,1.4087759986519814,1.2836434745594212,23,-0.39381655445322394,-0.4809881265547248,7,7,"Antonio Senzatela",15488,622608
"Jimmy Herget","COL",-0.693349577835761,-2.710167103621643,2.016817526658997,-12.040999948978424,-1.1509020701050758,1.0219393341847864,0.8997623633232809,1.1694239979237318,0.9352299893274904,20,-0.7260059432592243,0.04754142521730498,6,7,"Jimmy Herget",17556,623474
"Enyel De Los Santos","HOU",-0.9587597805075347,-2.533948086667806,1.5751883732154965,-7.373000115156174,-0.7602011673152447,0.7866425104145929,0.7381495567592414,0.9599680173397064,0.8547777825345596,18,-1.164044457313139,-0.05475540134467627,4,7,"Enyel De Los Santos",18403,660853
"Alex Lange","KCR",-1.0258680004626513,-2.9972699768841267,1.9714020173996687,-3.0790001451969147,-0.3166451212018728,1.1751979205461491,1.0973939374935897,1.3030599997378887,0.8591818221929398,11,-1.327936097048223,0.45500398703742573,4,7,"Alex Lange",19883,656638
"Dylan Lee","ATL",-0.42703985422849655,-3.0574959577061236,2.630456119775772,-6.906999945640564,-0.7145742326974869,1.4936621443739215,1.4261155022042138,1.5915384934498713,1.5398399767279625,25,-0.18076162971556187,-0.10513960694428076,10,7,"Dylan Lee",19996,669276
"Rico Garcia","BAL",0.4314462300390005,-2.7850867500528693,3.2165330005809665,3.8139998018741608,0.3969602007418871,1.702978366667086,1.6556447561298098,1.9288515958093828,1.946286968562914,23,0.2120588526595384,0.04128918656622571,12,7,"Rico Garcia",20023,670329
"José A. Ferrer","SEA",-0.32753400783985853,-2.4191862486768514,2.0916522569023073,-3.704000562429428,-0.38497452437877655,1.112309389644199,0.8924390526754515,1.0946857197476285,1.1713777679812025,27,-0.4420884819701314,0.14762543878335327,5,7,"Jose A. Ferrer",24017,678606
"Josh Ekness","MIA",-0.15702195768244565,-2.7293820789236634,2.5723600980709307,-2.5450001657009125,-0.24920893646776676,1.4864736766995568,1.3867902284295395,1.4117454454641452,1.2278941179461338,17,-0.13951558712869883,0.03388172347960669,8,7,"Josh Ekness",33785,694795
"Caleb Thielbar","CHC",0.2154422488529235,-1.61863611463923,1.8340784253377933,-1.3280001878738403,-0.12479252740740776,1.0607033694278072,1.0293761886922377,1.1325440062582492,1.0487090921537443,22,-0.33173821738455445,0.5348508453468311,3,6,"Caleb Thielbar",10078,573204
"Tanner Scott","LAD",0.9732340471819043,-3.4726961348205805,4.445930189453065,1.6879998296499252,0.14151610061526299,2.236407688890512,2.0658471214360206,2.2865153745963025,1.7304461045333972,13,0.1183695062645711,0.316807877544518,15,6,"Tanner Scott",17586,656945
"A.J. Minter","- - -",-0.10974793863715604,-2.8117959182563936,2.702047999133356,0.4840002581477165,0.05116765666753054,1.3697794786630533,1.2708666575524736,1.4878214221181614,1.3623846181166859,26,-0.024654005421325564,-0.05546687560127042,8,6,"A.J. Minter",18655,621345
"Kyle Hart","SDP",-0.73493792116642,-2.289886025711894,1.5549481064081192,-2.015000194311142,-0.15745190251618624,1.0663295310877619,0.7945094406604767,0.9566526334536704,1.1056250022957101,16,-0.18187869898974895,-0.5073434408273022,6,6,"Kyle Hart",19646,606996
"Kevin Ginkel","ARI",0.2944280295050703,-2.1564471212914214,2.4508751234970987,-3.5359996557235718,-0.37539702095091343,1.1782711943674644,1.1520718902465887,1.3256066817169387,1.0724761957923572,21,-0.005033309571444988,0.2549146874007054,8,6,"Kevin Ginkel",19876,656464
"Andrés Muñoz","SEA",-0.26252797432243824,-4.614765937440097,4.352237965911627,0.788000226020813,0.13726150523871183,2.5383858771035164,2.2291854236807143,2.1436249998708568,3.249899983406067,4,0.21761767007410526,-0.32104086380145214,12,6,"Andres Munoz",20373,662253
"Yoendrys Gómez","MIN",-0.4597920998930931,-3.3931861435994506,2.9333940903889015,-7.031999796628952,-0.7012111470103264,1.7468499874230474,1.6265407438493438,1.572351991161704,2.5234666824754743,9,-0.17291794810444117,-0.09029417841100068,11,6,"Yoendrys Gomez",22872,672782
"Aaron Ashby","MIL",0.763556145131588,-2.280249908566475,3.043806073255837,4.859999813139439,0.4943754132837057,1.3017358899344014,1.205000980592826,1.4098785652645998,0.975530451082665,23,0.2743285894393921,0.3122390476947934,12,6,"Aaron Ashby",23550,676879
"Jonathan Bowlan","PHI",-0.15795597014948726,-2.5911979044321924,2.433241895865649,1.7920001447200775,0.1976635828614235,1.2918495118618012,1.2885197492109404,1.4585384614765644,1.080939994379878,20,0.1243384126573801,-0.24660959726451182,8,6,"Jonathan Bowlan",24607,680742
"Alex Vesia","LAD",-0.20907984755467623,-2.073685990704689,1.8646061257459223,0.7749999165534973,0.1097212228924036,1.0742699016355775,1.017524135138454,1.4129285659374935,1.0882480021566152,25,0.032264566514641047,-0.2268896297658332,8,6,"Alex Vesia",25007,681911
"Bradgley Rodriguez","SDP",-0.11772593064233661,-3.084507994353771,2.9667820781469345,-0.32300011813640594,-0.018907013349235058,1.303071438083573,1.15080462810066,1.249337930103828,1.409400010911318,26,0.3283963397843763,-0.41874129494314805,13,6,"Bradgley Rodriguez",29107,699134
"Chase Silseth","- - -",0.13353814254514873,-2.056526000611484,2.190064120804891,0.14699985086917877,0.00887500774115324,1.15648771685205,1.0292258226583082,1.1548689770801315,1.0464319992065432,25,-0.2892817762331106,0.4047504842870434,8,6,"Chase Silseth",30074,681217
"Carson Seymour","SFG",-0.9902798575349152,-2.960135972010903,1.9698561067925766,-0.31600000709295273,-0.020396870095282793,1.3125999874745806,1.0235940872301017,1.2024476325050706,1.4819571655243635,14,-0.005341708892956376,-0.7490997561265552,3,6,"Carson Seymour",30084,693313
