pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
SI,2026-09-23,101.3,2.54,5.92,"Morejon, Adrian",669242,670970,field_out,hit_into_play,,,,,12.0,"Tommy Edman grounds out, second baseman Jake Cronenworth to first baseman Ty France.",R,R,L,LAD,SD,X,4.0,ground_ball,0,0,2026,1.34,0.75,0.8640970617956827,2.587373486217682,,,681624.0,2,8,Bot,136.79,159.71,,,,,-7.847763462221144,-147.25128807677547,-5.594211505716715,21.29008122396039,34.45776418459973,-20.119811515105106,3.102403215,1.565698819,37.0,99.5,-2.0,101.3,2468.0,6.3,823894,666023,664034,630105,592518,593428,687957,701538,665487,54.2,0.366,0.343,0.0,1.0,0.0,0.0,2.0,69,1,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,140.0,-0.022,-0.275,74.0,7.0,,0.416,0.275,99.5,-3,-3,0.056,0.056,27,31,27,31,1,3,,,,,1.47,1.34,-1.34,,6.319510384911401,12.578509021963509,20.20314134036441,46.84375693980427,15.073303625090444,Sinker,True
SI,2026-09-23,100.7,2.63,5.92,"Morejon, Adrian",500743,670970,field_out,hit_into_play,,,,,12.0,Miguel Rojas lines out to right fielder Fernando Tatis Jr.,R,R,L,LAD,SD,X,9.0,line_drive,0,0,2026,1.3,0.61,0.850984819245062,2.388528186420447,,,681624.0,1,8,Bot,188.16,105.16,,,,,-7.991904085786386,-146.4960934374211,-5.753595094978705,20.512499036857584,32.32753251691258,-22.162129195105145,3.141018701,1.585187008,279.0,84.2,24.0,101.0,2427.0,6.3,823894,666023,664034,630105,592518,593428,687957,701538,665487,54.2,0.263,0.246,0.0,1.0,0.0,0.0,3.0,68,1,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,143.0,-0.036,-0.261,70.9,7.0,,0.328,0.261,88.0,-3,-3,0.092,0.092,27,37,27,37,1,0,,,,,1.62,1.3,-1.3,,5.186377909087188,18.2151558530282,24.380990300851806,47.29196224527817,24.8724703220372,Sinker,True
SI,2026-09-23,100.4,2.65,5.95,"Morejon, Adrian",681624,670970,single,hit_into_play,,,,,5.0,Andy Pages singles on a line drive to center fielder Jackson Merrill.,R,R,L,LAD,SD,X,8.0,line_drive,2,0,2026,1.21,0.75,0.1561913678235149,2.3288300768337384,,,,1,8,Bot,171.69,79.95,,,,,-9.7035544919437,-145.87812069000637,-6.2517736269814765,19.593149113698907,34.18245470769171,-20.08558652982756,3.23667979,1.633464567,303.0,92.8,20.0,100.1,2441.0,6.2,823894,666023,664034,630105,592518,593428,687957,701538,665487,54.29,0.291,0.287,0.9,1.0,1.0,0.0,4.0,67,3,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,145.0,0.022,0.303,76.8,7.7,,0.428,-0.303,92.8,-3,-3,0.07,0.07,27,25,27,26,1,3,,,,,1.51,1.21,-1.21,,-3.067757291392676,6.822787465406417,42.39513064098701,36.835240037736874,24.026244772263095,Sinker,True
SI,2026-09-23,100.3,2.68,5.92,"Morejon, Adrian",681624,670970,,ball,,,,,12.0,,R,R,L,LAD,SD,B,,,1,0,2026,1.23,0.93,1.8070039215743725,2.648484237996405,,,,1,8,Bot,,,,,,,-5.330888149847949,-145.9528034102607,-5.692703141562204,18.866701002845755,34.217859411825295,-17.72064662226395,3.23667979,1.633464567,,,,100.0,2499.0,6.1,823894,666023,664034,630105,592518,593428,687957,701538,665487,54.4,,,,,,,,67,2,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,146.0,0.007,0.075,,,,,-0.075,,-3,-3,0.063,0.063,27,25,27,26,1,3,,,,,1.33,1.23,-1.23,,,,,,,Sinker,False
SI,2026-09-23,100.5,2.58,6.05,"Morejon, Adrian",681624,670970,,ball,,,,,12.0,,R,R,L,LAD,SD,B,,,0,0,2026,1.13,1.09,0.4031968127202536,3.9276741126501378,,,,1,8,Bot,,,,,,,-8.650339234759501,-146.06694871729815,-2.980000332432481,18.232092178173893,34.09808396444672,-15.99974219761795,3.23667979,1.633464567,,,,100.2,2490.0,6.2,823894,666023,664034,630105,592518,593428,687957,701538,665487,54.34,,,,,,,,67,1,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,145.0,0.003,0.041,,,,,-0.041,,-3,-3,0.06,0.06,27,25,27,26,1,3,,,,,1.17,1.13,-1.13,,,,,,,Sinker,False
SI,2026-09-23,99.7,2.67,6.04,"Morejon, Adrian",663656,670970,field_out,hit_into_play,,,,,12.0,Kyle Tucker pops out to third baseman Manny Machado.,R,L,L,LAD,SD,X,5.0,popup,0,0,2026,1.28,0.73,0.8877998501901863,3.0893782850337237,,,,0,8,Bot,103.71,153.76,,,,,-7.842956236098568,-145.02605054245458,-4.2854920017219476,19.802209335038317,31.916346405206692,-21.019057470068816,3.350770997,1.691043307,132.0,63.8,61.0,99.5,2408.0,6.1,823894,666023,664034,630105,592518,593428,687957,701538,665487,54.42,0.003,0.003,0.0,1.0,0.0,0.0,3.0,66,1,Sinker,1,4,1,4,4,1,1,4,Infield shade,Standard,137.0,-0.027,-0.259,74.3,6.5,,0.003,0.259,88.0,-3,-3,0.087,0.087,27,29,27,29,1,3,,,,,1.55,1.28,1.28,,8.424617898616958,-0.7567898386903807,36.92532935862156,25.959031907280664,25.04020575756808,Sinker,True
SI,2026-09-19,99.5,2.56,5.89,"Morejon, Adrian",672640,670970,walk,ball,,,,,12.0,Otto Lopez walks.,R,R,L,SD,MIA,B,,,3,1,2026,1.31,0.69,1.4304623622149852,3.09854528555429,665923.0,,,1,8,Top,,,,,,,-6.168750525835883,-144.6976927372627,-3.672275236621746,19.912412021187496,35.593668122375064,-21.761399640236434,3.136630577,1.582972441,,,,99.0,2294.0,6.2,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.31,,0.698418,0.7,1.0,0.0,0.0,,74,5,Sinker,6,5,5,6,5,6,5,6,Strategic,Standard,142.0,-0.025,0.135,,,,,-0.135,,1,-1,0.609,0.391,27,27,27,28,1,4,1.0,1.0,,1.0,1.62,1.31,-1.31,37.7,,,,,,Sinker,True
CH,2026-09-19,93.5,2.51,6.02,"Morejon, Adrian",672640,670970,,ball,,,,,14.0,,R,R,L,SD,MIA,B,,,2,1,2026,0.9,-0.47,0.3257909742113873,0.5445077170294907,665923.0,,,1,8,Top,,,,,,,-7.546429535675654,-135.7503975659143,-6.8905113528041575,12.851546110504554,33.39336517113246,-36.44908336146344,3.136630577,1.582972441,,,,92.6,908.0,6.2,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.32,,,,,,,,74,4,Changeup,6,5,5,6,5,6,5,6,Strategic,Standard,104.0,-0.012,0.076,,,,,-0.076,,1,-1,0.621,0.379,27,27,27,28,1,4,1.0,1.0,,1.0,3.12,0.9,-0.9,41.5,,,,,,Changeup,False
SI,2026-09-19,100.2,2.43,5.87,"Morejon, Adrian",672640,670970,,called_strike,,,,,7.0,,R,R,L,SD,MIA,S,,,2,0,2026,1.43,0.96,-0.2994344415466794,1.835804064756262,,665923.0,,1,8,Top,,,,,,,-10.83476845992198,-145.23262889200618,-7.746662533259592,22.921852810072476,36.7861028571435,-16.84506774239008,3.136630577,1.582972441,,,,99.4,2388.0,6.3,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.23,,,,,,,,74,3,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,141.0,-0.061,-0.04,,,,,0.04,,1,-1,0.682,0.318,27,27,27,28,1,4,1.0,1.0,,1.0,1.34,1.43,-1.43,38.8,,,,,,Sinker,False
SI,2026-09-19,98.3,2.45,5.93,"Morejon, Adrian",672640,670970,,ball,,,,,12.0,,R,R,L,SD,MIA,B,,,1,0,2026,1.33,0.91,1.0117275573850042,2.621466032968927,,,665923.0,1,8,Top,,,,,,,-6.955902078864907,-142.81418470134813,-5.365597696553309,19.82686219355129,35.61274248156022,-18.599252704768887,3.136630577,1.582972441,,,,97.4,2300.0,6.1,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.43,,,,,,,,74,2,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,141.0,-0.046,0.066,,,,,-0.066,,1,-1,0.728,0.272,27,27,27,28,1,4,1.0,1.0,,1.0,1.47,1.33,-1.33,36.8,,,,,,Sinker,False
