pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-07-17,99.6,2.61,6.01,"Morejon, Adrian",686555,670970,,foul,,,,,3.0,,R,R,L,KC,SD,S,,,0,0,2026,1.51,0.92,0.3839964943755363,3.0240209898433044,,,,0,7,Bot,,,,,,,-9.597112974683007,-144.65113992607093,-4.758165118429297,23.518516003294938,34.21279410100825,-18.297409303146782,3.012885499,1.520521654,199.0,77.9,19.0,99.2,2550.0,6.2,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.31,,,,,,,,54,1,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,145.0,-0.006,-0.041,70.0,5.6,,,0.041,88.0,0,0,0.588,0.588,27,28,27,29,1,2,5.0,5.0,4.0,1.0,1.39,1.51,-1.51,39.8,-11.197736358881928,21.332987541313816,22.691840588125675,41.4474549111041,23.08444736873257
CH,2026-07-17,92.0,3.04,6.05,"Morejon, Adrian",686555,670970,,swinging_strike,,,,,14.0,,R,R,L,KC,SD,S,,,0,1,2026,1.13,-0.07,1.2274937222618991,0.6870795822813558,,,,0,7,Bot,,,,,,,-7.00296378524792,-133.7707115188273,-7.332948281534544,15.11477291494038,27.751845550211865,-31.630640018861904,3.012885499,1.520521654,,,,91.8,976.0,6.1,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.38,,,,,,,,54,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,111.0,-0.009,-0.054,44.9,7.1,11.401794996,,0.054,,0,0,0.582,0.582,27,28,27,29,1,2,5.0,5.0,4.0,1.0,2.76,1.13,-1.13,40.6,1.754688559996384,0.5581751863086006,26.019320672402685,52.50749159843296,28.654214091097614
CH,2026-07-17,92.4,2.76,6.06,"Morejon, Adrian",686555,670970,field_out,hit_into_play,,,,,5.0,Isaac Collins flies out to left fielder Gavin Sheets.,R,R,L,KC,SD,X,7.0,fly_ball,0,2,2026,0.95,0.46,-0.1562529265262168,2.4438673777355575,,,,0,7,Bot,78.98,63.86,,,,,-9.381561234740406,-134.23693806767153,-4.20953520682229,13.393880655540658,27.423066120313234,-25.879433408899285,3.012885499,1.520521654,353.0,92.5,35.0,92.3,1069.0,6.2,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.3,0.037,0.063,0.0,1.0,0.0,0.0,3.0,54,3,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,108.0,-0.023,-0.164,75.4,7.0,,0.118,0.164,92.5,0,0,0.573,0.573,27,28,27,29,1,2,5.0,5.0,4.0,1.0,2.21,0.95,-0.95,42.5,0.9180221715054356,-8.534998734874424,26.26121076376895,35.80158300414895,37.64516554366357
SL,2026-07-17,92.3,2.98,5.86,"Morejon, Adrian",695600,670970,field_out,hit_into_play,,,,,5.0,Carter Jensen flies out to left fielder Gavin Sheets.,R,L,L,KC,SD,X,7.0,fly_ball,0,0,2026,-0.41,0.01,-0.1337682825436481,2.628654934354385,,,,1,7,Bot,83.75,122.85,,,,,-6.888755854394837,-134.32654929086613,-2.279692361720699,-3.6660426812886047,26.56853474059353,-31.731603095886573,3.191043307,1.610433071,218.0,94.3,59.0,92.5,2886.0,6.2,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.3,0.02,0.022,0.0,1.0,0.0,0.0,3.0,55,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,274.0,-0.029,-0.261,76.2,7.2,,0.031,0.261,94.3,0,0,0.55,0.55,27,22,27,23,1,3,5.0,5.0,4.0,1.0,2.64,-0.41,-0.41,40.0,16.348709493586764,-6.597363030367049,25.303995843905717,35.31340987801222,34.75095502434324
CH,2026-07-17,93.0,2.56,6.05,"Morejon, Adrian",677951,670970,,called_strike,,,,,7.0,,R,R,L,KC,SD,S,,,0,0,2026,0.7,-0.21,-0.3342939599546368,2.0776055514387317,,,,2,7,Bot,,,,,,,-8.873585811056808,-135.29272418645775,-3.773419781345431,10.375346711379734,25.875587150563135,-34.2154918047228,3.238435039,1.634350394,,,,93.4,1048.0,6.3,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.23,,,,,,,,56,1,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,112.0,-0.003,-0.045,,,,,0.045,,0,0,0.521,0.521,27,26,27,26,1,3,5.0,5.0,4.0,1.0,2.82,0.7,-0.7,44.7,,,,,
CH,2026-07-17,91.5,2.75,5.95,"Morejon, Adrian",677951,670970,,ball,,,,,14.0,,R,R,L,KC,SD,B,,,0,1,2026,0.85,-0.14,1.478644306454501,1.4981148832371645,,,,2,7,Bot,,,,,,,-5.002084321564931,-133.27493798309578,-4.860891135789132,11.132830689520626,25.527432797413475,-33.14409081078505,3.238435039,1.634350394,,,,91.7,1080.0,6.1,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.37,,,,,,,,56,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,108.0,0.002,0.03,,,,,-0.03,,0,0,0.518,0.518,27,26,27,26,1,3,5.0,5.0,4.0,1.0,2.84,0.85,-0.85,40.1,,,,,
CH,2026-07-17,92.7,2.68,5.95,"Morejon, Adrian",677951,670970,,swinging_strike,,,,,14.0,,R,R,L,KC,SD,S,,,1,1,2026,0.98,-0.24,0.1877175429386625,1.2174074686210257,,,,2,7,Bot,,,,,,,-8.436006819997585,-134.84496062166846,-5.557554499852222,13.69675520996827,26.37708090230747,-34.19721986875455,3.238435039,1.634350394,,,,92.9,1107.0,6.2,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.3,,,,,,,,56,3,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,107.0,-0.005,-0.064,77.7,7.7,0.1,,0.064,,0,0,0.52,0.52,27,26,27,26,1,3,5.0,5.0,4.0,1.0,2.87,0.98,-0.98,40.3,4.483486218597282,-10.259429018941734,29.81627847370002,38.1273581206368,33.501896503616706
CH,2026-07-17,92.6,2.63,5.91,"Morejon, Adrian",677951,670970,strikeout,swinging_strike,,,,,14.0,Bobby Witt Jr. strikes out swinging.,R,R,L,KC,SD,S,2.0,,1,2,2026,1.1,-0.24,0.3923986265715866,0.8667640019841909,,,,2,7,Bot,,,,,,,-8.06819282302561,-134.59890578923438,-6.310839367869892,15.038429292813351,26.152343573125822,-34.07988609045304,3.238435039,1.634350394,,,,92.9,1150.0,6.3,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.21,,0.0,0.0,1.0,0.0,0.0,,56,4,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,107.0,-0.015,-0.183,74.4,7.8,3.627188676,,0.183,,0,0,0.515,0.515,27,26,27,26,1,3,5.0,5.0,4.0,1.0,2.89,1.1,-1.1,40.3,12.961041348628298,-14.410132172344138,30.897869456830048,39.55495336136168,34.42942992579305
SI,2026-07-17,99.4,2.49,5.94,"Morejon, Adrian",695506,670970,,called_strike,,,,,2.0,,R,L,L,KC,SD,S,,,0,0,2026,1.28,0.95,-0.0835670420878273,3.4168403133110146,,,,0,8,Bot,,,,,,,-9.983819771113852,-144.38129311701985,-3.57669998658582,20.166905989700695,32.12903094904723,-18.229900862612915,3.401673228,1.716732283,,,,99.4,2617.0,6.3,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.18,,,,,,,,60,1,Sinker,2,2,2,2,2,2,2,2,Standard,Strategic,171.0,-0.007,-0.041,,,,,0.041,,0,0,0.608,0.608,27,23,27,23,1,3,5.0,5.0,4.0,1.0,1.36,1.28,1.28,37.5,,,,,
SL,2026-07-17,90.5,3.1,5.84,"Morejon, Adrian",695506,670970,single,hit_into_play,,,,,14.0,Jac Caglianone singles on a ground ball to right fielder Fernando Tatis Jr.,R,L,L,KC,SD,X,9.0,ground_ball,0,1,2026,-0.56,-0.22,0.2970152295952463,1.4726694384055603,,,,0,8,Bot,180.74,95.19,,,,,-5.6773592686159695,-131.69862871538962,-4.276558990633078,-5.339958021852168,26.71825867615177,-34.02129169480703,3.401673228,1.716732283,15.0,112.2,-6.0,90.6,2849.0,6.2,824090,669134,664034,630105,592518,593428,657757,701538,665487,54.27,0.424,0.388,0.9,1.0,1.0,0.0,2.0,60,2,Slider,2,2,2,2,2,2,2,2,Infield shade,Strategic,279.0,0.069,0.486,79.6,8.0,,0.44,-0.486,112.2,0,0,0.601,0.601,27,23,27,23,1,3,5.0,5.0,4.0,1.0,2.99,-0.56,-0.56,34.4,9.99412199925643,-4.674702101180084,40.001917378884094,34.1087019302784,30.33235234679011
