Opponent,Reliever,hand,w,base,diff,thin
Braves,Morejon (LHP),L,0.29145439632901393,0.29896232876712325,-0.0075079324381093215,False
Braves,Rodríguez (RHP),R,0.33135734308130876,0.3223698332124728,0.008987509868835952,False
Braves,Miller (RHP),R,0.3256970983608488,0.3223698332124728,0.003327265148376002,False
Braves,Matsui (LHP),L,0.27045040609483084,0.29896232876712325,-0.02851192267229241,False
Braves,Peralta (LHP),L,0.28811516441985346,0.29896232876712325,-0.010847164347269789,False
Braves,Hart (LHP),L,0.28003851848563915,0.29896232876712325,-0.0189238102814841,False
Braves,Vásquez (RHP),R,0.3226398339411425,0.3223698332124728,0.0002700007286696726,False
Diamondbacks,Morejon (LHP),L,0.37626664042817826,0.3291978021978022,0.04706883823037605,False
Diamondbacks,Rodríguez (RHP),R,0.31411561727253384,0.3178701399688958,-0.0037545226963619505,False
Diamondbacks,Miller (RHP),R,0.32064660387919414,0.3178701399688958,0.0027764639102983435,False
Diamondbacks,Matsui (LHP),L,0.26062739558951536,0.3291978021978022,-0.06857040660828684,True
Diamondbacks,Peralta (LHP),L,0.36926072064124865,0.3291978021978022,0.04006291844344645,False
Diamondbacks,Hart (LHP),L,0.2805777417664842,0.3291978021978022,-0.048620060431318,True
Diamondbacks,Vásquez (RHP),R,0.32846113000207944,0.3178701399688958,0.010590990033183645,False
Cubs,Morejon (LHP),L,0.3067051110781475,0.31746867749419955,-0.010763566416052028,False
Cubs,Rodríguez (RHP),R,0.3438575059687582,0.3335947432762836,0.010262762692474614,False
Cubs,Miller (RHP),R,0.3330302476960862,0.3335947432762836,-0.0005644955801973883,False
Cubs,Matsui (LHP),L,0.32268234709629984,0.31746867749419955,0.00521366960210029,True
Cubs,Peralta (LHP),L,0.30378206517935574,0.31746867749419955,-0.013686612314843805,False
Cubs,Hart (LHP),L,0.2976112344522144,0.31746867749419955,-0.019857443041985168,True
Cubs,Vásquez (RHP),R,0.34757049651417277,0.3335947432762836,0.013975753237889188,False
Phillies,Morejon (LHP),L,0.3897619568087011,0.3398061224489796,0.04995583435972151,False
Phillies,Rodríguez (RHP),R,0.3205717501430323,0.3227351694915254,-0.002163419348493123,False
Phillies,Miller (RHP),R,0.34549966950848204,0.3227351694915254,0.022764500016956624,False
Phillies,Matsui (LHP),L,0.4524660157400995,0.3398061224489796,0.11265989329111986,True
Phillies,Peralta (LHP),L,0.38843859911616185,0.3398061224489796,0.048632476667182234,False
Phillies,Hart (LHP),L,0.41815710791311833,0.3398061224489796,0.07835098546413871,True
Phillies,Vásquez (RHP),R,0.3387665034601553,0.3227351694915254,0.01603133396862988,False
