Team,Hitter,Bats,xwOBA,PA,Best,Best score,Best small-cell share,Second,Second score,Worst,Worst score,Hands skipped (<20 PA)
Cubs,Pete Crow-Armstrong,L,0.3923402777777778,288,Hart,0.2788099111568476,0.0,Peralta,0.27955498077704505,Rodríguez,0.43715899349068066,
Cubs,Seiya Suzuki,R,0.3469747292418772,277,Hart,0.32659988988937483,0.19951338199513383,Miller,0.3334257305829036,Matsui,0.41607379675287787,
Cubs,Alex Bregman,R,0.3445916030534351,262,Matsui,0.266017678769621,0.005905511811023622,Vásquez,0.3368648357939352,Hart,0.36970695927601804,
Cubs,Michael Conforto,L,0.33595652173913043,138,Vásquez,0.3461990777483833,0.0,Rodríguez,0.36288016033999804,Miller,0.43505726341169376,LHP
Phillies,Alec Bohm,R,0.377046218487395,238,Vásquez,0.31970353683629427,0.0,Rodríguez,0.32569839212388063,Matsui,0.5462116165505654,
Phillies,Bryce Harper,L,0.36255094339622645,265,Matsui,0.3684768511508177,0.26968503937007876,Hart,0.3766228253700882,Miller,0.49138991443975616,
Phillies,Kyle Schwarber,L,0.34372932330827066,266,Peralta,0.2670827019145733,0.3317757009345794,Matsui,0.2844164819332163,Vásquez,0.4331738387282501,
Phillies,Bryson Stott,L,0.34105907172995775,237,Matsui,0.2570107774023978,0.0,Hart,0.28380932683605986,Peralta,0.43073932422717476,
Braves,Ronald Acuña,R,0.35658904109589035,219,Rodríguez,0.21908583748908292,0.0,Miller,0.30671639541892703,Matsui,0.4584358016828779,
Braves,Drake Baldwin,L,0.3516441281138791,281,Hart,0.2545010956703475,0.20924574209245742,Peralta,0.2738813129043854,Rodríguez,0.4355446247464502,
Braves,Matt Olson,L,0.3460566037735849,265,Matsui,0.16133497663753568,0.26968503937007876,Hart,0.25672310366032997,Peralta,0.5359646297627607,
Braves,Mike Yastrzemski,L,0.32056923076923083,130,Miller,0.2494788468129868,0.0,Vásquez,0.301368905886335,Rodríguez,0.3317203443919826,LHP
Diamondbacks,Gabriel Moreno,R,0.3585289575289575,259,Miller,0.32028355640866013,0.0,Matsui,0.361370742465082,Hart,0.47971086013986014,
Diamondbacks,Corbin Carroll,L,0.34756521739130436,253,Matsui,0.27618590790109643,0.26968503937007876,Peralta,0.3042402253837326,Miller,0.4003440859356857,
Diamondbacks,Lars Nootbaar,L,0.3435546875,128,Rodríguez,0.3202448224725996,0.0,Vásquez,0.3467967560892669,Miller,0.3694687688366486,LHP
Diamondbacks,Geraldo Perdomo,S,0.32550378787878786,264,Hart,0.23809084601672834,0.19951338199513383,Matsui,0.29333310751401764,Vásquez,0.3392002120086785,
