pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
SI,2026-09-19,95.6,-1.46,6.02,"Vásquez, Randy",691788,681190,field_out,hit_into_play,,,,,5.0,"Joe Mack grounds out, second baseman Fernando Tatis Jr. to first baseman Ty France.",R,L,R,SD,MIA,X,4.0,ground_ball,1,2,2026,-1.3,1.27,0.0986702814374202,2.368036158204758,,,805300.0,2,5,Top,152.82,152.7,,,,,6.9883487382746985,-138.83936858306654,-6.563278278055849,-18.41037748168757,34.86926190736471,-14.508879790450427,3.220882546,1.625492126,88.0,74.4,8.0,94.6,2388.0,6.1,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.4,0.237,0.217,0.0,1.0,0.0,0.0,2.0,49,5,Sinker,5,5,5,5,5,5,5,5,Infield shade,Standard,215.0,0.022,-0.194,,,,0.27,0.194,88.0,0,0,0.545,0.455,27,23,28,24,1,2,4.0,1.0,,1.0,1.26,1.3,-1.3,35.3,,,,,,Sinker,True
CH,2026-09-19,89.6,-1.5,5.96,"Vásquez, Randy",691788,681190,,blocked_ball,,,,,14.0,,R,L,R,SD,MIA,B,,,0,2,2026,-1.33,0.81,0.28158897966581,0.1927574036294888,,,805300.0,2,5,Top,,,,,,,7.1944700719266965,-129.91303155953185,-9.587389743535136,-16.56703886971983,30.741495939571745,-20.997137763283977,3.220882546,1.625492126,,,,89.1,1898.0,6.5,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.05,,,,,,,,49,4,Changeup,5,5,5,5,5,5,5,5,Infield shade,Standard,214.0,-0.003,0.021,,,,,-0.021,,0,0,0.548,0.452,27,23,28,24,1,2,4.0,1.0,,1.0,2.08,1.33,-1.33,40.2,,,,,,Changeup,False
FF,2026-09-19,94.6,-1.69,6.01,"Vásquez, Randy",691788,681190,,foul,,,,,1.0,,R,L,R,SD,MIA,S,,,0,2,2026,-0.85,1.47,-0.5868455248785878,3.2663772422736956,,,805300.0,2,5,Top,,,,,,,4.742545419747856,-137.63878764617826,-4.547449865612673,-11.858232223157517,33.75236140188479,-12.729035103304794,3.220882546,1.625492126,264.0,77.7,45.0,93.6,2309.0,6.0,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.54,,,,,,,,49,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,220.0,0.0,0.0,69.9,7.1,,,0.0,88.0,0,0,0.548,0.452,27,23,28,24,1,2,4.0,1.0,,1.0,1.1,0.85,-0.85,40.4,8.019626038884518,6.928635825682654,27.46663023634843,42.12671272495251,22.37099984924842,Four-seam,False
FF,2026-09-19,95.1,-1.64,5.99,"Vásquez, Randy",691788,681190,,foul,,,,,2.0,,R,L,R,SD,MIA,S,,,0,1,2026,-0.72,1.36,0.1229233874199164,3.0564588424303376,,,805300.0,2,5,Top,,,,,,,6.164362175751933,-138.29623855532233,-4.851752829636251,-10.651520558115331,34.50864216871837,-13.841466288101394,3.220882546,1.625492126,110.0,82.5,80.0,94.1,2284.0,6.0,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.51,,,,,,,,49,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,213.0,0.007,-0.061,73.9,7.2,,,0.061,88.0,0,0,0.541,0.459,27,23,28,24,1,2,4.0,1.0,,1.0,1.19,0.72,-0.72,34.1,14.560492235161496,0.2578079401784696,32.66383455155521,33.05733690426696,29.02623207763162,Four-seam,False
FC,2026-09-19,92.9,-1.76,5.88,"Vásquez, Randy",691788,681190,,foul,,,,,6.0,,R,L,R,SD,MIA,S,,,0,0,2026,0.04,0.96,0.4476597720029119,2.402175147090035,,,805300.0,2,5,Top,,,,,,,5.4718560235349445,-135.0825305379853,-4.947427121205812,-0.8473878948583592,33.25600896716794,-19.50858443750396,3.220882546,1.625492126,6.0,105.6,-20.0,92.1,2553.0,6.1,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.35,,,,,,,,49,1,Cutter,5,5,5,5,5,5,5,5,Standard,Standard,207.0,0.005,-0.041,77.0,7.5,,,0.041,105.6,0,0,0.536,0.464,27,23,28,24,1,2,4.0,1.0,,1.0,1.71,-0.04,0.04,35.0,-2.4397899099352696,-5.907514712247876,50.17411831937942,29.449662287352663,28.957819656207924,Cutter,False
FF,2026-09-19,95.6,-1.49,6.06,"Vásquez, Randy",682663,681190,strikeout,swinging_strike,,,,,1.0,Agustín Ramírez strikes out swinging.,R,R,R,SD,MIA,S,2.0,,1,2,2026,-0.74,1.47,-0.5129990516146976,3.184556385085102,,,805300.0,1,5,Top,,,,,,,4.22284195861997,-139.06747985120964,-5.028738505437202,-10.562327267987586,35.914121190520696,-12.260387723099903,3.256865158,1.643651575,,,,94.7,2372.0,6.1,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.39,,0.0,0.0,1.0,0.0,0.0,,48,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,222.0,0.027,-0.179,78.9,7.3,0.309015744,,0.179,,0,0,0.509,0.491,27,24,28,25,1,2,4.0,1.0,,1.0,1.06,0.74,0.74,35.3,15.495395549513308,-11.041595662701685,16.640975072455156,33.8100124305969,35.6800331071036,Four-seam,True
FF,2026-09-19,96.0,-1.3,5.93,"Vásquez, Randy",682663,681190,,ball,,,,,14.0,,R,R,R,SD,MIA,B,,,0,2,2026,-0.67,1.51,1.2413111454062578,1.6591508491732117,,,805300.0,1,5,Top,,,,,,,8.162619330666603,-139.21047887519995,-8.837746778689583,-10.710205062354474,34.370130860697245,-10.684773629871769,3.256865158,1.643651575,,,,95.3,2401.0,6.3,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.19,,,,,,,,48,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,218.0,-0.004,0.018,,,,,-0.018,,0,0,0.513,0.487,27,24,28,25,1,2,4.0,1.0,,1.0,1.0,0.67,0.67,35.4,,,,,,Four-seam,False
SI,2026-09-19,96.8,-1.33,5.99,"Vásquez, Randy",682663,681190,,called_strike,,,,,9.0,,R,R,R,SD,MIA,S,,,0,1,2026,-1.24,1.05,0.810620122257105,2.123173800170268,,,805300.0,1,5,Top,,,,,,,8.477305662674109,-140.70065956228456,-6.961402509344466,-18.32015693173069,30.713308119315,-16.851357838940842,3.256865158,1.643651575,,,,96.7,2451.0,6.2,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.31,,,,,,,,48,2,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,215.0,0.01,-0.058,,,,,0.058,,0,0,0.503,0.497,27,24,28,25,1,2,4.0,1.0,,1.0,1.38,1.24,1.24,35.7,,,,,,Sinker,False
FC,2026-09-19,93.1,-1.5,5.96,"Vásquez, Randy",682663,681190,,called_strike,,,,,6.0,,R,R,R,SD,MIA,S,,,0,0,2026,0.05,0.93,0.3470068348529648,2.51526068487371,,,805300.0,1,5,Top,,,,,,,4.552425922032992,-135.43921033243055,-4.888749930807376,-0.4327470946247668,30.798459180957614,-19.897296251945377,3.256865158,1.643651575,,,,92.6,2651.0,6.1,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.4,,,,,,,,48,1,Cutter,5,5,5,5,5,5,5,5,Standard,Standard,203.0,0.006,-0.037,,,,,0.037,,0,0,0.497,0.503,27,24,28,25,1,2,4.0,1.0,,1.0,1.71,-0.05,-0.05,33.3,,,,,,Cutter,False
FF,2026-09-19,95.9,-1.75,5.93,"Vásquez, Randy",805300,681190,single,hit_into_play,,,,,5.0,Jakob Marsee singles on a line drive to left fielder Samad Taylor.,R,L,R,SD,MIA,X,7.0,line_drive,0,0,2026,-0.59,1.43,0.0426758223819808,2.5879747217243203,,,,1,5,Top,88.46,81.73,,,,,5.976546148685957,-139.33091036512093,-6.217431854002956,-9.032718517297786,33.49539123996315,-12.321606258661324,3.212106299,1.621062992,218.0,94.7,11.0,94.9,2423.0,6.0,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.55,0.834,0.802,0.9,1.0,1.0,0.0,4.0,47,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,217.0,-0.033,0.419,66.6,6.2,,0.967,-0.419,94.7,0,0,0.53,0.47,27,25,28,25,1,2,4.0,1.0,,1.0,1.07,0.59,-0.59,33.0,3.4920038728207845,11.834152308254268,35.0307090932746,37.48081951464907,17.834101917050734,Four-seam,True
