pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-07-19,95.8,-1.75,5.97,"Vásquez, Randy",521692,681190,,called_strike,,,,,2,,R,R,R,KC,SD,S,,,0,0,2026,-0.6,1.18,-0.0669641542897282,3.277437770808529,,,,0,6,Bot,,,,,,,5.72898410382075,-139.4878952144307,-4.082047160516112,-9.03625576686447,27.919479054113356,-15.96311088994022,3.312155512,1.671555118,,,,95.7,2518,5.9,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.57,,,,,,,,54,1,4-Seam Fastball,2,8,2,8,8,2,2,8,Infield shade,Standard,208,-0.001,-0.041,,,,,0.041,,-6,-6,0.032,0.032,27,36,28,36,1,2,17,1.0,3.0,1.0,1.28,0.6,0.6,36.7,,,,,
SI,2026-07-19,96.0,-1.71,6.06,"Vásquez, Randy",521692,681190,,ball,,,,,11,,R,R,R,KC,SD,B,,,0,1,2026,-0.93,0.93,-1.3917837347813116,3.303675461480524,,,,0,6,Bot,,,,,,,2.9540745391399277,-139.84519142881484,-3.698009463792688,-12.867997697653989,29.145968885395643,-19.274473539054412,3.312155512,1.671555118,,,,95.7,2404,5.9,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.6,,,,,,,,54,2,Sinker,2,8,2,8,8,2,2,8,Infield shade,Standard,214,0.001,0.029,,,,,-0.029,,-6,-6,0.031,0.031,27,36,28,36,1,2,17,1.0,3.0,1.0,1.52,0.93,0.93,37.5,,,,,
FF,2026-07-19,95.3,-1.63,6.06,"Vásquez, Randy",521692,681190,field_out,hit_into_play,,,,,11,Salvador Perez pops out to first baseman Ty France.,R,R,R,KC,SD,X,3.0,popup,1,1,2026,-0.55,1.25,-0.2042194654379283,3.658424427323377,,,,0,6,Bot,163.67,152.59,,,,,4.924207311154214,-138.88763681868,-3.409028533230926,-8.176386372944583,27.017653325061502,-15.345849573201706,3.312155512,1.671555118,153.0,86.0,66.0,95.4,2519,6.0,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.53,0.003,0.003,0.0,1.0,0.0,0.0,3.0,54,3,4-Seam Fastball,2,8,2,8,8,2,2,8,Infield shade,Standard,211,-0.008,-0.247,74.1,7.3,,0.003,0.247,88.0,-6,-6,0.032,0.032,27,36,28,36,1,2,17,1.0,3.0,1.0,1.23,0.55,0.55,37.5,23.877606869333825,5.588468886826398,24.476396416152255,35.59216540437731,24.988409164173092
FF,2026-07-19,96.1,-1.76,5.89,"Vásquez, Randy",668942,681190,single,hit_into_play,,,,,8,Josh Rojas singles on a line drive to center fielder Jackson Merrill.,R,L,R,KC,SD,X,8.0,line_drive,0,0,2026,-0.72,1.26,0.0760459129327379,2.029608923127311,,,,1,6,Bot,136.22,102.74,,,,,6.430881720618477,-139.6882368232987,-7.30808417000989,-10.887037554105111,29.160002617818023,-14.223762020303704,3.233169291,1.631692913,171.0,99.8,9.0,95.8,2520,6.0,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.47,0.714,0.676,0.9,1.0,1.0,0.0,4.0,55,1,4-Seam Fastball,2,8,2,8,8,2,2,8,Infield shade,Standard,214,0.009,0.419,71.4,7.1,,0.822,-0.419,99.8,-6,-6,0.024,0.024,27,32,28,32,1,2,17,2.0,3.0,1.0,1.2,0.72,-0.72,35.2,2.858350525199348,1.5857455699712857,38.5164130164191,37.693575375266455,21.91540208099351
SI,2026-07-19,97.3,-1.72,5.76,"Vásquez, Randy",686475,681190,,called_strike,,,,,5,,R,R,R,KC,SD,S,,,0,0,2026,-1.19,0.75,0.1428115411493331,2.504022640487081,,,668942.0,1,6,Bot,,,,,,,7.653735747119095,-141.53100490734883,-4.779983096548999,-17.69832605331574,28.694408428359527,-21.238226583505416,3.126099081,1.57765748,,,,97.2,2369,6.0,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.47,,,,,,,,56,1,Sinker,2,8,2,8,8,2,2,8,Standard,Standard,234,-0.001,-0.037,,,,,0.037,,-6,-6,0.033,0.033,27,28,28,28,1,2,17,10.0,3.0,1.0,1.64,1.19,1.19,29.8,,,,,
SI,2026-07-19,96.6,-1.78,5.72,"Vásquez, Randy",686475,681190,grounded_into_double_play,hit_into_play,,,,,1,"Tyler Tolbert grounds into a double play, third baseman Manny Machado to second baseman Luis Rengifo to first baseman Ty France. Josh Rojas out at 2nd. Tyler Tolbert out at 1st.",R,R,R,KC,SD,X,5.0,ground_ball,0,1,2026,-1.11,0.75,-0.7001997504211652,2.777786454366871,,,668942.0,1,6,Bot,104.86,170.84,,,,,5.394354495527189,-140.70475115606132,-3.8818946100640384,-16.005952131974368,26.806444616739316,-21.575632654798113,3.126099081,1.57765748,10.0,95.9,-16.0,97.1,2408,6.2,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.34,0.167,0.162,0.0,1.0,0.0,0.0,2.0,56,2,Sinker,2,8,2,8,8,2,2,8,Standard,Standard,226,-0.015,-0.283,67.9,6.2,,0.187,0.283,95.9,-6,-6,0.032,0.032,27,28,28,28,1,2,17,10.0,3.0,1.0,1.66,1.11,1.11,32.1,7.038649089227669,-6.2878234645086275,23.52308413008221,27.282631867946332,28.06164022923486
SI,2026-07-19,96.6,-1.67,5.96,"Vásquez, Randy",571912,681190,,called_strike,,,,,4,,R,R,R,KC,SD,S,,,0,0,2026,-1.08,0.77,-0.5868216264541117,2.202805681820471,,,,0,7,Bot,,,,,,,5.291211876205573,-140.66264595766384,-6.045486523815786,-15.46501226149245,27.71592937738932,-20.83720828086228,3.321809383,1.676427165,,,,96.6,2470,5.9,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.56,,,,,,,,60,1,Sinker,2,8,2,8,8,2,2,8,Infield shade,Standard,224,-0.001,-0.041,,,,,0.041,,-6,-6,0.02,0.02,27,35,28,35,1,2,17,10.0,3.0,7.0,1.64,1.08,1.08,35.3,,,,,
SI,2026-07-19,96.3,-1.59,5.95,"Vásquez, Randy",571912,681190,,ball,,,,,11,,R,R,R,KC,SD,B,,,0,1,2026,-1.07,0.77,-1.3086576729369537,4.132737043099436,,,,0,7,Bot,,,,,,,3.1617474233672302,-140.3197833352475,-0.9145169461488808,-14.843030198080918,29.642402120742265,-21.89162729603365,3.321809383,1.676427165,,,,95.9,2402,5.8,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.68,,,,,,,,60,2,Sinker,2,8,2,8,8,2,2,8,Standard,Standard,220,0.001,0.029,,,,,-0.029,,-6,-6,0.019,0.019,27,35,28,35,1,2,17,10.0,3.0,7.0,1.66,1.07,1.07,33.1,,,,,
SI,2026-07-19,95.6,-1.67,5.95,"Vásquez, Randy",571912,681190,,ball,,,,,11,,R,R,R,KC,SD,B,,,1,1,2026,-1.05,0.83,-0.8590501260578353,3.670794175174112,,,,0,7,Bot,,,,,,,4.466814782955129,-139.3068253610788,-2.162554687298668,-14.631109788863858,28.65294689540621,-21.03910895747988,3.321809383,1.676427165,,,,95.4,2460,5.9,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.62,,,,,,,,60,3,Sinker,2,8,2,8,8,2,2,8,Standard,Standard,218,0.001,0.063,,,,,-0.063,,-6,-6,0.02,0.02,27,35,28,35,1,2,17,10.0,3.0,7.0,1.64,1.05,1.05,35.2,,,,,
SI,2026-07-19,95.6,-1.71,5.83,"Vásquez, Randy",571912,681190,,foul,,,,,2,,R,R,R,KC,SD,S,,,2,1,2026,-1.08,0.93,0.200204978171673,2.8446331585200424,,,,0,7,Bot,,,,,,,7.399715308978668,-139.12222126175308,-4.22357587766124,-15.62216880600941,28.60350706253404,-19.301341730362868,3.321809383,1.676427165,223.0,74.8,47.0,95.5,2434,6.0,824086,669134,664034,650859,592518,593428,687749,701538,665487,54.46,,,,,,,,60,4,Sinker,2,8,2,8,8,2,2,8,Standard,Standard,223,-0.002,-0.078,69.5,6.3,,,0.078,88.0,-6,-6,0.021,0.021,27,35,28,35,1,2,17,10.0,3.0,7.0,1.55,1.08,1.08,33.6,7.230619592298553,15.424851858438382,28.317960287084993,36.815972603139656,24.305922707951016
