bat_team,batter,Name,Bats,PA,PA_last15
CHC,691718,Pete Crow-Armstrong,L,294,71
CHC,673548,Seiya Suzuki,R,278,66
CHC,683737,Michael Busch,L,271,61
CHC,608324,Alex Bregman,R,262,52
CHC,663538,Nico Hoerner,R,255,63
CHC,664023,Ian Happ,S,225,45
CHC,699393,Pedro Ramírez,S,191,51
CHC,608348,Carson Kelly,R,168,43
CHC,624424,Michael Conforto,L,141,45
PHI,656941,Kyle Schwarber,L,269,69
PHI,547180,Bryce Harper,L,267,64
PHI,607208,Trea Turner,R,267,67
PHI,664761,Alec Bohm,R,239,58
PHI,681082,Bryson Stott,L,239,58
PHI,592663,J. T. Realmuto,R,197,51
PHI,669016,Brandon Marsh,L,194,38
PHI,650333,Luis Arráez,L,188,64
PHI,702222,Justin Crawford,L,165,41
ATL,686948,Drake Baldwin,L,282,69
ATL,621566,Matt Olson,L,267,62
ATL,645277,Ozzie Albies,S,259,59
ATL,671739,Michael Harris,L,255,62
ATL,643289,Mauricio Dubón,R,235,63
ATL,663586,Austin Riley,R,229,53
ATL,660670,Ronald Acuña,R,219,59
ATL,573262,Mike Yastrzemski,L,130,36
ATL,669221,Sean Murphy,R,96,36
AZ,672695,Geraldo Perdomo,S,269,64
AZ,672515,Gabriel Moreno,R,260,66
AZ,682998,Corbin Carroll,L,256,52
AZ,571448,Nolan Arenado,R,234,62
AZ,694374,Tim Tawa,R,234,49
AZ,606466,Ketel Marte,S,201,70
AZ,545121,Ildemaro Vargas,S,183,39
AZ,663457,Lars Nootbaar,L,131,45
AZ,691783,Jordan Lawlar,R,85,42
