pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-09-07,93.8,-0.77,6.81,"Pivetta, Nick",695578,601713,,foul_tip,,,,,11,,R,L,R,SD,WSH,S,,,0,0,2026,-0.82,1.74,-0.8705348196095727,3.0504117808528823,,,,0,1,Top,,,,,,,1.6164343035221256,-136.28994966582383,-7.629357269797629,-10.535481884542463,34.139758918814756,-9.01693235466238,3.488558071,1.760580709,,,,93.9,2406,6.7,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.78,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,203,0.003,-0.041,73.2,7.2,,,0.041,,0,0,0.5,0.5,33,23,33,24,1,0,148,1.0,6.0,1,0.89,0.82,-0.82,53.3,10.956444198490107,4.974755591331276,33.520131244321014,46.63974322274763,29.537613984070973
FF,2026-09-07,93.8,-0.44,6.86,"Pivetta, Nick",695578,601713,field_out,hit_into_play,,,,,2,"James Wood grounds out, second baseman Jake Cronenworth to first baseman Ty France.",R,L,R,SD,WSH,X,4.0,ground_ball,0,1,2026,-0.42,1.84,0.0874857569984144,3.4541926869288493,,,,0,1,Top,153.84,154.22,,,,,2.308095218841021,-136.265918051122,-6.955298608093162,-5.704516655899571,34.94800338422139,-8.039938703709687,3.488558071,1.760580709,26.0,100.9,-6.0,93.9,2481,6.8,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.68,0.287,0.258,0.0,1.0,0.0,0.0,2.0,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Strategic,191,0.019,-0.218,78.2,6.5,,0.302,0.218,100.9,0,0,0.503,0.497,33,23,33,24,1,0,148,1.0,6.0,1,0.8,0.42,-0.42,57.5,7.825596505170346,-2.7192777510719974,28.401944597790603,35.25243029642871,38.84442699629677
FF,2026-09-07,93.1,-0.62,6.87,"Pivetta, Nick",694673,601713,,ball,,,,,11,,R,L,R,SD,WSH,B,,,0,0,2026,-0.63,1.45,-1.697033832912538,4.885255442032744,,,,1,1,Top,,,,,,,-1.3151493868107744,-135.56116449037577,-2.361622835200416,-7.401038302811762,32.922955371843486,-14.10364103317626,3.141896326,1.585629921,,,,93.4,2258,6.7,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.81,,,,,,,,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,199,-0.002,0.041,,,,,-0.041,,0,0,0.522,0.478,33,24,33,24,1,0,148,1.0,6.0,1,1.2,0.63,-0.63,55.7,,,,,
FF,2026-09-07,92.9,-0.5,6.86,"Pivetta, Nick",694673,601713,,foul,,,,,12,,R,L,R,SD,WSH,S,,,1,0,2026,-0.18,1.71,0.3058968460409287,3.410908131742307,,,,1,1,Top,,,,,,,2.457941144137362,-135.10941858373266,-6.677647214129516,-2.7616047516560283,30.90676817772315,-10.02299399252826,3.141896326,1.585629921,168.0,64.8,52.0,93.7,2375,6.9,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.59,,,,,,,,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,191,0.003,-0.05,74.5,6.3,,,0.05,88.0,0,0,0.52,0.48,33,24,33,24,1,0,148,1.0,6.0,1,0.95,0.18,-0.18,57.4,0.3593347478276582,2.6682857198697536,26.089691315910063,33.99928471315452,31.417096634862993
FF,2026-09-07,93.2,-0.54,6.79,"Pivetta, Nick",694673,601713,field_out,hit_into_play,,,,,5,Abimelec Ortiz lines out sharply to center fielder Jackson Merrill.,R,L,R,SD,WSH,X,8.0,line_drive,1,1,2026,-0.28,1.8,-0.0849973700560445,2.57622593251467,,,,1,1,Top,142.77,37.94,,,,,1.788261693236493,-135.39727932153062,-8.837463820777787,-3.8196034988676897,32.481259370245276,-8.315287976955462,3.141896326,1.585629921,398.0,105.6,19.0,93.6,2423,6.8,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.68,0.626,0.835,0.0,1.0,0.0,0.0,6.0,2,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,192,0.015,-0.252,76.7,7.0,,1.362,0.252,105.6,0,0,0.523,0.477,33,24,33,24,1,0,148,1.0,6.0,1,0.85,0.28,-0.28,59.4,4.390316753127158,-4.734329525266803,29.63026207179315,38.19692470564766,32.762926301005486
CU,2026-09-07,77.7,-0.69,6.8,"Pivetta, Nick",686611,601713,,ball,,,,,12,,R,R,R,SD,WSH,B,,,0,0,2026,1.11,-0.65,1.076550039047703,4.284805289322659,,,,2,1,Top,,,,,,,1.6662527150532993,-113.1527575355432,2.986037296467351,9.195170792191002,21.624281849853997,-38.515123733011194,3.165592192,1.597588583,,,,78.1,2554,6.7,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.84,,,,,,,,3,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,35,-0.001,0.041,,,,,-0.041,,0,0,0.538,0.462,33,24,33,24,1,0,148,1.0,6.0,1,4.43,-1.11,-1.11,55.9,,,,,
FC,2026-09-07,91.1,-0.88,6.69,"Pivetta, Nick",686611,601713,field_out,hit_into_play,,,,,1,Dylan Crews pops out to second baseman Jake Cronenworth.,R,R,R,SD,WSH,X,4.0,popup,1,0,2026,-0.06,1.3,-0.2887424722815032,3.06111950862363,,,,2,1,Top,164.98,150.16,,,,,1.6185973331197694,-132.61659952611828,-5.915776491628777,-1.0944120145596503,27.433269119384654,-15.722200691923696,3.165592192,1.597588583,144.0,85.9,66.0,91.9,2325,6.7,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.8,0.003,0.003,0.0,1.0,0.0,0.0,3.0,3,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,188,0.011,-0.303,70.8,7.2,,0.003,0.303,88.0,0,0,0.537,0.463,33,24,33,24,1,0,148,1.0,6.0,1,1.43,0.06,0.06,55.5,17.667478913004448,0.744265048580334,24.28701466682689,32.602483644136846,27.91159423667667
CU,2026-09-07,78.9,-0.86,6.79,"Pivetta, Nick",682928,601713,,called_strike,,,,,3,,R,L,R,SD,WSH,S,,,0,0,2026,0.12,-1.06,0.5985728674006017,3.1958177596424138,,,,0,2,Top,,,,,,,2.928907520000661,-114.96006842578385,1.215163960312287,0.5456938052086076,21.086751936514144,-42.063101821122174,3.222637795,1.626377953,,,,79.6,2838,6.7,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.8,,,,,,,,10,1,Curveball,1,0,0,1,0,1,0,1,Infield shade,Standard,33,0.004,-0.041,,,,,0.041,,1,-1,0.603,0.397,33,25,33,26,1,0,148,1.0,6.0,1,4.71,-0.12,0.12,58.1,,,,,
CU,2026-09-07,79.5,-0.75,6.82,"Pivetta, Nick",682928,601713,,ball,,,,,13,,R,L,R,SD,WSH,B,,,0,1,2026,0.08,-0.99,-0.267682359368931,0.0128231231399946,,,,0,2,Top,,,,,,,0.8916131071066489,-115.65013706108417,-5.943012121029724,0.5224429461314506,22.740957604836986,-40.083828337926306,3.222637795,1.626377953,,,,79.9,2733,6.7,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.77,,,,,,,,10,2,Curveball,1,0,0,1,0,1,0,1,Infield shade,Standard,28,-0.003,0.029,,,,,-0.029,,1,-1,0.607,0.393,33,25,33,26,1,0,148,1.0,6.0,1,4.62,-0.08,0.08,57.9,,,,,
FF,2026-09-07,92.6,-0.57,6.82,"Pivetta, Nick",682928,601713,,ball,,,,,14,,R,L,R,SD,WSH,B,,,1,1,2026,-0.37,1.75,1.234911776915681,1.9188080161180725,,,,0,2,Top,,,,,,,5.435727489447677,-134.48645468249606,-10.42274667889184,-5.687744517625901,28.294537738459997,-8.913628542901629,3.222637795,1.626377953,,,,93.6,2425,6.9,823254,806956,664034,630105,592518,593428,687957,701538,665487,53.58,,,,,,,,10,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,191,-0.005,0.063,,,,,-0.063,,1,-1,0.604,0.396,33,25,33,26,1,0,148,1.0,6.0,1,0.92,0.37,-0.37,60.2,,,,,
