Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Eric Lauer","LAD",55.2,59.81469389097443,61.36970128567781,97.4661594678972,151.31332173866065,62.65144166969413,64.28019946957916,95.99683659292934,85.0402218798746,78.25658135601148,116.85674087531667,89.14433943968488,124.64800756119813,125.70589781080854,70.18226568609089,84.49158045831201,131.88807548406692,"Eric Lauer",19316,641778
"Emmet Sheehan","LAD",95.1,121.68033242604967,82.69559058598317,147.1424601094153,160.6441508207671,120.26015836087261,81.73042481728008,102.79089405560693,98.51179850146772,103.27893070058983,99.14724485967635,126.73728623169434,109.40761293649327,94.44595559343877,99.98979102317678,80.92537736903621,120.84744470033893,"Emmet Sheehan",29839,686218
"Tanner Scott","LAD",46.2,138.09753158078632,56.31176397128951,245.23743351569215,65.634615632727,152.92341128865763,62.35728729898562,80.71802598678505,70.35413463346333,96.12418677338653,115.00187195774791,55.479898265281804,53.82034462740213,64.55597094987193,120.93322687878216,79.86654083771471,111.50910805509059,"Tanner Scott",17586,656945
"Justin Wrobleski","LAD",117,83.54047068590184,53.90527098747947,154.97643366472812,104.71618161482435,88.44934574357421,57.07277138576369,94.03330504835068,81.57405342531506,87.78352265962089,111.33389477644596,79.29462062075211,92.8476029589582,99.05462560456816,94.64579842138667,93.59597936903786,109.68063567926869,"Justin Wrobleski",31204,680736
"Roki Sasaki","LAD",105,108.43212113517053,100.10978897674757,108.31319980276403,153.14741561168063,109.03507791350077,100.66647304146237,96.90066960070033,97.44137216015919,92.72487938812078,105.76814496287683,108.90497064657451,114.24105199755344,95.3961824391097,100.69238945310966,98.03110579596253,101.80439032352298,"Roki Sasaki",35323,808963
"Jack Dreyer","LAD",47,123.40631805246478,72.68611448208672,160.3475526801931,97.75369334154593,134.63909014681767,79.30220265529304,80.24321406921572,74.72879360603275,85.42698103528238,114.40600737624729,68.8580371470465,77.03388666671033,72.15969373066952,73.28767597145911,115.53947697161536,96.40668149521665,"Jack Dreyer",30249,676263
"Yoshinobu Yamamoto","LAD",139.1,97.90166932296098,60.3532721125795,162.21434404423388,82.43581284808329,109.31298257064535,67.38798794162811,76.51996024891983,67.95079867730671,75.48946576618067,110.91769326737084,63.48775603701645,79.25880276500602,82.31471572696572,87.920112504776,111.86178203402042,93.09250537503341,"Yoshinobu Yamamoto",33825,808967
"Edgardo Henriquez","LAD",46,116.74912435941536,125.68133200607912,91.03510788482947,16.646460979583075,122.01335982183024,131.34832944956446,74.45869477907652,84.65260130780288,88.59094329584839,85.9354646868434,75.04527523847246,68.12655052609064,91.70452480971963,87.07192341870432,117.5812961370433,87.26799738215166,"Edgardo Henriquez",26944,683618
"Shohei Ohtani","LAD",85.2,119.11134723211252,79.75673113418145,149.34330883715083,35.75426151550274,128.18580044336986,85.83297252342025,73.81680947925689,72.19399165088524,84.92740804677196,111.89371318905094,42.81522172565011,59.81764332643249,76.68985763442373,80.95075352992623,121.50312610068603,86.05019762794477,"Shohei Ohtani",19755,660271
"Will Klein","LAD",41.2,126.31321095094998,132.44527102578155,95.37011303388029,55.1330780328451,118.9404308809215,124.71457557787149,110.2331021556903,119.11118802443299,126.27849376241349,99.50005222806406,88.02810668672598,78.3426877248475,83.55896529454596,98.16441944052282,133.01527576352962,64.84497032384797,"Will Klein",27787,694361
