pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-05-31,89.1,-0.82,6.21,"Tatis Jr., Fernando",665487,641793,field_out,hit_into_play,,,,,2.0,Fernando Tatis Jr. flies out to center fielder Jacob Young.,R,R,R,WSH,SD,X,8.0,fly_ball,1,0,2026,0.01,0.74,0.0840613920101697,3.2761336641402887,,,666023.0,0,6,Top,131.3,112.93,,,,,2.1778105570757766,-129.99318001902412,-2.6798864548950823,-0.2975483442928445,22.81726493923653,-23.385544502704622,3.346382874,1.68882874,218.0,84.4,53.0,89.7,2087.0,6.2,822729,660688,671277,678391,678554,682928,695734,696285,695578,54.33,0.023,0.026,0.0,1.0,0.0,0.0,3.0,41,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,199.0,0.046,-0.283,76.9,7.1,,0.035,0.283,88.0,3,-3,0.813,0.187,30,27,31,27,3,2,6.0,1.0,6.0,2.0,2.08,-0.01,-0.01,38.5,14.999244346686847,3.1606600641062728,23.837152595095073,35.62617405319051,31.726778020591514
ST,2026-05-31,80.0,-0.83,6.21,"Tatis Jr., Fernando",665487,641793,,ball,,,,,12.0,,R,R,R,WSH,SD,B,,,0,0,2026,1.09,-0.37,1.1102566529189084,3.0106212437552733,,,666023.0,0,6,Top,,,,,,,2.1429876658961193,-116.5604423671643,0.5258848259347682,9.567865818016282,20.5419492205965,-35.892649805896994,3.346382874,1.68882874,,,,79.9,2072.0,6.0,822729,660688,671277,678391,678554,682928,695734,696285,695578,54.49,,,,,,,,41,1,Sweeper,3,0,0,3,0,3,0,3,Standard,Standard,37.0,-0.007,0.037,,,,,-0.037,,3,-3,0.82,0.18,30,27,31,27,3,2,6.0,1.0,6.0,2.0,3.91,-1.09,-1.09,39.7,,,,,
SI,2026-05-31,92.8,-0.71,6.18,"Tatis Jr., Fernando",665487,641793,field_out,hit_into_play,,,,,7.0,"Fernando Tatis Jr. grounds out, shortstop CJ Abrams to first baseman Luis García Jr.",R,R,R,WSH,SD,X,6.0,ground_ball,1,2,2026,-1.25,1.12,-0.4652479813195674,1.93189992909735,,592206.0,,2,3,Top,110.44,154.62,,,,,3.3915286385537877,-135.0314817378391,-7.364434772449957,-16.015520827872056,27.38587756369712,-17.08429842257353,3.346382874,1.68882874,6.0,86.4,-17.0,92.9,2092.0,6.2,822729,660688,671277,678391,678554,682928,695734,696285,695578,54.28,0.087,0.078,0.0,1.0,0.0,0.0,2.0,16,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.026,-0.193,75.6,7.1,,0.104,0.193,88.0,0,0,0.529,0.471,30,27,31,27,2,1,6.0,1.0,6.0,2.0,1.51,1.25,1.25,37.6,-4.768177087605721,12.148951181866304,39.98661714972858,28.977069379945807,21.825865371554453
FF,2026-05-31,92.4,-0.33,6.43,"Tatis Jr., Fernando",665487,641793,,ball,,,,,11.0,,R,R,R,WSH,SD,B,,,0,2,2026,-0.35,1.56,-0.2987910198159881,4.194956720605553,,592206.0,,2,3,Top,,,,,,,0.8656365672310632,-134.59626289809083,-3.1805501741505067,-4.485489195810908,28.09925150674563,-12.689521971189606,3.346382874,1.68882874,,,,92.4,2030.0,6.2,822729,660688,671277,678391,678554,682928,695734,696285,695578,54.34,,,,,,,,16,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,201.0,-0.004,0.01,,,,,-0.01,,0,0,0.533,0.467,30,27,31,27,2,1,6.0,1.0,6.0,2.0,1.1,0.35,0.35,45.2,,,,,
FS,2026-05-31,82.7,-0.78,6.17,"Tatis Jr., Fernando",665487,641793,,foul,,,,,2.0,,R,R,R,WSH,SD,S,,,0,1,2026,-0.45,0.67,0.1207668922194389,2.8516213078592134,,592206.0,,2,3,Top,,,,,,,2.900175071768614,-120.476100319122,-2.1578974808831606,-4.960259109352475,24.60194345004031,-25.464426855963428,3.346382874,1.68882874,,,,82.2,746.0,6.0,822729,660688,671277,678391,678554,682928,695734,696285,695578,54.51,,,,,,,,16,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,258.0,0.009,-0.063,82.7,7.8,,,0.063,,0,0,0.524,0.476,30,27,31,27,2,1,6.0,1.0,6.0,2.0,2.67,0.45,0.45,35.3,23.00922713309457,-20.561927341917414,24.16088058104998,35.65931745094049,48.111605657744455
FS,2026-05-31,84.0,-0.62,6.23,"Tatis Jr., Fernando",665487,641793,,foul,,,,,9.0,,R,R,R,WSH,SD,S,,,0,0,2026,-0.41,0.66,0.8135756699693537,2.0371606835535014,,592206.0,,2,3,Top,,,,,,,4.0968911626747255,-122.2939416150166,-4.417111569846385,-4.923260317983267,23.636703659789667,-24.908287218675618,3.346382874,1.68882874,,,,83.8,991.0,6.1,822729,660688,671277,678391,678554,682928,695734,696285,695578,54.41,,,,,,,,16,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,240.0,0.006,-0.04,82.4,8.3,,,0.04,,0,0,0.518,0.482,30,27,31,27,2,1,6.0,1.0,6.0,2.0,2.56,0.41,0.41,39.0,18.213122838375067,-20.488869717197964,29.201665750809497,43.32691706056394,43.39258537089873
SI,2026-05-31,95.5,-2.1,6.61,"Tatis Jr., Fernando",665487,687377,field_out,hit_into_play,,,,,4.0,Fernando Tatis Jr. pops out to shortstop CJ Abrams.,R,R,R,WSH,SD,X,6.0,popup,0,0,2026,-1.34,1.13,-0.5566540551463441,2.7859325767983023,,,,0,8,Top,100.81,129.25,,,,,7.0889319164785185,-138.88809625675512,-6.832938960814533,-18.93157511257862,28.67346953328906,-16.221430355213045,3.346382874,1.68882874,188.0,86.0,58.0,95.9,2549.0,6.3,822729,660688,665953,683083,678554,682928,695734,696285,695578,54.15,0.029,0.032,0.0,1.0,0.0,0.0,3.0,59,1,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,215.0,0.038,-0.259,76.9,7.8,,0.045,0.259,88.0,2,-2,0.862,0.138,28,27,28,27,1,3,2.0,1.0,3.0,2.0,1.36,1.34,1.34,38.6,17.585124256615163,-8.327686846177496,31.95515229534597,30.066519701387872,33.35982503392546
FF,2026-05-31,90.9,-0.46,6.43,"Tatis Jr., Fernando",665487,641793,field_out,hit_into_play,,,,,6.0,"Fernando Tatis Jr. grounds out sharply, shortstop CJ Abrams to first baseman Luis García Jr.",R,R,R,WSH,SD,X,6.0,ground_ball,0,0,2026,-0.5,1.34,0.7899289407130784,2.2238062939270025,,,,0,1,Top,112.47,154.12,,,,,4.175544332126358,-132.28579291676257,-7.379585196916083,-6.706804090980344,24.154495646439745,-15.04535523567869,3.346382874,1.68882874,72.0,106.5,2.0,91.3,2126.0,6.2,822729,660688,671277,678391,678554,682928,695734,696285,695578,54.29,0.571,0.543,0.0,1.0,0.0,0.0,4.0,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,0.022,-0.259,78.1,7.7,,0.654,0.259,106.5,0,0,0.5,0.5,30,27,31,27,1,0,6.0,1.0,6.0,2.0,1.38,0.5,0.5,46.1,8.441407325841945,4.603477007777099,28.476367545521647,43.95582895426823,31.619335817106855
FF,2026-05-30,90.9,2.69,5.9,"Tatis Jr., Fernando",665487,656492,home_run,hit_into_play,,,,,7.0,Fernando Tatis Jr. homers (1) on a fly ball to left field.,R,R,L,WSH,SD,X,,fly_ball,1,0,2026,0.33,1.35,-0.2797766388017693,2.1485102175439166,,,,1,5,Top,30.17,42.26,,,,,-8.078464583136572,-132.22841425607496,-6.302506521737623,5.401642452334891,24.62725363460093,-15.121777981963303,3.346382874,1.68882874,451.0,114.0,24.0,91.5,2128.0,6.4,822731,686452,671277,683083,678391,682928,695734,686611,695578,54.11,1.0,2.0,2.0,1.0,0.0,3.0,6.0,32,2,4-Seam Fastball,1,2,2,1,3,1,3,1,Standard,Standard,155.0,-0.116,1.542,81.9,7.9,,4.0,-1.542,114.0,-1,1,0.383,0.617,30,27,31,27,3,2,6.0,1.0,6.0,1.0,1.38,0.33,-0.33,47.7,11.451450705716764,-4.9983189655634375,33.24795972643633,33.397647012631516,36.058823899963016
FC,2026-05-30,87.3,2.87,5.9,"Tatis Jr., Fernando",665487,656492,,ball,,,,,14.0,,R,R,L,WSH,SD,B,,,0,0,2026,-0.63,0.63,1.1552735673095866,1.9277139864315351,,,,1,5,Top,,,,,,,-2.755083703621622,-127.22836878254196,-4.616186175853381,-6.447967038134667,20.760732507211888,-24.654681871300713,3.346382874,1.68882874,,,,88.0,2272.0,6.2,822731,686452,671277,683083,678391,682928,695734,686611,695578,54.31,,,,,,,,32,1,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,169.0,-0.003,0.041,,,,,-0.041,,-1,1,0.386,0.614,30,27,31,27,3,2,6.0,1.0,6.0,1.0,2.3,-0.63,0.63,44.2,,,,,
