game_date,season,game_pk,at_bat_number,pitch_number,pitch_type,p_throws,description,events,woba_value,woba_denom
2019-04-26,2019,565906,53,1,SL,R,swinging_strike,,,
2019-04-26,2019,565906,53,2,FF,R,called_strike,,,
2019-04-26,2019,565906,53,3,SL,R,blocked_ball,,,
2019-04-26,2019,565906,53,4,SL,R,ball,,,
2019-04-26,2019,565906,53,5,FF,R,ball,,,
2019-04-26,2019,565906,53,6,FF,R,foul,,,
2019-04-26,2019,565906,53,7,FF,R,hit_into_play,single,0.9,1.0
2019-04-27,2019,565907,70,1,FC,R,foul,,,
2019-04-27,2019,565907,70,2,FC,R,ball,,,
2019-04-27,2019,565907,70,3,FC,R,ball,,,
2019-04-27,2019,565907,70,4,FC,R,foul,,,
2019-04-27,2019,565907,70,5,CH,R,ball,,,
2019-04-27,2019,565907,70,6,FC,R,hit_into_play,single,0.9,1.0
2019-04-27,2019,565907,79,1,SI,L,swinging_strike,,,
2019-04-27,2019,565907,79,2,CH,L,foul,,,
2019-04-27,2019,565907,79,3,SI,L,foul,,,
2019-04-27,2019,565907,79,4,SI,L,blocked_ball,,,
2019-04-27,2019,565907,79,5,FC,L,blocked_ball,,,
2019-04-27,2019,565907,79,6,SI,L,ball,,,
2019-04-27,2019,565907,79,7,SL,L,foul_tip,strikeout,0.0,1.0
2019-04-28,2019,565908,59,1,CU,R,called_strike,,,
2019-04-28,2019,565908,59,2,CU,R,ball,,,
2019-04-28,2019,565908,59,3,SI,R,called_strike,,,
2019-04-28,2019,565908,59,4,SI,R,ball,,,
2019-04-28,2019,565908,59,5,CU,R,foul,,,
2019-04-28,2019,565908,59,6,SI,R,ball,,,
2019-04-28,2019,565908,59,7,CU,R,ball,walk,0.7,1.0
2019-04-29,2019,567173,58,1,FC,R,called_strike,,,
2019-04-29,2019,567173,58,2,CU,R,ball,,,
2019-04-29,2019,567173,58,3,FC,R,hit_into_play,force_out,0.0,1.0
2019-04-30,2019,567179,8,1,FF,R,called_strike,,,
2019-04-30,2019,567179,8,2,SL,R,ball,,,
2019-04-30,2019,567179,8,3,SL,R,foul,,,
2019-04-30,2019,567179,8,4,FF,R,foul,,,
2019-04-30,2019,567179,8,5,SI,R,ball,,,
2019-04-30,2019,567179,8,6,FF,R,hit_into_play,field_out,0.0,1.0
2019-04-30,2019,567179,26,1,SI,R,called_strike,,,
2019-04-30,2019,567179,26,2,FF,R,hit_into_play,force_out,0.0,1.0
2019-04-30,2019,567179,43,1,FF,R,foul,,,
2019-04-30,2019,567179,43,2,SL,R,ball,,,
2019-04-30,2019,567179,43,3,SI,R,foul,,,
2019-04-30,2019,567179,43,4,CU,R,ball,,,
2019-04-30,2019,567179,43,5,FF,R,swinging_strike,strikeout,0.0,1.0
2019-04-30,2019,567179,65,1,CU,L,ball,,,
2019-04-30,2019,567179,65,2,FF,L,hit_into_play,field_out,0.0,1.0
2019-05-01,2019,567180,11,1,FF,L,called_strike,,,
2019-05-01,2019,567180,11,2,SL,L,swinging_strike,,,
2019-05-01,2019,567180,11,3,FF,L,ball,,,
2019-05-01,2019,567180,11,4,SL,L,swinging_strike,strikeout,0.0,1.0
2019-05-01,2019,567180,26,1,FF,L,called_strike,,,
2019-05-01,2019,567180,26,2,CU,L,ball,,,
2019-05-01,2019,567180,26,3,CU,L,ball,,,
2019-05-01,2019,567180,26,4,FF,L,foul,,,
2019-05-01,2019,567180,26,5,SL,L,ball,,,
2019-05-01,2019,567180,26,6,CU,L,swinging_strike,strikeout,0.0,1.0
2019-05-01,2019,567180,48,1,FF,L,called_strike,,,
2019-05-01,2019,567180,48,2,FF,L,ball,,,
2019-05-01,2019,567180,48,3,CU,L,ball,,,
2019-05-01,2019,567180,48,4,SL,L,swinging_strike,,,
2019-05-01,2019,567180,48,5,FF,L,ball,,,
2019-05-01,2019,567180,48,6,CU,L,called_strike,strikeout,0.0,1.0
2019-05-01,2019,567180,67,1,FC,L,ball,,,
2019-05-01,2019,567180,67,2,FF,L,hit_into_play,field_out,0.0,1.0
2019-05-02,2019,567181,8,1,CU,R,hit_by_pitch,hit_by_pitch,0.7,1.0
2019-05-02,2019,567181,25,1,FF,R,called_strike,,,
2019-05-02,2019,567181,25,2,SI,R,called_strike,,,
2019-05-02,2019,567181,25,3,FF,R,ball,,,
2019-05-02,2019,567181,25,4,SI,R,blocked_ball,,,
2019-05-02,2019,567181,25,5,SI,R,called_strike,strikeout,0.0,1.0
2019-05-02,2019,567181,37,1,CU,R,ball,,,
2019-05-02,2019,567181,37,2,CH,R,swinging_strike,,,
2019-05-02,2019,567181,37,3,SL,R,called_strike,,,
2019-05-02,2019,567181,37,4,SI,R,hit_into_play,single,0.9,1.0
2019-05-02,2019,567181,51,1,SL,R,called_strike,,,
2019-05-02,2019,567181,51,2,CU,R,foul,,,
2019-05-02,2019,567181,51,3,FF,R,ball,,,
2019-05-02,2019,567181,51,4,FF,R,ball,,,
2019-05-02,2019,567181,51,5,SL,R,hit_into_play,triple,1.6,1.0
2019-05-02,2019,567181,69,1,SL,R,called_strike,,,
2019-05-02,2019,567181,69,2,FF,R,ball,,,
2019-05-02,2019,567181,69,3,FF,R,ball,,,
2019-05-02,2019,567181,69,4,FF,R,swinging_strike,,,
2019-05-02,2019,567181,69,5,SL,R,blocked_ball,,,
2019-05-02,2019,567181,69,6,SL,R,called_strike,strikeout,0.0,1.0
2019-05-03,2019,566290,13,1,FF,L,foul,,,
2019-05-03,2019,566290,13,2,CU,L,ball,,,
2019-05-03,2019,566290,13,3,SL,L,ball,,,
2019-05-03,2019,566290,13,4,FF,L,ball,,,
2019-05-03,2019,566290,13,5,FF,L,hit_into_play,field_out,0.0,1.0
2019-05-03,2019,566290,28,1,SL,L,blocked_ball,,,
2019-05-03,2019,566290,28,2,SL,L,foul,,,
2019-05-03,2019,566290,28,3,CU,L,called_strike,,,
2019-05-03,2019,566290,28,4,FF,L,ball,,,
