metric,label,value,source
benchmark,whiff,19.1,"Good/bad cutoff used for bar color, typed in"
benchmark,xwoba,0.37,"Good/bad cutoff used for bar color, typed in"
whiff,Sweeper,11.5,"Whiff% by pitch, full 2026 season as of Aug 2026, typed in"
whiff,Sinker,12.2,"Whiff% by pitch, full 2026 season as of Aug 2026, typed in"
whiff,Curveball,19.4,"Whiff% by pitch, full 2026 season as of Aug 2026, typed in"
whiff,Cutter,19.6,"Whiff% by pitch, full 2026 season as of Aug 2026, typed in"
whiff,Fastball,20.3,"Whiff% by pitch, full 2026 season as of Aug 2026, typed in"
whiff,Changeup,26.7,"Whiff% by pitch, full 2026 season as of Aug 2026, typed in"
whiff,Slider,27.8,"Whiff% by pitch, full 2026 season as of Aug 2026, typed in"
xwoba,Slider,0.289,"xwOBA against by pitch, full 2026 season as of Aug 2026, typed in"
xwoba,Fastball,0.326,"xwOBA against by pitch, full 2026 season as of Aug 2026, typed in"
xwoba,Curveball,0.352,"xwOBA against by pitch, full 2026 season as of Aug 2026, typed in"
xwoba,Changeup,0.365,"xwOBA against by pitch, full 2026 season as of Aug 2026, typed in"
xwoba,Sinker,0.376,"xwOBA against by pitch, full 2026 season as of Aug 2026, typed in"
xwoba,Cutter,0.424,"xwOBA against by pitch, full 2026 season as of Aug 2026, typed in"
xwoba,Sweeper,0.472,"xwOBA against by pitch, full 2026 season as of Aug 2026, typed in"
usage,Sweeper,6.7,"Usage% by pitch, full 2026 season as of Aug 2026, typed in"
usage,Sinker,13.8,"Usage% by pitch, full 2026 season as of Aug 2026, typed in"
usage,Curveball,10.1,"Usage% by pitch, full 2026 season as of Aug 2026, typed in"
usage,Cutter,23.8,"Usage% by pitch, full 2026 season as of Aug 2026, typed in"
usage,Fastball,32.0,"Usage% by pitch, full 2026 season as of Aug 2026, typed in"
usage,Changeup,7.8,"Usage% by pitch, full 2026 season as of Aug 2026, typed in"
usage,Slider,5.8,"Usage% by pitch, full 2026 season as of Aug 2026, typed in"
pitching_plus,2023,90,"FanGraphs, as of August 2026"
pitching_plus,2024,98,"FanGraphs, as of August 2026"
pitching_plus,2025,95,"FanGraphs, as of August 2026"
pitching_plus,2026,97,"FanGraphs, as of August 2026"
